retention,draw,donor_id,stable_key,baseline_centered,thinned_centered,signed_displacement,baseline_tail,thinned_tail
1.0,0,H19.33.004,1310172832968123345,0.012911767011614644,0.012911767011614644,0.0,False,False
1.0,0,H19.33.004,1314469922613091313,0.001350993004901123,0.001350993004901123,0.0,False,False
1.0,0,H19.33.004,1316732221367358414,0.009334673729927571,0.009334673729927571,0.0,False,False
1.0,0,H19.33.004,1321272818017148251,-0.020271392163989915,-0.020271392163989915,0.0,False,False
1.0,0,H19.33.004,1325911723276183951,-0.012751230574933024,-0.012751230574933024,0.0,False,False
1.0,0,H19.33.004,1373315519272101313,0.005509891993261969,0.005509891993261969,0.0,False,False
1.0,0,H19.33.004,1381651209916567620,-0.005053754376890906,-0.005053754376890906,0.0,False,False
1.0,0,H19.33.004,1389614975943257524,0.012205069264089256,0.012205069264089256,0.0,False,False
1.0,0,H19.33.004,1397737192585597311,0.00582324578530009,0.00582324578530009,0.0,False,False
1.0,0,H19.33.004,1400626209892822896,-0.012465756678949629,-0.012465756678949629,0.0,False,False
1.0,0,H19.33.004,1427480424402588782,0.009396975318280255,0.009396975318280255,0.0,False,False
1.0,0,H19.33.004,1452200616084226834,0.022711106433987327,0.022711106433987327,0.0,True,True
1.0,0,H19.33.004,1478412226719985637,0.001152008865299363,0.001152008865299363,0.0,False,False
1.0,0,H19.33.004,1490026256033828067,0.005400801634744497,0.005400801634744497,0.0,False,False
1.0,0,H19.33.004,1526189300661722629,0.01149452089588808,0.01149452089588808,0.0,False,False
1.0,0,H19.33.004,1537691739325358968,0.007880685455556594,0.007880685455556594,0.0,False,False
1.0,0,H19.33.004,1546464155201064919,-0.00341824885987084,-0.00341824885987084,0.0,False,False
1.0,0,H19.33.004,1552782449194404226,-0.00012630395058953886,-0.00012630395058953886,0.0,False,False
1.0,0,H19.33.004,1555074462793501123,-0.0013271439655329308,-0.0013271439655329308,0.0,False,False
1.0,0,H19.33.004,1607185472094538954,0.0043236934062975164,0.0043236934062975164,0.0,False,False
1.0,0,H19.33.004,1608326079455532375,0.007626527088050297,0.007626527088050297,0.0,False,False
1.0,0,H19.33.004,1645458187987814622,0.006582840321821774,0.006582840321821774,0.0,False,False
1.0,0,H19.33.004,1648454222190753145,0.01262141043644676,0.01262141043644676,0.0,False,False
1.0,0,H19.33.004,1655856724703779235,-0.0005650927030201522,-0.0005650927030201522,0.0,False,False
1.0,0,H19.33.004,1657492572769437210,-0.01007263193591026,-0.01007263193591026,0.0,False,False
1.0,0,H19.33.004,1658472975750456258,0.0031764453886793526,0.0031764453886793526,0.0,False,False
1.0,0,H19.33.004,1663605164420132122,-0.0024269647180885263,-0.0024269647180885263,0.0,False,False
1.0,0,H19.33.004,1678015965429823393,0.0009513625168072401,0.0009513625168072401,0.0,False,False
1.0,0,H19.33.004,1681601682589165404,0.010303775339959843,0.010303775339959843,0.0,False,False
1.0,0,H19.33.004,1695296711018120938,-0.0013683313883608092,-0.0013683313883608092,0.0,False,False
1.0,0,H19.33.004,1696466833776764738,-0.0024901728002470966,-0.0024901728002470966,0.0,False,False
1.0,0,H19.33.004,1705256425795494992,-0.005983149637290536,-0.005983149637290536,0.0,False,False
1.0,0,H19.33.004,1725572931366922638,-0.0031290144600509898,-0.0031290144600509898,0.0,False,False
1.0,0,H19.33.004,1739335369844175740,0.0020317765232386667,0.0020317765232386667,0.0,False,False
1.0,0,H19.33.004,1756842788210408675,0.005239498540376104,0.005239498540376104,0.0,False,False
1.0,0,H19.33.004,1760758338605135958,-0.005772866821914717,-0.005772866821914717,0.0,False,False
1.0,0,H19.33.004,1768713661333516642,-0.0028694211058198464,-0.0028694211058198464,0.0,False,False
1.0,0,H19.33.004,1769909461861848795,0.019768701005427117,0.019768701005427117,0.0,True,True
1.0,0,H19.33.004,1786020005685485843,0.01991973789176247,0.01991973789176247,0.0,True,True
1.0,0,H19.33.004,1801630384450203387,0.0007595158770488317,0.0007595158770488317,0.0,False,False
1.0,0,H19.33.004,1807332697109493697,-0.014123564630121335,-0.014123564630121335,0.0,False,False
1.0,0,H19.33.004,1819486046377002673,-0.0018085728461359127,-0.0018085728461359127,0.0,False,False
1.0,0,H19.33.004,1821246701474447187,-0.008184533465923138,-0.008184533465923138,0.0,False,False
1.0,0,H19.33.004,1825415583056571441,-0.002032676437586225,-0.002032676437586225,0.0,False,False
1.0,0,H19.33.004,1826346755794909565,-0.004385102784794351,-0.004385102784794351,0.0,False,False
1.0,0,H19.33.004,1843915566264926454,0.00040140131077015875,0.00040140131077015875,0.0,False,False
1.0,0,H19.33.004,1850460383477579274,0.0073472023142677305,0.0073472023142677305,0.0,False,False
1.0,0,H19.33.004,1853697917902077554,-0.007635670958039827,-0.007635670958039827,0.0,False,False
1.0,0,H19.33.004,1865366410851305040,-0.006667301183440482,-0.006667301183440482,0.0,False,False
1.0,0,H19.33.004,1891827160866947304,-0.002785700428032868,-0.002785700428032868,0.0,False,False
1.0,0,H19.33.004,1919169582213569557,-0.011572108525808754,-0.011572108525808754,0.0,False,False
1.0,0,H19.33.004,1932513898223101400,-0.0086812913580746,-0.0086812913580746,0.0,False,False
1.0,0,H19.33.004,1942794727459654007,0.010750309583557788,0.010750309583557788,0.0,False,False
1.0,0,H19.33.004,1947325079964519721,0.00316047034496127,0.00316047034496127,0.0,False,False
1.0,0,H19.33.004,1962705716616392446,-0.005359734523092595,-0.005359734523092595,0.0,False,False
1.0,0,H19.33.004,1964053305717558418,-0.013204902257906553,-0.013204902257906553,0.0,False,False
1.0,0,H19.33.004,1969449880803098675,-0.0031120607681601638,-0.0031120607681601638,0.0,False,False
1.0,0,H19.33.004,1975432515047996576,-0.013665704775567483,-0.013665704775567483,0.0,False,False
1.0,0,H19.33.004,1980030720481839935,0.0030331009069042257,0.0030331009069042257,0.0,False,False
1.0,0,H19.33.004,1981761852998035867,-0.007202717975915996,-0.007202717975915996,0.0,False,False
1.0,0,H19.33.004,1993544057414618120,-0.006398004795372905,-0.006398004795372905,0.0,False,False
1.0,0,H19.33.004,2003206486071249611,0.004575036891884307,0.004575036891884307,0.0,False,False
1.0,0,H19.33.004,2012686557060449690,-0.007003309776892742,-0.007003309776892742,0.0,False,False
