control_graph_id,control_type,seed,scenario_id,regulator,direction,magnitude,cell_count,donor_count,edge_count_for_regulator
degree_preserving_edge_shuffle_seed_79014,degree_preserving_edge_shuffle,79014,ELF1_down_0p25,ELF1,down,0.25,32,6,23
degree_preserving_edge_shuffle_seed_79014,degree_preserving_edge_shuffle,79014,SPI1_up_0p10,SPI1,up,0.1,32,6,14
degree_preserving_edge_shuffle_seed_79014,degree_preserving_edge_shuffle,79014,SPI1_down_0p10,SPI1,down,0.1,32,6,14
degree_preserving_edge_shuffle_seed_79014,degree_preserving_edge_shuffle,79014,SPI1_up_0p25,SPI1,up,0.25,32,6,14
degree_preserving_edge_shuffle_seed_79014,degree_preserving_edge_shuffle,79014,SPI1_down_0p25,SPI1,down,0.25,32,6,14
degree_preserving_edge_shuffle_seed_79015,degree_preserving_edge_shuffle,79015,STAT1_up_0p10,STAT1,up,0.1,32,6,16
degree_preserving_edge_shuffle_seed_79015,degree_preserving_edge_shuffle,79015,STAT1_down_0p10,STAT1,down,0.1,32,6,16
degree_preserving_edge_shuffle_seed_79015,degree_preserving_edge_shuffle,79015,STAT1_up_0p25,STAT1,up,0.25,32,6,16
degree_preserving_edge_shuffle_seed_79015,degree_preserving_edge_shuffle,79015,STAT1_down_0p25,STAT1,down,0.25,32,6,16
degree_preserving_edge_shuffle_seed_79015,degree_preserving_edge_shuffle,79015,ELF1_up_0p10,ELF1,up,0.1,32,6,23
degree_preserving_edge_shuffle_seed_79015,degree_preserving_edge_shuffle,79015,ELF1_down_0p10,ELF1,down,0.1,32,6,23
degree_preserving_edge_shuffle_seed_79015,degree_preserving_edge_shuffle,79015,ELF1_up_0p25,ELF1,up,0.25,32,6,23
degree_preserving_edge_shuffle_seed_79015,degree_preserving_edge_shuffle,79015,ELF1_down_0p25,ELF1,down,0.25,32,6,23
degree_preserving_edge_shuffle_seed_79015,degree_preserving_edge_shuffle,79015,SPI1_up_0p10,SPI1,up,0.1,32,6,14
degree_preserving_edge_shuffle_seed_79015,degree_preserving_edge_shuffle,79015,SPI1_down_0p10,SPI1,down,0.1,32,6,14
degree_preserving_edge_shuffle_seed_79015,degree_preserving_edge_shuffle,79015,SPI1_up_0p25,SPI1,up,0.25,32,6,14
degree_preserving_edge_shuffle_seed_79015,degree_preserving_edge_shuffle,79015,SPI1_down_0p25,SPI1,down,0.25,32,6,14
degree_preserving_edge_shuffle_seed_79016,degree_preserving_edge_shuffle,79016,STAT1_up_0p10,STAT1,up,0.1,32,6,16
degree_preserving_edge_shuffle_seed_79016,degree_preserving_edge_shuffle,79016,STAT1_down_0p10,STAT1,down,0.1,32,6,16
degree_preserving_edge_shuffle_seed_79016,degree_preserving_edge_shuffle,79016,STAT1_up_0p25,STAT1,up,0.25,32,6,16
degree_preserving_edge_shuffle_seed_79016,degree_preserving_edge_shuffle,79016,STAT1_down_0p25,STAT1,down,0.25,32,6,16
degree_preserving_edge_shuffle_seed_79016,degree_preserving_edge_shuffle,79016,ELF1_up_0p10,ELF1,up,0.1,32,6,23
degree_preserving_edge_shuffle_seed_79016,degree_preserving_edge_shuffle,79016,ELF1_down_0p10,ELF1,down,0.1,32,6,23
degree_preserving_edge_shuffle_seed_79016,degree_preserving_edge_shuffle,79016,ELF1_up_0p25,ELF1,up,0.25,32,6,23
degree_preserving_edge_shuffle_seed_79016,degree_preserving_edge_shuffle,79016,ELF1_down_0p25,ELF1,down,0.25,32,6,23
degree_preserving_edge_shuffle_seed_79016,degree_preserving_edge_shuffle,79016,SPI1_up_0p10,SPI1,up,0.1,32,6,14
degree_preserving_edge_shuffle_seed_79016,degree_preserving_edge_shuffle,79016,SPI1_down_0p10,SPI1,down,0.1,32,6,14
degree_preserving_edge_shuffle_seed_79016,degree_preserving_edge_shuffle,79016,SPI1_up_0p25,SPI1,up,0.25,32,6,14
degree_preserving_edge_shuffle_seed_79016,degree_preserving_edge_shuffle,79016,SPI1_down_0p25,SPI1,down,0.25,32,6,14
degree_preserving_edge_shuffle_seed_79017,degree_preserving_edge_shuffle,79017,STAT1_up_0p10,STAT1,up,0.1,32,6,16
degree_preserving_edge_shuffle_seed_79017,degree_preserving_edge_shuffle,79017,STAT1_down_0p10,STAT1,down,0.1,32,6,16
degree_preserving_edge_shuffle_seed_79017,degree_preserving_edge_shuffle,79017,STAT1_up_0p25,STAT1,up,0.25,32,6,16
degree_preserving_edge_shuffle_seed_79017,degree_preserving_edge_shuffle,79017,STAT1_down_0p25,STAT1,down,0.25,32,6,16
degree_preserving_edge_shuffle_seed_79017,degree_preserving_edge_shuffle,79017,ELF1_up_0p10,ELF1,up,0.1,32,6,23
degree_preserving_edge_shuffle_seed_79017,degree_preserving_edge_shuffle,79017,ELF1_down_0p10,ELF1,down,0.1,32,6,23
