gene_idx,gene
1187,LINC01268
1188,DSE
1189,CEP85L
1190,MCM9
1191,MAN1A1
1192,SERINC1
1193,NKAIN2
1194,RNF217
1195,NCOA7
1196,TRMT11
1197,ECHDC1
1198,ARHGAP18
1199,AKAP7
1200,STX7
1201,SLC18B1
1202,RPS12
1203,SGK1
1204,AHI1
1205,BCLAF1
1206,MAP3K5
1207,IFNGR1
1208,NHSL1
1209,REPS1
1210,HECA
1211,AL035446.2
1212,HIVEP2
1213,AIG1
1214,PHACTR2
1215,PLAGL1
1216,UTRN
1217,SHPRH
1218,STXBP5
1219,UST
1220,TAB2
1221,LATS1
1222,MTHFD1L
1223,ESR1
1224,SYNE1
1225,OPRM1
1226,IPCEF1
1227,SCAF8
1228,TIAM2
1229,ZDHHC14
1230,SNX9
1231,TULP4
1232,TMEM181
1233,SYTL3
1234,SOD2
1235,WTAP
1236,IGF2R
1237,MAP3K4
1238,PRKN
1239,RPS6KA2
1240,AFDN
1241,FAM120B
1242,MAD1L1
1243,GNA12
1244,CARD11
1245,SDK1
1246,FOXK1
1247,TNRC18
1248,ACTB
1249,FSCN1
1250,RNF216
1251,CYTH3
1252,RAC1
1253,DAGLB
1254,C1GALT1
1255,MIOS
1256,UMAD1
1257,GLCCI1
1258,PHF14
1259,SCIN
1260,DGKB
1261,SNX13
1262,HDAC9
1263,STEAP1B
1264,IL6
1265,FAM126A
1266,GPNMB
1267,TRA2A
1268,OSBPL3
1269,HNRNPA2B1
1270,SKAP2
1271,HIBADH
1272,TAX1BP1
1273,JAZF1
1274,CPVL
1275,ZNRF2
1276,LINC01176
1277,GARS-DT
1278,AVL9
1279,BBS9
1280,SEPTIN7
1281,AOAH
1282,VPS41
1283,CDK13
1284,STK17A
1285,COA1
1286,NUDCD3
1287,OGDH
1288,CCM2
1289,TNS3
1290,IKZF1
1291,VOPP1
1292,NIPSNAP2
1293,VKORC1L1
1294,AC006001.2
1295,RABGEF1
1296,TYW1
1297,AUTS2
1298,POM121
1299,BAZ1B
1300,MLXIPL
1301,LAT2
1302,CLIP2
1303,GTF2I
1304,YWHAG
1305,CCDC146
1306,GSAP
1307,PTPN12
1308,RSBN1L
1309,PHTF2
1310,MAGI2
1311,PCLO
1312,DMTF1
1313,AKAP9
1314,KRIT1
1315,ANKIB1
1316,GATAD1
1317,FAM133B
1318,CDK6
1319,SAMD9L
1320,VPS50
1321,CASD1
1322,PDK4
1323,SLC25A13
1324,SEM1
1325,AC079781.5
1326,BRI3
1327,TRRAP
1328,SMURF1
1329,ARPC1B
1330,ZNF655
1331,ZKSCAN1
1332,PILRA
1333,TRIM56
1334,SERPINE1
1335,CUX1
1336,PRKRIP1
1337,POLR2J3
1338,LINC01004
1339,KMT2E
1340,SRPK2
1341,ATXN7L1
1342,NAMPT
1343,HBP1
1344,COG5
1345,NRCAM
1346,IMMP2L
1347,ZNF277
1348,TMEM168
1349,BMT2
1350,FOXP2
1351,TFEC
1352,CAPZA2
1353,CTTNBP2
1354,KCND2
1355,CPED1
1356,CADPS2
1357,WASL
1358,ZNF800
1359,SND1
1360,TNPO3
1361,AHCYL2
1362,NRF1
1363,UBE2H
1364,KLHDC10
1365,AC016831.7
1366,MKLN1
1367,CHCHD3
1368,EXOC4
1369,CNOT4
1370,CREB3L2
1371,ZC3HAV1
1372,UBN2
1373,LUC7L2
1374,HIPK2
1375,KDM7A
1376,BRAF
1377,DENND11
1378,SSBP1
1379,TPK1
1380,CNTNAP2
1381,CUL1
1382,RHEB
1383,PRKAG2
1384,GALNT11
1385,KMT2C
1386,DPP6
1387,RBM33
1388,LMBR1
1389,UBE3C
1390,DNAJB6
1391,ESYT2
1392,ERICH1
1393,DLGAP2
1394,CLN8
1395,CSMD1
1396,MCPH1
1397,AGPAT5
1398,TNKS
1399,MSRA
1400,XKR6
1401,CTSB
1402,AC068587.4
1403,MSR1
1404,MICU3
1405,ZDHHC2
1406,MTUS1
1407,PCM1
1408,ASAH1
1409,PSD3
1410,CSGALNACT1
1411,INTS10
1412,LPL
1413,ATP6V1B2
1414,XPO7
1415,PPP3CC
1416,TNFRSF10B
1417,SLC25A37
1418,ADAM28
1419,AC120193.1
1420,DOCK5
1421,PPP2R2A
1422,BNIP3L
1423,DPYSL2
1424,PTK2B
1425,CLU
1426,ELP3
1427,HMBOX1
1428,KIF13B
1429,SARAF
1430,WRN
1431,NSD3
1432,TACC1
1433,PLEKHA2
1434,ADAM9
1435,KAT6A
1436,IKBKB
1437,SLC20A2
1438,HOOK3
1439,HGSNAT
1440,SPIDR
1441,CEBPD
1442,PRKDC
1443,SNTG1
1444,PCMTD1
1445,RB1CC1
1446,ATP6V1H
1447,LYPLA1
1448,LYN
1449,PLAG1
1450,FAM110B
1451,UBXN2B
1452,SDCBP
1453,NSMAF
1454,RAB2A
1455,CHD7
1456,ASPH
1457,YTHDF3
1458,PDE7A
1459,SGK3
1460,CSPP1
1461,ARFGEF1
1462,NCOA2
1463,STAU2
1464,UBE2W
1465,LY96
1466,GDAP1
1467,MRPS28
1468,PAG1
1469,RALYL
1470,WWP1
1471,AF117829.1
1472,DECR1
1473,NDUFAF6
1474,CPQ
1475,MTDH
1476,STK3
1477,VPS13B
1478,RNF19A
1479,PABPC1
1480,YWHAZ
1481,ZNF706
1482,UBR5
1483,AZIN1-AS1
1484,ATP6V1C1
1485,RIMS2
1486,OXR1
1487,AC090579.1
1488,EIF3E
1489,CSMD3
1490,TRPS1
1491,EIF3H
1492,EXT1
1493,SAMD12
1494,TNFRSF11B
1495,TAF2
1496,DEPTOR
1497,ZHX2
1498,TMEM65
1499,MTSS1
1500,NSMCE2
1501,PVT1
1502,CCDC26
1503,ASAP1
1504,EFR3A
1505,KCNQ3
1506,PHF20L1
1507,SLA
1508,ST3GAL1
1509,KHDRBS3
1510,AC079015.1
1511,TRAPPC9
1512,PTK2
1513,DENND3
1514,MROH1
1515,CBWD1
1516,SMARCA2
1517,PUM3
1518,RFX3
1519,GLIS3
1520,JAK2
1521,AL162253.2
1522,RIC1
1523,KIAA2026
1524,UHRF2
1525,KDM4C
1526,PTPRD
1527,ZDHHC21
1528,BNC2
1529,CNTLN
1530,DENND4C
1531,RPS6
1532,FOCAD
1533,MTAP
1534,CDKN2A
1535,MOB3B
1536,C9orf72
1537,LINGO2
1538,B4GALT1
1539,NFX1
1540,UBE2R2
1541,UBAP2
1542,UBAP1
1543,RECK
1544,CLTA
1545,RNF38
1546,ZCCHC7
1547,DCAF10
1548,PGM5
1549,PIP5K1B
1550,APBA1
1551,PTAR1
1552,SMC5
1553,CEMIP2
1554,OSTF1
1555,TLE4
1556,UBQLN1
1557,HNRNPK
1558,AGTPBP1
1559,NAA35
1560,TUT7
1561,SPIN1
1562,SECISBP2
1563,SEMA4D
1564,SYK
1565,AUH
1566,IARS
1567,CENPP
1568,FGD3
1569,FAM120A
1570,AOPEP
1571,ERCC6L2
1572,CDC14B
1573,MFSD14C
1574,TDRD7
1575,TRIM14
1576,TGFBR1
1577,ERP44
1578,INVS
1579,ABCA1
1580,SLC44A1
1581,RAD23B
1582,TMEM245
1583,TXN
1584,LPAR1
1585,AL162414.1
1586,ECPAS
1587,SHOC1
1588,UGCG
1589,PTBP3
1590,SNX30
1591,FKBP15
1592,ZNF618
1593,AKNA
1594,TLR4
1595,CDK5RAP2
1596,MEGF9
1597,CNTRL
1598,RAB14
1599,GSN
1600,STOM
1601,RC3H2
1602,RABGAP1
1603,STRBP
1604,DENND1A
1605,NEK6
1606,NR6A1
1607,RPL35
1608,SCAI
1609,GAPVD1
1610,MAPKAP1
1611,PBX3
1612,MVB12B
1613,GARNL3
1614,HMGA1P4
1615,FNBP1
1616,GPR107
1617,FUBP3
1618,ABL1
1619,NUP214
1620,PRRC2B
1621,RAPGEF1
1622,MED27
1623,SETX
1624,RPL7A
1625,CAMSAP1
1626,EHMT1
1627,ZMYND11
1628,DIP2C
1629,LARP4B
1630,WDR37
1631,KLF6
1632,TASOR2
1633,GDI2
1634,FBH1
1635,PFKFB3
1636,LINC02649
1637,TAF3
1638,USP6NL
1639,UPF2
1640,DHTKD1
1641,CAMK1D
1642,AC044781.1
1643,RSU1
1644,STAM
1645,MRC1
1646,MLLT10
1647,DNAJC1
1648,PIP4K2A
1649,ARHGAP21
1650,ABI1
1651,YME1L1
1652,WAC
1653,MAP3K8
1654,ZNF438
1655,ZEB1
1656,ARHGAP12
1657,KIF5B
1658,EPC1
1659,CCDC7
1660,ITGB1
1661,NRP1
1662,CREM
1663,CCNY
