path,version_bucket,stage_hint,script_status,suffix,byte_size,n_imports_or_modules,imports_or_modules,n_local_path_mentions,local_path_mentions,n_output_path_mentions,output_path_mentions,physical_move_recommended_now,path_policy
scripts/build_stage50_graph_diffusion_target_views_v1.py,v3,stage50,review_before_move,.py,140,2,__future__|run_stage50_graph_specific_jepa_topology_audit_v1,0,,0,,false,path_stable_or_wrapper_required
scripts/build_stage50_graph_priors_and_controls_v1.py,v3,stage50,review_before_move,.py,140,2,__future__|run_stage50_graph_specific_jepa_topology_audit_v1,0,,0,,false,path_stable_or_wrapper_required
scripts/build_stage53_auxiliary_branch_matrices_v1.py,v3,stage53,review_before_move,.py,112,1,run_stage53_heterogeneity_composition_auxiliary_jepa_v1,0,,0,,false,path_stable_or_wrapper_required
scripts/build_stage53_composition_branch_features_v1.py,v3,stage53,review_before_move,.py,112,1,run_stage53_heterogeneity_composition_auxiliary_jepa_v1,0,,0,,false,path_stable_or_wrapper_required
scripts/build_stage53_heterogeneity_branch_features_v1.py,v3,stage53,review_before_move,.py,112,1,run_stage53_heterogeneity_composition_auxiliary_jepa_v1,0,,0,,false,path_stable_or_wrapper_required
scripts/build_stage53_programming_branch_inputs_v1.py,v3,stage53,review_before_move,.py,112,1,run_stage53_heterogeneity_composition_auxiliary_jepa_v1,0,,0,,false,path_stable_or_wrapper_required
scripts/build_string_graph.py,unclassified,,review_before_move,.py,7272,10,__future__|argparse|collections|gzip|h5py|numpy|pandas|pathlib|scipy|urllib,3,data/external/string|data/processed/sea_ad_mtg_microglia_pvm_all_hvg3k_expanded_modules.h5ad|results/tables/v2_graph_string,1,results/tables/v2_graph_string,false,path_stable_or_wrapper_required
scripts/build_v21_hypothesis_report.py,unclassified,,review_before_move,.py,12152,4,__future__|argparse|pandas|pathlib,8,results/reports/v2_1_microglia_biological_hypotheses.md|results/tables/v2_1_fine_bridge_06_latent_gene_attributions.csv|results/tables/v2_1_fine_bridge_06_latent_jacobian_top_edges.csv|results/tables/v2_1_ranked_target_matrix.csv|results/tables/v2_1_upgrade_fine_08_gene_counterfactual_at8.csv|results/tables/v2_1_upgrade_fine_08_latent_gene_attributions.csv|results/tables/v2_1_upgrade_fine_08_latent_jacobian_top_edges.csv|results/tables/v2_1_upgrade_fine_08_module_counterfactual_at8.csv,8,results/reports/v2_1_microglia_biological_hypotheses.md|results/tables/v2_1_fine_bridge_06_latent_gene_attributions.csv|results/tables/v2_1_fine_bridge_06_latent_jacobian_top_edges.csv|results/tables/v2_1_ranked_target_matrix.csv|results/tables/v2_1_upgrade_fine_08_gene_counterfactual_at8.csv|results/tables/v2_1_upgrade_fine_08_latent_gene_attributions.csv|results/tables/v2_1_upgrade_fine_08_latent_jacobian_top_edges.csv|results/tables/v2_1_upgrade_fine_08_module_counterfactual_at8.csv,false,path_stable_or_wrapper_required
scripts/build_wgcna_tom_graph.py,unclassified,,review_before_move,.py,7108,7,__future__|argparse|h5py|numpy|pandas|pathlib|scipy,3,data/processed/sea_ad_mtg_microglia_pvm_all_hvg3k_expanded_modules.h5ad|data/processed/sea_ad_mtg_microglia_pvm_pseudobulk_expanded_modules.csv|results/tables/v2_graph_wgcna,1,results/tables/v2_graph_wgcna,false,path_stable_or_wrapper_required
scripts/causal_confounder_adjusted_effects.py,unclassified,,review_before_move,.py,9002,8,__future__|argparse|numpy|pandas|pathlib|sea_ad_jepa|sys|torch,1,results/tables/confounder_adjusted_module_effects.csv,1,results/tables/confounder_adjusted_module_effects.csv,false,path_stable_or_wrapper_required
scripts/causal_fold_specific_knockout.py,unclassified,,review_before_move,.py,22527,11,__future__|anndata|argparse|numpy|pandas|pathlib|scipy|sea_ad_jepa|sklearn|sys|torch,4,results/models/fold_heads|results/tables/causal_fold_specific_module_knockouts_at8.csv|results/tables/causal_fold_specific_module_knockouts_at8_by_donor.csv|results/tables/causal_fold_specific_module_knockouts_at8_by_fold.csv,4,results/models/fold_heads|results/tables/causal_fold_specific_module_knockouts_at8.csv|results/tables/causal_fold_specific_module_knockouts_at8_by_donor.csv|results/tables/causal_fold_specific_module_knockouts_at8_by_fold.csv,false,path_stable_or_wrapper_required
