analysis_label,donor_id,base_score,score_without_donor,influence_score_without_minus_base,abs_influence
stage61_best,H21.33.038,0.3433239568682607,0.3437147030185005,0.00039074615023976245,0.00039074615023976245
stage61_best,H21.33.008,0.3433239568682607,0.3429552093476144,-0.00036874752064630645,0.00036874752064630645
stage61_best,H20.33.044,0.3433239568682607,0.3430574488802337,-0.00026650798802702047,0.00026650798802702047
stage61_best,H21.33.027,0.3433239568682607,0.343159688412853,-0.0001642684554077345,0.0001642684554077345
stage61_best,H21.33.006,0.3433239568682607,0.3431791626095424,-0.00014479425871832818,0.00014479425871832818
stage61_best,H21.33.031,0.3433239568682607,0.3434469328140214,0.00012297594576066162,0.00012297594576066162
stage62_aggregate,H21.33.042,0.28477730895452413,0.30433300876338854,0.019555699808864402,0.019555699808864402
stage62_aggregate,H21.33.045,0.28477730895452413,0.2677799415774099,-0.016997367377114214,0.016997367377114214
stage62_aggregate,H21.33.020,0.28477730895452413,0.26787244401168453,-0.016904864942839604,0.016904864942839604
stage62_aggregate,H21.33.017,0.28477730895452413,0.29972249269717627,0.014945183742652135,0.014945183742652135
stage62_aggregate,H19.33.004,0.28477730895452413,0.29870009737098346,0.01392278841645933,0.01392278841645933
stage62_aggregate,H21.33.011,0.28477730895452413,0.2716358325219085,-0.01314147643261565,0.01314147643261565
stage62_aggregate,H21.33.004,0.28477730895452413,0.27197176241480037,-0.012805546539723767,0.012805546539723767
stage62_aggregate,H20.33.045,0.28477730895452413,0.27326192794547227,-0.011515381009051862,0.011515381009051862
stage62_aggregate,H20.33.012,0.28477730895452413,0.29556962025316463,0.0107923112986405,0.0107923112986405
stage62_aggregate,H20.33.031,0.28477730895452413,0.29513145082765335,0.010354141873129219,0.010354141873129219
stage62_aggregate,H20.33.008,0.28477730895452413,0.2947176241480039,0.009940315193479765,0.009940315193479765
stage62_aggregate,H20.33.032,0.28477730895452413,0.2946738072054528,0.009896498250928643,0.009896498250928643
stage62_aggregate,H20.33.011,0.28477730895452413,0.29455696202531645,0.009779653070792316,0.009779653070792316
stage62_aggregate,H20.33.018,0.28477730895452413,0.2760077896786758,-0.008769519275848348,0.008769519275848348
