gene_symbol,source_version,source_stage,source_file,mechanism_bin,target_context,evidence_type,model_derived,graph_specific,external_support_status,in_silico_perturbation_status,druggability_status,claim_allowed,claim_disallowed,notes
APOE,v3,Stage36E,results/tables/stage36e_frozen_mechanism_registry_v1.csv,Glial activation / disease-associated microglia-astrocyte state,frozen Stage36E mechanism registry,frozen_candidate_registry,True,False,see Stage38/42 support readiness,model-based sensitivity/counterfactual evidence in Stage36 lineage,requires local druggability resource or manual curation,candidate follow-up hypothesis / network anchor,validated causal regulator; therapeutic target; experimental gene ablation,M2: Glial activation / disease-associated microglia-astrocyte state
BSG,unknown,,results\tables\microglia_pvm_percent_AT8_gene_rankings.csv,Inflammatory signaling / transport / cell-state modulation,detected in local cross-version evidence file,cell_state_or_disease_axis,False,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
CST7,unknown,,results\tables\microglia_pvm_percent_AT8_gene_rankings.csv,Glial activation / disease-associated microglia-astrocyte state,detected in local cross-version evidence file,cell_state_or_disease_axis,False,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
CTSB,unknown,,results\tables\microglia_pvm_percent_AT8_gene_rankings.csv,Endolysosomal / autophagy / proteostasis,detected in local cross-version evidence file,cell_state_or_disease_axis,False,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
CTSD,unknown,,results\tables\microglia_pvm_percent_AT8_gene_rankings.csv,Glial activation / disease-associated microglia-astrocyte state,detected in local cross-version evidence file,cell_state_or_disease_axis,False,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
GPX4,unknown,,results\tables\microglia_pvm_percent_AT8_gene_rankings.csv,Oxidative stress / antioxidant response,detected in local cross-version evidence file,cell_state_or_disease_axis,False,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
HMOX1,unknown,,results\tables\microglia_pvm_percent_AT8_gene_rankings.csv,Oxidative stress / antioxidant response,detected in local cross-version evidence file,cell_state_or_disease_axis,False,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
IL27RA,unknown,,results\tables\microglia_pvm_percent_AT8_gene_rankings.csv,Inflammatory signaling / transport / cell-state modulation,detected in local cross-version evidence file,cell_state_or_disease_axis,False,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
LAMP2,unknown,,results\tables\microglia_pvm_percent_AT8_gene_rankings.csv,Endolysosomal / autophagy / proteostasis,detected in local cross-version evidence file,cell_state_or_disease_axis,False,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
LAPTM5,unknown,,results\tables\microglia_pvm_percent_AT8_gene_rankings.csv,Endolysosomal / autophagy / proteostasis,detected in local cross-version evidence file,cell_state_or_disease_axis,False,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
LGALS3,unknown,,results\tables\microglia_pvm_percent_AT8_gene_rankings.csv,Glial activation / disease-associated microglia-astrocyte state,detected in local cross-version evidence file,cell_state_or_disease_axis,False,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
NFKBIA,unknown,,results\tables\microglia_pvm_percent_AT8_gene_rankings.csv,Inflammatory signaling / transport / cell-state modulation,detected in local cross-version evidence file,cell_state_or_disease_axis,False,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
NPC2,unknown,,results\tables\microglia_pvm_percent_AT8_gene_rankings.csv,Endolysosomal / autophagy / proteostasis,detected in local cross-version evidence file,cell_state_or_disease_axis,False,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
NQO1,unknown,,results\tables\microglia_pvm_percent_AT8_gene_rankings.csv,Oxidative stress / antioxidant response,detected in local cross-version evidence file,cell_state_or_disease_axis,False,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
SLC6A12,unknown,,results\tables\microglia_pvm_percent_AT8_gene_rankings.csv,Inflammatory signaling / transport / cell-state modulation,detected in local cross-version evidence file,cell_state_or_disease_axis,False,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
SOD1,unknown,,results\tables\microglia_pvm_percent_AT8_gene_rankings.csv,Oxidative stress / antioxidant response,detected in local cross-version evidence file,cell_state_or_disease_axis,False,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
SOD2,unknown,,results\tables\microglia_pvm_percent_AT8_gene_rankings.csv,Oxidative stress / antioxidant response,detected in local cross-version evidence file,cell_state_or_disease_axis,False,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
TREM2,unknown,,results\tables\microglia_pvm_percent_AT8_gene_rankings.csv,Glial activation / disease-associated microglia-astrocyte state,detected in local cross-version evidence file,cell_state_or_disease_axis,False,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
APOE,v3,STAGE36A,results\tables\stage36a_agent_ranked_hypotheses_v1.csv,Glial activation / disease-associated microglia-astrocyte state,detected in local cross-version evidence file,other_context,False,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
BSG,v3,STAGE36A,results\tables\stage36a_agent_ranked_hypotheses_v1.csv,Inflammatory signaling / transport / cell-state modulation,detected in local cross-version evidence file,other_context,False,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
CST7,v3,STAGE36A,results\tables\stage36a_agent_ranked_hypotheses_v1.csv,Glial activation / disease-associated microglia-astrocyte state,detected in local cross-version evidence file,other_context,False,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
CTSB,v3,STAGE36A,results\tables\stage36a_agent_ranked_hypotheses_v1.csv,Endolysosomal / autophagy / proteostasis,detected in local cross-version evidence file,other_context,False,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
CTSD,v3,STAGE36A,results\tables\stage36a_agent_ranked_hypotheses_v1.csv,Glial activation / disease-associated microglia-astrocyte state,detected in local cross-version evidence file,other_context,False,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
GPX4,v3,STAGE36A,results\tables\stage36a_agent_ranked_hypotheses_v1.csv,Oxidative stress / antioxidant response,detected in local cross-version evidence file,other_context,False,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
HMOX1,v3,STAGE36A,results\tables\stage36a_agent_ranked_hypotheses_v1.csv,Oxidative stress / antioxidant response,detected in local cross-version evidence file,other_context,False,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
IL27RA,v3,STAGE36A,results\tables\stage36a_agent_ranked_hypotheses_v1.csv,Inflammatory signaling / transport / cell-state modulation,detected in local cross-version evidence file,other_context,False,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
LAMP2,v3,STAGE36A,results\tables\stage36a_agent_ranked_hypotheses_v1.csv,Endolysosomal / autophagy / proteostasis,detected in local cross-version evidence file,other_context,False,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
LAPTM5,v3,STAGE36A,results\tables\stage36a_agent_ranked_hypotheses_v1.csv,Endolysosomal / autophagy / proteostasis,detected in local cross-version evidence file,other_context,False,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
LGALS3,v3,STAGE36A,results\tables\stage36a_agent_ranked_hypotheses_v1.csv,Glial activation / disease-associated microglia-astrocyte state,detected in local cross-version evidence file,other_context,False,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
NFKBIA,v3,STAGE36A,results\tables\stage36a_agent_ranked_hypotheses_v1.csv,Inflammatory signaling / transport / cell-state modulation,detected in local cross-version evidence file,other_context,False,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
NPC2,v3,STAGE36A,results\tables\stage36a_agent_ranked_hypotheses_v1.csv,Endolysosomal / autophagy / proteostasis,detected in local cross-version evidence file,other_context,False,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
NQO1,v3,STAGE36A,results\tables\stage36a_agent_ranked_hypotheses_v1.csv,Oxidative stress / antioxidant response,detected in local cross-version evidence file,other_context,False,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
SLC6A12,v3,STAGE36A,results\tables\stage36a_agent_ranked_hypotheses_v1.csv,Inflammatory signaling / transport / cell-state modulation,detected in local cross-version evidence file,other_context,False,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
SOD1,v3,STAGE36A,results\tables\stage36a_agent_ranked_hypotheses_v1.csv,Oxidative stress / antioxidant response,detected in local cross-version evidence file,other_context,False,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
SOD2,v3,STAGE36A,results\tables\stage36a_agent_ranked_hypotheses_v1.csv,Oxidative stress / antioxidant response,detected in local cross-version evidence file,other_context,False,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
TREM2,v3,STAGE36A,results\tables\stage36a_agent_ranked_hypotheses_v1.csv,Glial activation / disease-associated microglia-astrocyte state,detected in local cross-version evidence file,other_context,False,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
APOE,v3,STAGE36A,results\tables\stage36a_gene_hypothesis_scores_v1.csv,Glial activation / disease-associated microglia-astrocyte state,detected in local cross-version evidence file,candidate_or_mechanism,True,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
BSG,v3,STAGE36A,results\tables\stage36a_gene_hypothesis_scores_v1.csv,Inflammatory signaling / transport / cell-state modulation,detected in local cross-version evidence file,candidate_or_mechanism,True,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
CST7,v3,STAGE36A,results\tables\stage36a_gene_hypothesis_scores_v1.csv,Glial activation / disease-associated microglia-astrocyte state,detected in local cross-version evidence file,candidate_or_mechanism,True,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
CTSB,v3,STAGE36A,results\tables\stage36a_gene_hypothesis_scores_v1.csv,Endolysosomal / autophagy / proteostasis,detected in local cross-version evidence file,candidate_or_mechanism,True,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
CTSD,v3,STAGE36A,results\tables\stage36a_gene_hypothesis_scores_v1.csv,Glial activation / disease-associated microglia-astrocyte state,detected in local cross-version evidence file,candidate_or_mechanism,True,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
GPX4,v3,STAGE36A,results\tables\stage36a_gene_hypothesis_scores_v1.csv,Oxidative stress / antioxidant response,detected in local cross-version evidence file,candidate_or_mechanism,True,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
HMOX1,v3,STAGE36A,results\tables\stage36a_gene_hypothesis_scores_v1.csv,Oxidative stress / antioxidant response,detected in local cross-version evidence file,candidate_or_mechanism,True,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
IL27RA,v3,STAGE36A,results\tables\stage36a_gene_hypothesis_scores_v1.csv,Inflammatory signaling / transport / cell-state modulation,detected in local cross-version evidence file,candidate_or_mechanism,True,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
LAMP2,v3,STAGE36A,results\tables\stage36a_gene_hypothesis_scores_v1.csv,Endolysosomal / autophagy / proteostasis,detected in local cross-version evidence file,candidate_or_mechanism,True,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
LAPTM5,v3,STAGE36A,results\tables\stage36a_gene_hypothesis_scores_v1.csv,Endolysosomal / autophagy / proteostasis,detected in local cross-version evidence file,candidate_or_mechanism,True,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
LGALS3,v3,STAGE36A,results\tables\stage36a_gene_hypothesis_scores_v1.csv,Glial activation / disease-associated microglia-astrocyte state,detected in local cross-version evidence file,candidate_or_mechanism,True,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
NFKBIA,v3,STAGE36A,results\tables\stage36a_gene_hypothesis_scores_v1.csv,Inflammatory signaling / transport / cell-state modulation,detected in local cross-version evidence file,candidate_or_mechanism,True,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
NPC2,v3,STAGE36A,results\tables\stage36a_gene_hypothesis_scores_v1.csv,Endolysosomal / autophagy / proteostasis,detected in local cross-version evidence file,candidate_or_mechanism,True,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
NQO1,v3,STAGE36A,results\tables\stage36a_gene_hypothesis_scores_v1.csv,Oxidative stress / antioxidant response,detected in local cross-version evidence file,candidate_or_mechanism,True,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
SLC6A12,v3,STAGE36A,results\tables\stage36a_gene_hypothesis_scores_v1.csv,Inflammatory signaling / transport / cell-state modulation,detected in local cross-version evidence file,candidate_or_mechanism,True,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
SOD1,v3,STAGE36A,results\tables\stage36a_gene_hypothesis_scores_v1.csv,Oxidative stress / antioxidant response,detected in local cross-version evidence file,candidate_or_mechanism,True,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
SOD2,v3,STAGE36A,results\tables\stage36a_gene_hypothesis_scores_v1.csv,Oxidative stress / antioxidant response,detected in local cross-version evidence file,candidate_or_mechanism,True,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
TREM2,v3,STAGE36A,results\tables\stage36a_gene_hypothesis_scores_v1.csv,Glial activation / disease-associated microglia-astrocyte state,detected in local cross-version evidence file,candidate_or_mechanism,True,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
APOE,v3,STAGE36B,results\tables\stage36b_hypothesis_grounding_v1.csv,Glial activation / disease-associated microglia-astrocyte state,detected in local cross-version evidence file,candidate_or_mechanism,True,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
BSG,v3,STAGE36B,results\tables\stage36b_hypothesis_grounding_v1.csv,Inflammatory signaling / transport / cell-state modulation,detected in local cross-version evidence file,candidate_or_mechanism,True,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
CST7,v3,STAGE36B,results\tables\stage36b_hypothesis_grounding_v1.csv,Glial activation / disease-associated microglia-astrocyte state,detected in local cross-version evidence file,candidate_or_mechanism,True,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
CTSB,v3,STAGE36B,results\tables\stage36b_hypothesis_grounding_v1.csv,Endolysosomal / autophagy / proteostasis,detected in local cross-version evidence file,candidate_or_mechanism,True,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
CTSD,v3,STAGE36B,results\tables\stage36b_hypothesis_grounding_v1.csv,Glial activation / disease-associated microglia-astrocyte state,detected in local cross-version evidence file,candidate_or_mechanism,True,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
GPX4,v3,STAGE36B,results\tables\stage36b_hypothesis_grounding_v1.csv,Oxidative stress / antioxidant response,detected in local cross-version evidence file,candidate_or_mechanism,True,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
HMOX1,v3,STAGE36B,results\tables\stage36b_hypothesis_grounding_v1.csv,Oxidative stress / antioxidant response,detected in local cross-version evidence file,candidate_or_mechanism,True,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
IL27RA,v3,STAGE36B,results\tables\stage36b_hypothesis_grounding_v1.csv,Inflammatory signaling / transport / cell-state modulation,detected in local cross-version evidence file,candidate_or_mechanism,True,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
LAMP2,v3,STAGE36B,results\tables\stage36b_hypothesis_grounding_v1.csv,Endolysosomal / autophagy / proteostasis,detected in local cross-version evidence file,candidate_or_mechanism,True,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
LAPTM5,v3,STAGE36B,results\tables\stage36b_hypothesis_grounding_v1.csv,Endolysosomal / autophagy / proteostasis,detected in local cross-version evidence file,candidate_or_mechanism,True,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
LGALS3,v3,STAGE36B,results\tables\stage36b_hypothesis_grounding_v1.csv,Glial activation / disease-associated microglia-astrocyte state,detected in local cross-version evidence file,candidate_or_mechanism,True,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
NFKBIA,v3,STAGE36B,results\tables\stage36b_hypothesis_grounding_v1.csv,Inflammatory signaling / transport / cell-state modulation,detected in local cross-version evidence file,candidate_or_mechanism,True,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
NPC2,v3,STAGE36B,results\tables\stage36b_hypothesis_grounding_v1.csv,Endolysosomal / autophagy / proteostasis,detected in local cross-version evidence file,candidate_or_mechanism,True,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
NQO1,v3,STAGE36B,results\tables\stage36b_hypothesis_grounding_v1.csv,Oxidative stress / antioxidant response,detected in local cross-version evidence file,candidate_or_mechanism,True,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
SLC6A12,v3,STAGE36B,results\tables\stage36b_hypothesis_grounding_v1.csv,Inflammatory signaling / transport / cell-state modulation,detected in local cross-version evidence file,candidate_or_mechanism,True,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
SOD1,v3,STAGE36B,results\tables\stage36b_hypothesis_grounding_v1.csv,Oxidative stress / antioxidant response,detected in local cross-version evidence file,candidate_or_mechanism,True,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
SOD2,v3,STAGE36B,results\tables\stage36b_hypothesis_grounding_v1.csv,Oxidative stress / antioxidant response,detected in local cross-version evidence file,candidate_or_mechanism,True,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
TREM2,v3,STAGE36B,results\tables\stage36b_hypothesis_grounding_v1.csv,Glial activation / disease-associated microglia-astrocyte state,detected in local cross-version evidence file,candidate_or_mechanism,True,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
APOE,v3,STAGE36C,results\tables\stage36c_ranked_gene_hypotheses_v1.csv,Glial activation / disease-associated microglia-astrocyte state,detected in local cross-version evidence file,other_context,False,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
BSG,v3,STAGE36C,results\tables\stage36c_ranked_gene_hypotheses_v1.csv,Inflammatory signaling / transport / cell-state modulation,detected in local cross-version evidence file,other_context,False,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
CST7,v3,STAGE36C,results\tables\stage36c_ranked_gene_hypotheses_v1.csv,Glial activation / disease-associated microglia-astrocyte state,detected in local cross-version evidence file,other_context,False,False,not assessed in this row,not assessed in this row,not mapped in Stage47 unless local drug resource exists,cross-version evidence for follow-up hypothesis,validated causal regulator; therapeutic target; experimental gene ablation,extracted by predeclared frozen-gene matching
