gene,final_tier,final_evidence_tier_v3,final_candidate_status_v3,model_implied_evidence,manifold_qc_evidence,internal_robustness_evidence,baseline_comparison_evidence,baseline_comparison_notes,external_cohort_evidence,cell_state_evidence,spatial_evidence,experimental_evidence,current_max_evidence_level,evidence_status_summary,claim_boundary
C1QC,biological_anchor_prior_candidate,prior_anchor_not_targeted_manifold_audited,biological_anchor_not_scorecard_promoted,biological_anchor_not_model_promoted,not_audited,not_testable_missing_donor_level_deltas,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=biological_anchor_not_model_promoted; manifold=not_audited; robustness=not_testable_missing_donor_level_deltas; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy."
SLAIN2,broad_state_caution,manifold_safe_caution_control,caution_control_not_promoted,not_promoted_caution_control,descriptive_qc_only,not_applicable_caution_control,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted_caution_control; manifold=descriptive_qc_only; robustness=not_applicable_caution_control; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy."
PAFAH1B1,broad_state_caution,manifold_safe_caution_control,caution_control_not_promoted,not_promoted_caution_control,descriptive_qc_only,not_applicable_caution_control,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted_caution_control; manifold=descriptive_qc_only; robustness=not_applicable_caution_control; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy."
FIP1L1,broad_state_caution,manifold_safe_caution_control,caution_control_not_promoted,not_promoted_caution_control,descriptive_qc_only,not_applicable_caution_control,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted_caution_control; manifold=descriptive_qc_only; robustness=not_applicable_caution_control; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy."
ERC1,broad_state_caution,manifold_safe_caution_control,caution_control_not_promoted,not_promoted_caution_control,descriptive_qc_only,not_applicable_caution_control,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted_caution_control; manifold=descriptive_qc_only; robustness=not_applicable_caution_control; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy."
KIF2A,broad_state_caution,manifold_safe_caution_control,caution_control_not_promoted,not_promoted_caution_control,descriptive_qc_only,not_applicable_caution_control,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted_caution_control; manifold=descriptive_qc_only; robustness=not_applicable_caution_control; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy."
NFATC3,broad_state_caution,broad_state_caution,caution_control_not_promoted,not_promoted_caution_control,not_audited,not_testable_missing_donor_level_deltas,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted_caution_control; manifold=not_audited; robustness=not_testable_missing_donor_level_deltas; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy."
APOE,broad_state_caution,manifold_safe_caution_control,caution_control_not_promoted,not_promoted_caution_control,descriptive_qc_only,not_applicable_caution_control,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted_caution_control; manifold=descriptive_qc_only; robustness=not_applicable_caution_control; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy."
WAPL,broad_state_caution,broad_state_caution,caution_control_not_promoted,not_promoted_caution_control,not_audited,not_testable_missing_donor_level_deltas,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted_caution_control; manifold=not_audited; robustness=not_testable_missing_donor_level_deltas; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy."
ATE1,broad_state_caution,broad_state_caution,caution_control_not_promoted,not_promoted_caution_control,not_audited,not_testable_missing_donor_level_deltas,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted_caution_control; manifold=not_audited; robustness=not_testable_missing_donor_level_deltas; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy."
HLA-DRA,broad_state_caution,broad_state_caution,caution_control_not_promoted,not_promoted_caution_control,not_audited,not_testable_missing_donor_level_deltas,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted_caution_control; manifold=not_audited; robustness=not_testable_missing_donor_level_deltas; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy."
PCCA,broad_state_caution,broad_state_caution,caution_control_not_promoted,not_promoted_caution_control,not_audited,not_testable_missing_donor_level_deltas,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted_caution_control; manifold=not_audited; robustness=not_testable_missing_donor_level_deltas; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy."
RC3H1,broad_state_caution,manifold_safe_caution_control,caution_control_not_promoted,not_promoted_caution_control,descriptive_qc_only,not_applicable_caution_control,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted_caution_control; manifold=descriptive_qc_only; robustness=not_applicable_caution_control; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy."
C1QB,broad_state_caution,broad_state_caution,caution_control_not_promoted,not_promoted_caution_control,not_audited,not_testable_missing_donor_level_deltas,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted_caution_control; manifold=not_audited; robustness=not_testable_missing_donor_level_deltas; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy."
STAT3,broad_state_caution,broad_state_caution,caution_control_not_promoted,not_promoted_caution_control,not_audited,not_testable_missing_donor_level_deltas,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted_caution_control; manifold=not_audited; robustness=not_testable_missing_donor_level_deltas; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy."
HECTD1,broad_state_caution,manifold_safe_caution_control,caution_control_not_promoted,not_promoted_caution_control,descriptive_qc_only,not_applicable_caution_control,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted_caution_control; manifold=descriptive_qc_only; robustness=not_applicable_caution_control; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy."
HELZ,broad_state_caution,broad_state_caution,caution_control_not_promoted,not_promoted_caution_control,not_audited,not_testable_missing_donor_level_deltas,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted_caution_control; manifold=not_audited; robustness=not_testable_missing_donor_level_deltas; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy."
AVL9,broad_state_caution,broad_state_caution,caution_control_not_promoted,not_promoted_caution_control,not_audited,not_testable_missing_donor_level_deltas,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted_caution_control; manifold=not_audited; robustness=not_testable_missing_donor_level_deltas; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy."
MAPK1,broad_state_caution,broad_state_caution,caution_control_not_promoted,not_promoted_caution_control,not_audited,not_testable_missing_donor_level_deltas,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted_caution_control; manifold=not_audited; robustness=not_testable_missing_donor_level_deltas; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy."
P2RY12,broad_state_caution,broad_state_caution,caution_control_not_promoted,not_promoted_caution_control,not_audited,not_testable_missing_donor_level_deltas,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted_caution_control; manifold=not_audited; robustness=not_testable_missing_donor_level_deltas; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy."
SFSWAP,broad_state_caution,broad_state_caution,caution_control_not_promoted,not_promoted_caution_control,not_audited,not_testable_missing_donor_level_deltas,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted_caution_control; manifold=not_audited; robustness=not_testable_missing_donor_level_deltas; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy."
APP,broad_state_caution,manifold_safe_caution_control,caution_control_not_promoted,not_promoted_caution_control,descriptive_qc_only,not_applicable_caution_control,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted_caution_control; manifold=descriptive_qc_only; robustness=not_applicable_caution_control; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy."
CDC42,broad_state_caution,broad_state_caution,caution_control_not_promoted,not_promoted_caution_control,not_audited,not_testable_missing_donor_level_deltas,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted_caution_control; manifold=not_audited; robustness=not_testable_missing_donor_level_deltas; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy."
KIAA2026,broad_state_caution,broad_state_caution,caution_control_not_promoted,not_promoted_caution_control,not_audited,not_testable_missing_donor_level_deltas,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted_caution_control; manifold=not_audited; robustness=not_testable_missing_donor_level_deltas; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy."
EXOC4,broad_state_caution,broad_state_caution,caution_control_not_promoted,not_promoted_caution_control,not_audited,not_testable_missing_donor_level_deltas,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted_caution_control; manifold=not_audited; robustness=not_testable_missing_donor_level_deltas; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy."
ERCC6L2,broad_state_caution,broad_state_caution,caution_control_not_promoted,not_promoted_caution_control,not_audited,not_testable_missing_donor_level_deltas,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted_caution_control; manifold=not_audited; robustness=not_testable_missing_donor_level_deltas; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy."
ANKHD1,broad_state_caution,broad_state_caution,caution_control_not_promoted,not_promoted_caution_control,not_audited,not_testable_missing_donor_level_deltas,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted_caution_control; manifold=not_audited; robustness=not_testable_missing_donor_level_deltas; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy."
TRPM7,broad_state_caution,broad_state_caution,caution_control_not_promoted,not_promoted_caution_control,not_audited,not_testable_missing_donor_level_deltas,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted_caution_control; manifold=not_audited; robustness=not_testable_missing_donor_level_deltas; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy."
SMG1,broad_state_caution,manifold_safe_caution_control,caution_control_not_promoted,not_promoted_caution_control,descriptive_qc_only,not_applicable_caution_control,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted_caution_control; manifold=descriptive_qc_only; robustness=not_applicable_caution_control; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy."
TMEM131,broad_state_caution,broad_state_caution,caution_control_not_promoted,not_promoted_caution_control,not_audited,not_testable_missing_donor_level_deltas,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted_caution_control; manifold=not_audited; robustness=not_testable_missing_donor_level_deltas; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy."
DLG1,broad_state_caution,manifold_safe_caution_control,caution_control_not_promoted,not_promoted_caution_control,descriptive_qc_only,not_applicable_caution_control,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted_caution_control; manifold=descriptive_qc_only; robustness=not_applicable_caution_control; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy."
ZMYM4,broad_state_caution,broad_state_caution,caution_control_not_promoted,not_promoted_caution_control,not_audited,not_testable_missing_donor_level_deltas,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted_caution_control; manifold=not_audited; robustness=not_testable_missing_donor_level_deltas; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy."
PPP2R5E,broad_state_caution,broad_state_caution,caution_control_not_promoted,not_promoted_caution_control,not_audited,not_testable_missing_donor_level_deltas,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted_caution_control; manifold=not_audited; robustness=not_testable_missing_donor_level_deltas; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy."
POLK,broad_state_caution,manifold_safe_caution_control,caution_control_not_promoted,not_promoted_caution_control,descriptive_qc_only,not_applicable_caution_control,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted_caution_control; manifold=descriptive_qc_only; robustness=not_applicable_caution_control; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy."
VPS54,broad_state_caution,broad_state_caution,caution_control_not_promoted,not_promoted_caution_control,not_audited,not_testable_missing_donor_level_deltas,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted_caution_control; manifold=not_audited; robustness=not_testable_missing_donor_level_deltas; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy."
HDAC8,broad_state_caution,manifold_safe_caution_control,caution_control_not_promoted,not_promoted_caution_control,descriptive_qc_only,not_applicable_caution_control,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted_caution_control; manifold=descriptive_qc_only; robustness=not_applicable_caution_control; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy."
PHKB,broad_state_caution,broad_state_caution,caution_control_not_promoted,not_promoted_caution_control,not_audited,not_testable_missing_donor_level_deltas,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted_caution_control; manifold=not_audited; robustness=not_testable_missing_donor_level_deltas; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy."
GSK3B,unsupported_or_deprioritized,manifold_safe_but_not_scorecard_promoted,not_promoted_despite_manifold_qc_pass,not_promoted,descriptive_qc_only,not_applicable_not_promoted,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted; manifold=descriptive_qc_only; robustness=not_applicable_not_promoted; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy."
ABL1,unsupported_or_deprioritized,unsupported_or_deprioritized_not_targeted_audited,not_promoted_under_conservative_rules,not_promoted,not_audited,not_testable_missing_donor_level_deltas,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted; manifold=not_audited; robustness=not_testable_missing_donor_level_deltas; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy."
VPS50,unsupported_or_deprioritized,unsupported_or_deprioritized_not_targeted_audited,not_promoted_under_conservative_rules,not_promoted,not_audited,not_testable_missing_donor_level_deltas,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted; manifold=not_audited; robustness=not_testable_missing_donor_level_deltas; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy."
SERGEF,unsupported_or_deprioritized,unsupported_or_deprioritized_not_targeted_audited,not_promoted_under_conservative_rules,not_promoted,not_audited,not_testable_missing_donor_level_deltas,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted; manifold=not_audited; robustness=not_testable_missing_donor_level_deltas; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy."
SCYL2,unsupported_or_deprioritized,unsupported_or_deprioritized_not_targeted_audited,not_promoted_under_conservative_rules,not_promoted,not_audited,not_testable_missing_donor_level_deltas,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted; manifold=not_audited; robustness=not_testable_missing_donor_level_deltas; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy."
PARP4,unsupported_or_deprioritized,unsupported_or_deprioritized_not_targeted_audited,not_promoted_under_conservative_rules,not_promoted,not_audited,not_testable_missing_donor_level_deltas,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted; manifold=not_audited; robustness=not_testable_missing_donor_level_deltas; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy."
ZDHHC17,unsupported_or_deprioritized,unsupported_or_deprioritized_not_targeted_audited,not_promoted_under_conservative_rules,not_promoted,not_audited,not_testable_missing_donor_level_deltas,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted; manifold=not_audited; robustness=not_testable_missing_donor_level_deltas; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy."
SH3KBP1,unsupported_or_deprioritized,unsupported_or_deprioritized_not_targeted_audited,not_promoted_under_conservative_rules,not_promoted,not_audited,not_testable_missing_donor_level_deltas,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted; manifold=not_audited; robustness=not_testable_missing_donor_level_deltas; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy."
PTPN18,unsupported_or_deprioritized,manifold_safe_but_not_scorecard_promoted,not_promoted_despite_manifold_qc_pass,not_promoted,descriptive_qc_only,not_applicable_not_promoted,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted; manifold=descriptive_qc_only; robustness=not_applicable_not_promoted; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy."
BDP1,unsupported_or_deprioritized,unsupported_or_deprioritized_not_targeted_audited,not_promoted_under_conservative_rules,not_promoted,not_audited,not_testable_missing_donor_level_deltas,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted; manifold=not_audited; robustness=not_testable_missing_donor_level_deltas; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy."
SGMS1,unsupported_or_deprioritized,unsupported_or_deprioritized_not_targeted_audited,not_promoted_under_conservative_rules,not_promoted,not_audited,not_testable_missing_donor_level_deltas,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted; manifold=not_audited; robustness=not_testable_missing_donor_level_deltas; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy."
ITFG1,unsupported_or_deprioritized,unsupported_or_deprioritized_not_targeted_audited,not_promoted_under_conservative_rules,not_promoted,not_audited,not_testable_missing_donor_level_deltas,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted; manifold=not_audited; robustness=not_testable_missing_donor_level_deltas; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy."
ADCY7,unsupported_or_deprioritized,unsupported_or_deprioritized_not_targeted_audited,not_promoted_under_conservative_rules,not_promoted,not_audited,not_testable_missing_donor_level_deltas,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted; manifold=not_audited; robustness=not_testable_missing_donor_level_deltas; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy."
MAP4K3,unsupported_or_deprioritized,unsupported_or_deprioritized_not_targeted_audited,not_promoted_under_conservative_rules,not_promoted,not_audited,not_testable_missing_donor_level_deltas,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted; manifold=not_audited; robustness=not_testable_missing_donor_level_deltas; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy."
WDR37,unsupported_or_deprioritized,unsupported_or_deprioritized_not_targeted_audited,not_promoted_under_conservative_rules,not_promoted,not_audited,not_testable_missing_donor_level_deltas,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted; manifold=not_audited; robustness=not_testable_missing_donor_level_deltas; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy."
TOP1,unsupported_or_deprioritized,unsupported_or_deprioritized_not_targeted_audited,not_promoted_under_conservative_rules,not_promoted,not_audited,not_testable_missing_donor_level_deltas,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted; manifold=not_audited; robustness=not_testable_missing_donor_level_deltas; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy."
