dataset,state_label,metric,target,spearman,n_donors
MTG,Micro-PVM_2_3-SEAAD,disease_program_q95,NeuN,-0.19125240457628837,84
DLPFC,Micro-PVM_2,disease_program_fraction_high_global_q95,NeuN,-0.18872922483443277,80
DLPFC,Micro-PVM_2_2-SEAAD,disease_program_fraction_high_global_q95,Iba1,0.18665529146765214,52
MTG,Micro-PVM_3-SEAAD,disease_program_mean,Iba1,0.18604839526171915,84
MTG,Micro-PVM_2,state_fraction_within_donor,Iba1,-0.1836387567075023,84
MTG,Micro-PVM_3-SEAAD,state_fraction_within_donor,NeuN,-0.18361850764402146,84
MTG,Monocyte,disease_program_q95,GFAP,0.18345864661654135,20
MTG,Lymphocyte,disease_program_mean,AT8,0.17915966386554621,50
DLPFC,Micro-PVM_1,disease_program_fraction_high_global_q95,GFAP,0.17893097607691275,60
DLPFC,Micro-PVM_2_1-SEAAD,disease_program_mean,AT8,0.175,15
MTG,Micro-PVM_4-SEAAD,state_fraction_within_donor,6e10/A_beta,-0.17362637362637365,14
DLPFC,Micro-PVM_2,disease_program_fraction_high_global_q95,AT8,0.1729763942433585,80
MTG,Monocyte,disease_program_fraction_high_global_q95,NeuN,-0.17176840793612858,20
MTG,Micro-PVM_4-SEAAD,disease_program_fraction_high_global_q95,6e10/A_beta,-0.17154403680406663,14
MTG,Micro-PVM_1,state_fraction_within_donor,6e10/A_beta,0.1710267229254571,80
MTG,Micro-PVM_1,disease_program_q95,Iba1,0.16992498827941865,80
DLPFC,Micro-PVM_2_2-SEAAD,disease_program_mean,NeuN,-0.16673781268675833,52
MTG,Micro-PVM_2_3-SEAAD,disease_program_fraction_high_global_q95,AT8,0.16623700798939,84
DLPFC,Micro-PVM_2,disease_program_q95,AT8,0.16305672761368964,80
DLPFC,Micro-PVM_3-SEAAD,disease_program_mean,AT8,0.1615174299384826,56
DLPFC,Micro-PVM_2,disease_program_q95,Iba1,0.16094702297233945,80
MTG,Micro-PVM_2_1-SEAAD,disease_program_mean,NeuN,0.1607142857142857,15
DLPFC,Micro-PVM_2_2-SEAAD,disease_program_fraction_high_global_q95,6e10/A_beta,0.16000855116204357,52
DLPFC,Micro-PVM_3-SEAAD,disease_program_fraction_high_global_q95,Iba1,0.1599975554811106,56
MTG,Micro-PVM_2_3-SEAAD,disease_program_fraction_high_global_q95,GFAP,0.15987066518613927,84
DLPFC,Micro-PVM_2,disease_program_mean,6e10/A_beta,0.159774964838256,80
DLPFC,Micro-PVM_2,disease_program_fraction_high_global_q95,Iba1,0.15637966201347672,80
MTG,Micro-PVM_2_3-SEAAD,disease_program_fraction_high_global_q95,Iba1,0.15590631482618517,84
DLPFC,Micro-PVM_2_1-SEAAD,disease_program_mean,NeuN,-0.15357142857142855,15
DLPFC,Micro-PVM_1_1-SEAAD,state_fraction_within_donor,6e10/A_beta,-0.15,16
MTG,Micro-PVM_4-SEAAD,disease_program_q95,6e10/A_beta,-0.14725274725274726,14
MTG,Micro-PVM_2,disease_program_mean,NeuN,-0.14674496304545914,84
MTG,Micro-PVM_4-SEAAD,disease_program_fraction_high_global_q95,AT8,0.14569493536783737,14
MTG,Micro-PVM_2_3-SEAAD,state_fraction_within_donor,Iba1,0.14391009415814518,84
DLPFC,Micro-PVM_2,state_fraction_within_donor,Iba1,-0.14308485700890766,80
MTG,Micro-PVM_2,state_fraction_within_donor,6e10/A_beta,-0.1430393844284702,84
DLPFC,Micro-PVM_3-SEAAD,state_fraction_within_donor,Iba1,0.14107997265892003,56
MTG,Lymphocyte,disease_program_q95,6e10/A_beta,-0.1400720288115246,50
MTG,Micro-PVM_2_3-SEAAD,disease_program_fraction_high_global_q95,NeuN,-0.13942184456267617,84
MTG,Micro-PVM_2_1-SEAAD,disease_program_q95,NeuN,0.13928571428571426,15
MTG,Micro-PVM_1,state_fraction_within_donor,AT8,0.1340600093764651,80
DLPFC,Micro-PVM_2_1-SEAAD,disease_program_fraction_high_global_q95,AT8,0.13280995431448117,15
DLPFC,Micro-PVM_2,disease_program_mean,GFAP,0.13021565869667134,80
DLPFC,Micro-PVM_1_1-SEAAD,state_fraction_within_donor,GFAP,-0.12941176470588234,16
DLPFC,Micro-PVM_2_2-SEAAD,disease_program_fraction_high_global_q95,NeuN,0.12913420301948755,52
MTG,Micro-PVM_1,disease_program_fraction_high_global_q95,Iba1,0.1274020251589328,80
MTG,Micro-PVM_2_1-SEAAD,disease_program_fraction_high_global_q95,Iba1,0.1267731382092775,15
DLPFC,Micro-PVM_2_1-SEAAD,disease_program_fraction_high_global_q95,GFAP,0.1267731382092775,15
MTG,Micro-PVM_1,disease_program_mean,Iba1,0.126699484294421,80
DLPFC,Micro-PVM_1_1-SEAAD,disease_program_q95,Iba1,0.1264705882352941,16
DLPFC,Micro-PVM_1,disease_program_mean,6e10/A_beta,0.12281189219227566,60
MTG,Micro-PVM_2_3-SEAAD,disease_program_mean,NeuN,-0.12173736964665384,84
DLPFC,Micro-PVM_2_2-SEAAD,state_fraction_within_donor,NeuN,-0.12012294032271834,52
DLPFC,Micro-PVM_2_1-SEAAD,disease_program_q95,Iba1,0.11785714285714284,15
MTG,Lymphocyte,disease_program_mean,NeuN,-0.11135654261704682,50
DLPFC,Micro-PVM_1,disease_program_fraction_high_global_q95,NeuN,-0.1113459054473045,60
DLPFC,Micro-PVM_2_2-SEAAD,state_fraction_within_donor,6e10/A_beta,-0.10893878596431315,52
DLPFC,Micro-PVM_3-SEAAD,disease_program_q95,Iba1,0.10874914559125086,56
DLPFC,Micro-PVM_3-SEAAD,state_fraction_within_donor,6e10/A_beta,0.1051948051948052,56
DLPFC,Micro-PVM_2_2-SEAAD,state_fraction_within_donor,Iba1,0.10509690087936481,52
DLPFC,Micro-PVM_3-SEAAD,disease_program_mean,6e10/A_beta,0.1037593984962406,56
DLPFC,Micro-PVM_2_1-SEAAD,state_fraction_within_donor,Iba1,0.10357142857142855,15
DLPFC,Micro-PVM_1,disease_program_mean,AT8,0.10291747707696584,60
MTG,Micro-PVM_3-SEAAD,state_fraction_within_donor,Iba1,0.09802571631062064,84
MTG,Micro-PVM_2_3-SEAAD,state_fraction_within_donor,GFAP,-0.09689176875569507,84
MTG,Micro-PVM_4-SEAAD,state_fraction_within_donor,NeuN,0.09010989010989012,14
DLPFC,Micro-PVM_1_1-SEAAD,disease_program_fraction_high_global_q95,6e10/A_beta,0.08664247105131358,16
MTG,Micro-PVM_2_3-SEAAD,state_fraction_within_donor,AT8,-0.08514731193682293,84
MTG,Micro-PVM_4-SEAAD,disease_program_fraction_high_global_q95,NeuN,-0.0822471409334566,14
MTG,Micro-PVM_2_1-SEAAD,disease_program_fraction_high_global_q95,GFAP,-0.07847860936764796,15
DLPFC,Micro-PVM_1,state_fraction_within_donor,6e10/A_beta,-0.07807832840887438,60
DLPFC,Micro-PVM_2,disease_program_mean,AT8,0.07782466010314111,80
DLPFC,Micro-PVM_2_2-SEAAD,disease_program_q95,AT8,-0.06855630496030052,52
DLPFC,Micro-PVM_2_2-SEAAD,state_fraction_within_donor,GFAP,0.06701955092632117,52
DLPFC,Micro-PVM_2_2-SEAAD,disease_program_mean,GFAP,0.06454366942713224,52
MTG,Lymphocyte,disease_program_q95,NeuN,-0.061992797118847545,50
DLPFC,Micro-PVM_2_2-SEAAD,disease_program_q95,NeuN,-0.05899427985998463,52
DLPFC,Micro-PVM_1,state_fraction_within_donor,AT8,-0.0579613498437409,60
MTG,Monocyte,state_fraction_within_donor,AT8,0.05714285714285714,20
DLPFC,Micro-PVM_1,state_fraction_within_donor,NeuN,-0.053404465196390236,60
MTG,Micro-PVM_2_3-SEAAD,state_fraction_within_donor,6e10/A_beta,-0.05335628227194492,84
MTG,Micro-PVM_4-SEAAD,disease_program_fraction_high_global_q95,GFAP,0.05169820287245844,14
DLPFC,Micro-PVM_1,disease_program_mean,Iba1,0.04801333703806614,60
DLPFC,Micro-PVM_2_2-SEAAD,disease_program_mean,6e10/A_beta,-0.04798087594979937,52
DLPFC,Micro-PVM_3-SEAAD,disease_program_mean,Iba1,0.04641148325358852,56
