gene,final_tier,final_evidence_tier_v3,final_candidate_status_v3,model_implied_evidence,manifold_qc_evidence,internal_robustness_evidence,baseline_comparison_evidence,baseline_comparison_notes,external_cohort_evidence,cell_state_evidence,spatial_evidence,experimental_evidence,current_max_evidence_level,evidence_status_summary,claim_boundary,level2_failure_pattern,level2_failed_required_axes,gfap_positive_fraction,iba1_positive_fraction,mean_GFAP_delta,mean_Iba1_delta,epsilon_sensitivity_summary,gliosis_failure_interpretation,diagnostic_only_no_evidence_promotion
ZKSCAN1,scorecard_supported_isolated_hypothesis,scorecard_supported_manifold_safe_isolated_hypothesis,promoted_model_hypothesis_manifold_qc_pass,pass,pass,not_passed,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,1,model=pass; manifold=pass; robustness=not_passed; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",passes_non_gliosis_axes_fails_gliosis_only,gliosis_noninflating_stability,0.9101123595505618,0.1910112359550561,0.0038033013913483,-0.0062638266673033,strict=0.000;eps0.001=0.000;eps0.005=0.776;eps0.01=1.000;sensitivity_only_not_evidence_promotion;threshold_dependent,strict_positive_part_gliosis_axis_only,True
SYT1,scorecard_supported_isolated_hypothesis,scorecard_supported_manifold_safe_isolated_hypothesis,promoted_model_hypothesis_manifold_qc_pass,pass,pass,not_passed,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,1,model=pass; manifold=pass; robustness=not_passed; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",passes_non_gliosis_axes_fails_gliosis_only,gliosis_noninflating_stability,0.5056179775280899,0.0,0.0048094116695842,-0.0249208935280898,strict=0.000;eps0.001=0.000;eps0.005=0.000;eps0.01=0.062;sensitivity_only_not_evidence_promotion;not_threshold_rescued,strict_positive_part_gliosis_axis_only,True
EIF2AK4,scorecard_supported_isolated_hypothesis,scorecard_supported_manifold_safe_isolated_hypothesis,promoted_model_hypothesis_manifold_qc_pass,pass,pass,not_passed,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,1,model=pass; manifold=pass; robustness=not_passed; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",fails_neuron_axis,neuron_direction_stability|gliosis_noninflating_stability,0.4943820224719101,0.2808988764044944,0.0073442970388764,-0.0221962231539325,strict=0.000;eps0.001=0.000;eps0.005=0.000;eps0.01=0.000;sensitivity_only_not_evidence_promotion;not_threshold_rescued,gliosis_plus_additional_required_axis_failure,True
CD74,scorecard_supported_isolated_hypothesis,scorecard_supported_manifold_safe_isolated_hypothesis,promoted_model_hypothesis_manifold_qc_pass,pass,pass,not_passed,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,1,model=pass; manifold=pass; robustness=not_passed; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",passes_non_gliosis_axes_fails_gliosis_only,gliosis_noninflating_stability,0.0224719101123595,0.6067415730337079,-0.0462769121752809,0.0083190537414606,strict=0.000;eps0.001=0.000;eps0.005=0.000;eps0.01=0.036;sensitivity_only_not_evidence_promotion;not_threshold_rescued,strict_positive_part_gliosis_axis_only,True
LPIN2,scorecard_supported_isolated_hypothesis,scorecard_supported_manifold_safe_isolated_hypothesis,promoted_model_hypothesis_manifold_qc_pass,pass,pass,not_passed,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,1,model=pass; manifold=pass; robustness=not_passed; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",passes_non_gliosis_axes_fails_gliosis_only,gliosis_noninflating_stability,0.0224719101123595,0.3707865168539326,-0.0311201154640449,-0.0130580741228089,strict=0.000;eps0.001=0.000;eps0.005=0.001;eps0.01=0.344;sensitivity_only_not_evidence_promotion;not_threshold_rescued,strict_positive_part_gliosis_axis_only,True
TCERG1,scorecard_supported_isolated_hypothesis,scorecard_supported_manifold_safe_isolated_hypothesis,promoted_model_hypothesis_manifold_qc_pass,pass,pass,not_passed,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,1,model=pass; manifold=pass; robustness=not_passed; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",passes_non_gliosis_axes_fails_gliosis_only,gliosis_noninflating_stability,0.0337078651685393,0.3146067415730337,-0.0237071407348314,-0.0092265659265168,strict=0.000;eps0.001=0.002;eps0.005=0.999;eps0.01=1.000;sensitivity_only_not_evidence_promotion;threshold_dependent,strict_positive_part_gliosis_axis_only,True
WIPF2,scorecard_supported_isolated_hypothesis,scorecard_supported_manifold_safe_isolated_hypothesis,promoted_model_hypothesis_manifold_qc_pass,pass,pass,not_passed,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,1,model=pass; manifold=pass; robustness=not_passed; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",passes_non_gliosis_axes_fails_gliosis_only,gliosis_noninflating_stability,0.7865168539325843,0.0,0.0136106737539325,-0.0293739673651685,strict=0.000;eps0.001=0.000;eps0.005=0.000;eps0.01=0.000;sensitivity_only_not_evidence_promotion;not_threshold_rescued,strict_positive_part_gliosis_axis_only,True
UBA3,scorecard_supported_isolated_hypothesis,scorecard_supported_manifold_safe_isolated_hypothesis,promoted_model_hypothesis_manifold_qc_pass,pass,pass,not_passed,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,1,model=pass; manifold=pass; robustness=not_passed; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",passes_non_gliosis_axes_fails_gliosis_only,gliosis_noninflating_stability,0.1797752808988764,0.0112359550561797,-0.0333007774311797,-0.0264326145865168,strict=0.000;eps0.001=0.009;eps0.005=0.953;eps0.01=1.000;sensitivity_only_not_evidence_promotion;threshold_dependent,strict_positive_part_gliosis_axis_only,True
CD4,biological_anchor_prior_candidate,prior_anchor_manifold_safe,biological_anchor_manifold_qc_pass,biological_anchor_not_model_promoted,descriptive_qc_only,not_applicable_biological_anchor,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=biological_anchor_not_model_promoted; manifold=descriptive_qc_only; robustness=not_applicable_biological_anchor; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",not_applicable,not_applicable,,,,,not_applicable,not_applicable,False
CTSD,biological_anchor_prior_candidate,prior_anchor_manifold_safe,biological_anchor_manifold_qc_pass,biological_anchor_not_model_promoted,descriptive_qc_only,not_applicable_biological_anchor,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=biological_anchor_not_model_promoted; manifold=descriptive_qc_only; robustness=not_applicable_biological_anchor; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",not_applicable,not_applicable,,,,,not_applicable,not_applicable,False
C3,biological_anchor_prior_candidate,prior_anchor_manifold_safe,biological_anchor_manifold_qc_pass,biological_anchor_not_model_promoted,descriptive_qc_only,not_applicable_biological_anchor,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=biological_anchor_not_model_promoted; manifold=descriptive_qc_only; robustness=not_applicable_biological_anchor; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",not_applicable,not_applicable,,,,,not_applicable,not_applicable,False
PLCG2,biological_anchor_prior_candidate,prior_anchor_manifold_safe,biological_anchor_manifold_qc_pass,biological_anchor_not_model_promoted,descriptive_qc_only,not_applicable_biological_anchor,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=biological_anchor_not_model_promoted; manifold=descriptive_qc_only; robustness=not_applicable_biological_anchor; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",not_applicable,not_applicable,,,,,not_applicable,not_applicable,False
C1QA,biological_anchor_prior_candidate,prior_anchor_manifold_safe,biological_anchor_manifold_qc_pass,biological_anchor_not_model_promoted,descriptive_qc_only,not_applicable_biological_anchor,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=biological_anchor_not_model_promoted; manifold=descriptive_qc_only; robustness=not_applicable_biological_anchor; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",not_applicable,not_applicable,,,,,not_applicable,not_applicable,False
TREM2,biological_anchor_prior_candidate,prior_anchor_manifold_safe,biological_anchor_manifold_qc_pass,biological_anchor_not_model_promoted,descriptive_qc_only,not_applicable_biological_anchor,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=biological_anchor_not_model_promoted; manifold=descriptive_qc_only; robustness=not_applicable_biological_anchor; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",not_applicable,not_applicable,,,,,not_applicable,not_applicable,False
CSF1R,biological_anchor_prior_candidate,prior_anchor_manifold_safe,biological_anchor_manifold_qc_pass,biological_anchor_not_model_promoted,descriptive_qc_only,not_applicable_biological_anchor,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=biological_anchor_not_model_promoted; manifold=descriptive_qc_only; robustness=not_applicable_biological_anchor; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",not_applicable,not_applicable,,,,,not_applicable,not_applicable,False
TYROBP,biological_anchor_prior_candidate,prior_anchor_manifold_safe,biological_anchor_manifold_qc_pass,biological_anchor_not_model_promoted,descriptive_qc_only,not_applicable_biological_anchor,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=biological_anchor_not_model_promoted; manifold=descriptive_qc_only; robustness=not_applicable_biological_anchor; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",not_applicable,not_applicable,,,,,not_applicable,not_applicable,False
ROCK1,biological_anchor_prior_candidate,prior_anchor_not_targeted_manifold_audited,biological_anchor_not_scorecard_promoted,biological_anchor_not_model_promoted,not_audited,not_testable_missing_donor_level_deltas,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=biological_anchor_not_model_promoted; manifold=not_audited; robustness=not_testable_missing_donor_level_deltas; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",not_applicable,not_applicable,,,,,not_applicable,not_applicable,False
BCL2,biological_anchor_prior_candidate,prior_anchor_not_targeted_manifold_audited,biological_anchor_not_scorecard_promoted,biological_anchor_not_model_promoted,not_audited,not_testable_missing_donor_level_deltas,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=biological_anchor_not_model_promoted; manifold=not_audited; robustness=not_testable_missing_donor_level_deltas; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",not_applicable,not_applicable,,,,,not_applicable,not_applicable,False
SPP1,biological_anchor_prior_candidate,prior_anchor_not_targeted_manifold_audited,biological_anchor_not_scorecard_promoted,biological_anchor_not_model_promoted,not_audited,not_testable_missing_donor_level_deltas,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=biological_anchor_not_model_promoted; manifold=not_audited; robustness=not_testable_missing_donor_level_deltas; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",not_applicable,not_applicable,,,,,not_applicable,not_applicable,False
P2RY13,biological_anchor_prior_candidate,prior_anchor_not_targeted_manifold_audited,biological_anchor_not_scorecard_promoted,biological_anchor_not_model_promoted,not_audited,not_testable_missing_donor_level_deltas,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=biological_anchor_not_model_promoted; manifold=not_audited; robustness=not_testable_missing_donor_level_deltas; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",not_applicable,not_applicable,,,,,not_applicable,not_applicable,False
CX3CR1,biological_anchor_prior_candidate,prior_anchor_not_targeted_manifold_audited,biological_anchor_not_scorecard_promoted,biological_anchor_not_model_promoted,not_audited,not_testable_missing_donor_level_deltas,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=biological_anchor_not_model_promoted; manifold=not_audited; robustness=not_testable_missing_donor_level_deltas; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",not_applicable,not_applicable,,,,,not_applicable,not_applicable,False
C1QC,biological_anchor_prior_candidate,prior_anchor_not_targeted_manifold_audited,biological_anchor_not_scorecard_promoted,biological_anchor_not_model_promoted,not_audited,not_testable_missing_donor_level_deltas,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=biological_anchor_not_model_promoted; manifold=not_audited; robustness=not_testable_missing_donor_level_deltas; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",not_applicable,not_applicable,,,,,not_applicable,not_applicable,False
SLAIN2,broad_state_caution,manifold_safe_caution_control,caution_control_not_promoted,not_promoted_caution_control,descriptive_qc_only,not_applicable_caution_control,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted_caution_control; manifold=descriptive_qc_only; robustness=not_applicable_caution_control; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",not_applicable,not_applicable,,,,,not_applicable,not_applicable,False
PAFAH1B1,broad_state_caution,manifold_safe_caution_control,caution_control_not_promoted,not_promoted_caution_control,descriptive_qc_only,not_applicable_caution_control,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted_caution_control; manifold=descriptive_qc_only; robustness=not_applicable_caution_control; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",not_applicable,not_applicable,,,,,not_applicable,not_applicable,False
FIP1L1,broad_state_caution,manifold_safe_caution_control,caution_control_not_promoted,not_promoted_caution_control,descriptive_qc_only,not_applicable_caution_control,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted_caution_control; manifold=descriptive_qc_only; robustness=not_applicable_caution_control; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",not_applicable,not_applicable,,,,,not_applicable,not_applicable,False
ERC1,broad_state_caution,manifold_safe_caution_control,caution_control_not_promoted,not_promoted_caution_control,descriptive_qc_only,not_applicable_caution_control,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted_caution_control; manifold=descriptive_qc_only; robustness=not_applicable_caution_control; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",not_applicable,not_applicable,,,,,not_applicable,not_applicable,False
KIF2A,broad_state_caution,manifold_safe_caution_control,caution_control_not_promoted,not_promoted_caution_control,descriptive_qc_only,not_applicable_caution_control,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted_caution_control; manifold=descriptive_qc_only; robustness=not_applicable_caution_control; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",not_applicable,not_applicable,,,,,not_applicable,not_applicable,False
NFATC3,broad_state_caution,broad_state_caution,caution_control_not_promoted,not_promoted_caution_control,not_audited,not_testable_missing_donor_level_deltas,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted_caution_control; manifold=not_audited; robustness=not_testable_missing_donor_level_deltas; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",not_applicable,not_applicable,,,,,not_applicable,not_applicable,False
APOE,broad_state_caution,manifold_safe_caution_control,caution_control_not_promoted,not_promoted_caution_control,descriptive_qc_only,not_applicable_caution_control,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted_caution_control; manifold=descriptive_qc_only; robustness=not_applicable_caution_control; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",not_applicable,not_applicable,,,,,not_applicable,not_applicable,False
WAPL,broad_state_caution,broad_state_caution,caution_control_not_promoted,not_promoted_caution_control,not_audited,not_testable_missing_donor_level_deltas,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted_caution_control; manifold=not_audited; robustness=not_testable_missing_donor_level_deltas; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",not_applicable,not_applicable,,,,,not_applicable,not_applicable,False
ATE1,broad_state_caution,broad_state_caution,caution_control_not_promoted,not_promoted_caution_control,not_audited,not_testable_missing_donor_level_deltas,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted_caution_control; manifold=not_audited; robustness=not_testable_missing_donor_level_deltas; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",not_applicable,not_applicable,,,,,not_applicable,not_applicable,False
HLA-DRA,broad_state_caution,broad_state_caution,caution_control_not_promoted,not_promoted_caution_control,not_audited,not_testable_missing_donor_level_deltas,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted_caution_control; manifold=not_audited; robustness=not_testable_missing_donor_level_deltas; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",not_applicable,not_applicable,,,,,not_applicable,not_applicable,False
PCCA,broad_state_caution,broad_state_caution,caution_control_not_promoted,not_promoted_caution_control,not_audited,not_testable_missing_donor_level_deltas,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted_caution_control; manifold=not_audited; robustness=not_testable_missing_donor_level_deltas; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",not_applicable,not_applicable,,,,,not_applicable,not_applicable,False
RC3H1,broad_state_caution,manifold_safe_caution_control,caution_control_not_promoted,not_promoted_caution_control,descriptive_qc_only,not_applicable_caution_control,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted_caution_control; manifold=descriptive_qc_only; robustness=not_applicable_caution_control; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",not_applicable,not_applicable,,,,,not_applicable,not_applicable,False
C1QB,broad_state_caution,broad_state_caution,caution_control_not_promoted,not_promoted_caution_control,not_audited,not_testable_missing_donor_level_deltas,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted_caution_control; manifold=not_audited; robustness=not_testable_missing_donor_level_deltas; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",not_applicable,not_applicable,,,,,not_applicable,not_applicable,False
STAT3,broad_state_caution,broad_state_caution,caution_control_not_promoted,not_promoted_caution_control,not_audited,not_testable_missing_donor_level_deltas,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted_caution_control; manifold=not_audited; robustness=not_testable_missing_donor_level_deltas; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",not_applicable,not_applicable,,,,,not_applicable,not_applicable,False
HECTD1,broad_state_caution,manifold_safe_caution_control,caution_control_not_promoted,not_promoted_caution_control,descriptive_qc_only,not_applicable_caution_control,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted_caution_control; manifold=descriptive_qc_only; robustness=not_applicable_caution_control; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",not_applicable,not_applicable,,,,,not_applicable,not_applicable,False
HELZ,broad_state_caution,broad_state_caution,caution_control_not_promoted,not_promoted_caution_control,not_audited,not_testable_missing_donor_level_deltas,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted_caution_control; manifold=not_audited; robustness=not_testable_missing_donor_level_deltas; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",not_applicable,not_applicable,,,,,not_applicable,not_applicable,False
AVL9,broad_state_caution,broad_state_caution,caution_control_not_promoted,not_promoted_caution_control,not_audited,not_testable_missing_donor_level_deltas,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted_caution_control; manifold=not_audited; robustness=not_testable_missing_donor_level_deltas; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",not_applicable,not_applicable,,,,,not_applicable,not_applicable,False
MAPK1,broad_state_caution,broad_state_caution,caution_control_not_promoted,not_promoted_caution_control,not_audited,not_testable_missing_donor_level_deltas,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted_caution_control; manifold=not_audited; robustness=not_testable_missing_donor_level_deltas; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",not_applicable,not_applicable,,,,,not_applicable,not_applicable,False
P2RY12,broad_state_caution,broad_state_caution,caution_control_not_promoted,not_promoted_caution_control,not_audited,not_testable_missing_donor_level_deltas,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted_caution_control; manifold=not_audited; robustness=not_testable_missing_donor_level_deltas; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",not_applicable,not_applicable,,,,,not_applicable,not_applicable,False
SFSWAP,broad_state_caution,broad_state_caution,caution_control_not_promoted,not_promoted_caution_control,not_audited,not_testable_missing_donor_level_deltas,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted_caution_control; manifold=not_audited; robustness=not_testable_missing_donor_level_deltas; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",not_applicable,not_applicable,,,,,not_applicable,not_applicable,False
APP,broad_state_caution,manifold_safe_caution_control,caution_control_not_promoted,not_promoted_caution_control,descriptive_qc_only,not_applicable_caution_control,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,not_promoted,model=not_promoted_caution_control; manifold=descriptive_qc_only; robustness=not_applicable_caution_control; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",not_applicable,not_applicable,,,,,not_applicable,not_applicable,False
