model,target,module,perturbation,intervention,n_genes_perturbed,genes,mean_delta_model_scale,mean_delta_raw_scale,median_delta_raw_scale,abs_mean_delta_raw_scale,n_donors,n_cells,source_file,target_short,effect_direction
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,P2RY12,global_mean,1,P2RY12,0.0029811304993927,0.0178252011537551,0.0133376121520996,0.0178252011537551,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_gfap.csv,GFAP,up
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,1,TLR2,0.0027525355108082,0.0164810791611671,0.0123648643493652,0.0164810791611671,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_gfap.csv,GFAP,up
upgrade_fine_08,percent GFAP positive area_Grey matter,at8_associated_first_pass;disease_associated_microglia;lysosome_phagocytosis;plaque_response,CTSD,global_mean,1,CTSD,0.0024907644838094,0.014668027870357,0.0120739936828613,0.014668027870357,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_gfap.csv,GFAP,up
upgrade_fine_08,percent GFAP positive area_Grey matter,antigen_presentation,CD74,global_mean,1,CD74,0.0023169375490397,0.0139501746743917,0.0118327140808105,0.0139501746743917,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_gfap.csv,GFAP,up
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,CD4,global_mean,1,CD4,0.0019551841542124,0.0119060650467872,0.009645938873291,0.0119060650467872,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_gfap.csv,GFAP,up
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,1,CSF1R,0.0019377754069864,0.0116935539990663,0.0087101459503173,0.0116935539990663,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_gfap.csv,GFAP,up
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,RHOA,global_mean,1,RHOA,0.001863217097707,0.0109580438584089,0.0077433586120605,0.0109580438584089,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_gfap.csv,GFAP,up
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,UGCG,global_mean,1,UGCG,0.0013650272740051,0.0079714655876159,0.0062322616577148,0.0079714655876159,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_gfap.csv,GFAP,up
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,ROCK1,global_mean,1,ROCK1,0.0012979010352864,0.007653341628611,0.0068187713623046,0.007653341628611,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_gfap.csv,GFAP,up
upgrade_fine_08,percent GFAP positive area_Grey matter,lipid_metabolism,PLCG2,global_mean,1,PLCG2,0.001089077675715,0.0067346352152526,0.0048276185989379,0.0067346352152526,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_gfap.csv,GFAP,up
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,P2RY13,global_mean,1,P2RY13,0.0010365829803049,0.0058046067133545,0.0057473182678222,0.0058046067133545,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_gfap.csv,GFAP,up
upgrade_fine_08,percent GFAP positive area_Grey matter,at8_associated_first_pass,PTPRG,global_mean,1,PTPRG,-0.0003753687778953,-0.0021057042758911,-0.0023112297058105,0.0021057042758911,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_gfap.csv,GFAP,down
upgrade_fine_08,percent GFAP positive area_Grey matter,at8_associated_first_pass,CHI3L1,global_mean,1,CHI3L1,-0.0002969035122077,-0.001681605936028,-0.0027606487274169,0.001681605936028,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_gfap.csv,GFAP,down
