donor_id,n_cells
Donor_93,17
R24_P2735,17
Donor_870,17
Donor_494,17
Donor_100,17
H20.33.027,17
Donor_211,17
Donor_388,16
Donor_1400,16
Donor_571,16
H200.1023,16
Donor_1015,16
Donor_18,16
Donor_52,16
Donor_47,16
Donor_203,16
5893,16
Donor_1013,16
Donor_680,16
Donor_313,16
Donor_48,15
5242,15
Inf2,15
Donor_486,15
Donor_240,15
Donor_609,15
Donor_1026,15
XDD431,15
Donor_1065,15
Donor_476,15
Donor_1242,15
Donor_37,15
Donor_1113,15
Donor_1194,15
Donor_969,15
Donor_1111,15
Donor_20,15
Donor_746,14
Donor_1310,14
Donor_286,14
Donor_1281,14
QSBBP2417,14
Donor_306,14
4426,14
Donor_109,14
5408,14
Donor_128,14
Donor_727,14
Donor_472,14
Donor_1406,14
Donor_675,14
Donor_307,14
RL2102,14
Donor_1330,14
Donor_28,14
Donor_6,14
Donor_409,14
Donor_1152,13
Donor_734,13
Donor_1334,13
Donor_514,13
RL2130,13
Donor_1144,13
manaab_H29,13
Donor_1329,13
R24_P2738,13
Donor_594,13
Donor_114,13
Donor_207,13
Donor_1277,13
#138,13
Donor_963,13
Donor_202,13
H21.33.019,13
31,13
Donor_415,12
Donor_296,12
postnatB_7,12
QSBBP1716,12
Donor_265,12
f5sVM,12
Donor_360,12
Donor_931,12
RL1777,12
Donor_99,12
Donor_1309,12
Donor_1479,12
6,12
Donor_1125,12
donor3,12
Donor_1240,12
Donor_578,12
Donor_663,12
Donor_1092,12
R24_P2736,12
JHU101,12
Donor_478,12
Donor_839,12
Donor_567,12
Donor_287,12
Donor_183,12
Donor_103,12
Donor_1122,11
Donor_1387,11
franjic_hsb237,11
Donor_346,11
Donor_1364,11
H200.1030,11
Donor_1138,11
Donor_278,11
Donor_617,11
Donor_280,11
64,11
Donor_961,11
Donor_1255,11
RL2125,11
Donor_248,11
Donor_957,11
Donor_1233,11
Donor_1200,11
Donor_14,11
Donor_177,11
Donor_517,11
Donor_776,11
Donor_1230,11
Donor_1159,11
4389,11
Donor_151,11
Donor_775,11
Donor_523,11
LR_RM.13114.F.B.54,11
postnatB_10,11
Donor_1165,11
C48,11
C42,11
donor8,11
Donor_1070,10
Donor_482,10
Donor_266,10
5554,10
Donor_1241,10
4350,10
Donor_65,10
Donor_345,10
RL2100,10
Donor_631,10
Donor_326,10
Donor_1227,10
Donor_325,10
GW20-11-28-18,10
Donor_1482,10
Donor_1319,10
Donor_871,10
Donor_441,10
Donor_1030,9
Donor_640,9
Donor_1316,9
Donor_666,9
Donor_691,9
Donor_107,9
JHU95,9
Donor_483,9
Donor_1208,9
Donor_1326,9
Donor_698,9
Donor_27,9
Donor_1081,9
Donor_676,9
Donor_1150,9
Donor_1438,9
Donor_1185,9
Donor_745,9
Donor_715,9
H27058,9
Donor_267,9
Donor_1359,9
manaab_H46,9
Donor_1243,9
Donor_1454,9
H200.1025,9
Donor_81,9
SD026/16,8
Donor_1297,8
C46,8
112,8
NIH-M2837,8
NIH-M1154,8
donor6,8
Donor_1365,8
Donor_1293,8
4341,8
Donor_1429,8
RL2126,8
Donor_632,8
Donor_1060,8
Donor_200,8
5387,8
Donor_1307,8
Donor_1443,8
Donor_232,8
Donor_316,8
Donor_260,8
137,8
Donor_668,8
5936,8
Donor_789,8
Donor_1462,8
Donor_370,8
Donor_163,8
Donor_909,8
Donor_314,8
Donor_737,8
Donor_1041,8
Donor_858,8
Donor_783,8
Donor_1137,8
C96,7
5538,7
5879,7
BRC2256,7
Donor_253,7
Donor_805,7
Donor_597,7
Donor_462,7
Donor_173,7
Donor_1213,7
Donor_1378,7
Donor_429,7
Donor_1115,7
Donor_122,7
Donor_1289,7
Donor_356,7
Donor_646,7
Donor_1430,7
Donor_842,7
10,7
Donor_61,7
63,7
60,7
Donor_1459,7
4670,7
5608,7
