gene,module,mean_donor_delta,bootstrap_ci_low,bootstrap_ci_high,adjusted_slope,partial_spearman,model_implied_at8_reducing_knockout,confounder_adjusted_abs_partial_spearman,at8_pseudobulk_score,is_hpa_fda_drug_target,is_hpa_predicted_secreted,is_hpa_predicted_membrane,biology_score,translational_bonus,translational_priority_score,translational_category
RBMS3,,,,,,,,,0.16398503,0,0,0,0.04633950744629214,0.0,0.04633950744629214,biology_first_hard_target
MTX2,,,,,,,,,-0.16385806,0,0,0,0.046303623088209456,0.0,0.046303623088209456,biology_first_hard_target
DEPTOR,,,,,,,,,-0.16344094,0,0,0,0.04618573631618894,0.0,0.04618573631618894,biology_first_hard_target
CAST,,,,,,,,,0.16334158,0,0,0,0.04615765511733019,0.0,0.04615765511733019,biology_first_hard_target
KPNA6,,,,,,,,,0.16301027,0,0,0,0.04606402003285062,0.0,0.04606402003285062,biology_first_hard_target
TANGO2,,,,,,,,,-0.16282363,0,0,0,0.04601127169393158,0.0,0.04601127169393158,biology_first_hard_target
TRMT11,,,,,,,,,0.16280483,0,0,0,0.04600595842361612,0.0,0.04600595842361612,biology_first_hard_target
SEPTIN2,,,,,,,,,-0.1626658,0,0,0,0.045966665659150224,0.0,0.045966665659150224,biology_first_hard_target
EPC2,,,,,,,,,0.16240938,0,0,0,0.045894196043496455,0.0,0.045894196043496455,biology_first_hard_target
EVL,,,,,,,,,-0.1623325,0,0,0,0.04587246815935534,0.0,0.04587246815935534,biology_first_hard_target
SMCHD1,,,,,,,,,0.16227843,0,0,0,0.04585718685478316,0.0,0.04585718685478316,biology_first_hard_target
RASSF3,,,,,,,,,0.1622572,0,0,0,0.045851186816017346,0.0,0.045851186816017346,biology_first_hard_target
MAPK14,,,,,,,,,0.16218065,0,0,0,0.04582955219672753,0.0,0.04582955219672753,biology_first_hard_target
PPHLN1,,,,,,,,,0.16178815,0,0,0,0.045718623547854165,0.0,0.045718623547854165,biology_first_hard_target
DOCK3,,,,,,,,,0.16151765,0,0,0,0.04564217463187903,0.0,0.04564217463187903,biology_first_hard_target
DCTN4,,,,,,,,,-0.16137001,0,0,0,0.04560044850265696,0.0,0.04560044850265696,biology_first_hard_target
CKAP5,,,,,,,,,-0.16113144,0,0,0,0.045533023667595256,0.0,0.045533023667595256,biology_first_hard_target
LRRC28,,,,,,,,,-0.1609073,0,0,0,0.04546967705012144,0.0,0.04546967705012144,biology_first_hard_target
PAXBP1,,,,,,,,,-0.16052948,0,0,0,0.04536289727402633,0.0,0.04536289727402633,biology_first_hard_target
RPS27,,,,,,,,,0.16025704,0,0,0,0.04528590007377395,0.0,0.04528590007377395,biology_first_hard_target
KAT2B,,,,,,,,,0.16009425,0,0,0,0.04523989224001575,0.0,0.04523989224001575,biology_first_hard_target
AMD1,,,,,,,,,0.15989631,0,0,0,0.045183950286492205,0.0,0.045183950286492205,biology_first_hard_target
AUH,,,,,,,,,0.15957607,0,0,0,0.045093443813842005,0.0,0.045093443813842005,biology_first_hard_target
CBR4,,,,,,,,,-0.15956767,0,0,0,0.04509106979944573,0.0,0.04509106979944573,biology_first_hard_target
STXBP3,,,,,,,,,0.15945405,0,0,0,0.04505895842852856,0.0,0.04505895842852856,biology_first_hard_target
RBM39,,,,,,,,,0.15937303,0,0,0,0.04503606049443501,0.0,0.04503606049443501,biology_first_hard_target
NDUFA10,,,,,,,,,-0.15893126,0,0,0,0.044911207120644475,0.0,0.044911207120644475,biology_first_hard_target
RPL26,,,,,,,,,-0.15887997,0,0,0,0.04489671150178916,0.0,0.04489671150178916,biology_first_hard_target
ARHGAP21,,,,,,,,,-0.15855151,0,0,0,0.04480388188647975,0.0,0.04480388188647975,biology_first_hard_target
BTAF1,,,,,,,,,-0.15852924,0,0,0,0.04479758792212201,0.0,0.04479758792212201,biology_first_hard_target
RBPJ,,,,,,,,,0.15850449,0,0,0,0.04479059305827586,0.0,0.04479059305827586,biology_first_hard_target
MARCH3,,,,,,,,,-0.15841101,0,0,0,0.044764173669494506,0.0,0.044764173669494506,biology_first_hard_target
BHLHE41,,,,,,,,,-0.15750045,0,0,0,0.04450683050893877,0.0,0.04450683050893877,biology_first_hard_target
EML1,,,,,,,,,-0.15736909,0,0,0,0.044469705445713284,0.0,0.044469705445713284,biology_first_hard_target
