dataset,module,graph_variant,alpha,metric,target,spearman,n_donors,n_graph_genes_present,seed_mass_present
MTG,dam_lipid_trem2_apoe,uncapped,0.25,fraction_high_global_q95,GFAP,0.34365381507126613,84,119,0.8037557680143433
MTG,dam_lipid_trem2_apoe,uncapped,0.25,fraction_high_global_q95,Iba1,0.1957719099704791,84,119,0.8037557680143433
MTG,dam_lipid_trem2_apoe,uncapped,0.25,fraction_high_global_q95,NeuN,-0.2037299530629903,84,119,0.8037557680143433
MTG,dam_lipid_trem2_apoe,uncapped,0.25,variance,AT8,0.4206945428773919,84,119,0.8037557680143433
MTG,dam_lipid_trem2_apoe,uncapped,0.25,variance,6e10/A_beta,0.3419864331274679,84,119,0.8037557680143433
MTG,dam_lipid_trem2_apoe,uncapped,0.25,variance,GFAP,0.3668117849549459,84,119,0.8037557680143433
MTG,dam_lipid_trem2_apoe,uncapped,0.25,variance,Iba1,0.13619520097195506,84,119,0.8037557680143433
MTG,dam_lipid_trem2_apoe,uncapped,0.25,variance,NeuN,-0.2697985218183659,84,119,0.8037557680143433
MTG,dam_lipid_trem2_apoe,uncapped,0.5,mean,AT8,0.4126961628024704,84,119,0.6075115360286854
MTG,dam_lipid_trem2_apoe,uncapped,0.5,mean,6e10/A_beta,0.3560392831831528,84,119,0.6075115360286854
MTG,dam_lipid_trem2_apoe,uncapped,0.5,mean,GFAP,0.22516958590665184,84,119,0.6075115360286854
MTG,dam_lipid_trem2_apoe,uncapped,0.5,mean,Iba1,0.24527690594310014,84,119,0.6075115360286854
MTG,dam_lipid_trem2_apoe,uncapped,0.5,mean,NeuN,-0.08053052546319733,84,119,0.6075115360286854
MTG,dam_lipid_trem2_apoe,uncapped,0.5,q95,AT8,0.4245216158752658,84,119,0.6075115360286854
MTG,dam_lipid_trem2_apoe,uncapped,0.5,q95,6e10/A_beta,0.39218386149640583,84,119,0.6075115360286854
MTG,dam_lipid_trem2_apoe,uncapped,0.5,q95,GFAP,0.31784954945833754,84,119,0.6075115360286854
MTG,dam_lipid_trem2_apoe,uncapped,0.5,q95,Iba1,0.260969930140731,84,119,0.6075115360286854
MTG,dam_lipid_trem2_apoe,uncapped,0.5,q95,NeuN,-0.21549053356282274,84,119,0.6075115360286854
MTG,dam_lipid_trem2_apoe,uncapped,0.5,q99,AT8,0.4206945428773919,84,119,0.6075115360286854
MTG,dam_lipid_trem2_apoe,uncapped,0.5,q99,6e10/A_beta,0.40159967601498425,84,119,0.6075115360286854
MTG,dam_lipid_trem2_apoe,uncapped,0.5,q99,GFAP,0.3164321150146806,84,119,0.6075115360286854
MTG,dam_lipid_trem2_apoe,uncapped,0.5,q99,Iba1,0.21591576389591985,84,119,0.6075115360286854
MTG,dam_lipid_trem2_apoe,uncapped,0.5,q99,NeuN,-0.2140123519287233,84,119,0.6075115360286854
MTG,dam_lipid_trem2_apoe,uncapped,0.5,top_5pct_mean,AT8,0.442462286119267,84,119,0.6075115360286854
MTG,dam_lipid_trem2_apoe,uncapped,0.5,top_5pct_mean,6e10/A_beta,0.4091930748202896,84,119,0.6075115360286854
MTG,dam_lipid_trem2_apoe,uncapped,0.5,top_5pct_mean,GFAP,0.32242583780500156,84,119,0.6075115360286854
MTG,dam_lipid_trem2_apoe,uncapped,0.5,top_5pct_mean,Iba1,0.24260402956363272,84,119,0.6075115360286854
MTG,dam_lipid_trem2_apoe,uncapped,0.5,top_5pct_mean,NeuN,-0.2423002936114205,84,119,0.6075115360286854
MTG,dam_lipid_trem2_apoe,uncapped,0.5,fraction_high_global_q95,AT8,0.40680385767455146,84,119,0.6075115360286854
MTG,dam_lipid_trem2_apoe,uncapped,0.5,fraction_high_global_q95,6e10/A_beta,0.38330422469058884,84,119,0.6075115360286854
MTG,dam_lipid_trem2_apoe,uncapped,0.5,fraction_high_global_q95,GFAP,0.3111651100801909,84,119,0.6075115360286854
MTG,dam_lipid_trem2_apoe,uncapped,0.5,fraction_high_global_q95,Iba1,0.20251600988591997,84,119,0.6075115360286854
MTG,dam_lipid_trem2_apoe,uncapped,0.5,fraction_high_global_q95,NeuN,-0.23271825253613992,84,119,0.6075115360286854
MTG,dam_lipid_trem2_apoe,uncapped,0.5,variance,AT8,0.40034423407917386,84,119,0.6075115360286854
MTG,dam_lipid_trem2_apoe,uncapped,0.5,variance,6e10/A_beta,0.3265566467550876,84,119,0.6075115360286854
