path,version_bucket,stage_hint,role,byte_size,referenced_by_tracked_doc_or_config_count,physical_move_recommended_now,path_policy,notes
configs/train/stage_b_adversarial.yaml,unclassified,,training_config,1460,2,false,path_stable_or_wrapper_required,phase3_index_only
configs/v4/README.md,v4,v4,active_v4_config,335,0,false,active_v4_namespace,phase3_index_only
configs/v4/stage80_v4_launchpad.yaml,v4,stage80,active_v4_config,1200,0,false,active_v4_namespace,phase3_index_only
docs/ACTIVE_V3_STATUS.md,v3,,project_doc,37018,58,false,path_stable_or_wrapper_required,phase3_index_only
docs/DATASET_REGISTRY.md,unclassified,,project_doc,4306,0,false,move_only_after_reference_audit,phase3_index_only
docs/V3_SCORECARD.md,v3,,project_doc,33074,57,false,path_stable_or_wrapper_required,phase3_index_only
docs/architecture.md,unclassified,,project_doc,6397,0,false,move_only_after_reference_audit,phase3_index_only
docs/causal_discovery.md,unclassified,,project_doc,8196,1,false,move_only_after_reference_audit,phase3_index_only
docs/cleanup_manifest.md,unclassified,,project_doc,1461,0,false,move_only_after_reference_audit,phase3_index_only
docs/current_status.md,unclassified,,project_doc,98454,0,false,move_only_after_reference_audit,phase3_index_only
docs/dataset_guide.md,unclassified,,project_doc,12163,0,false,move_only_after_reference_audit,phase3_index_only
docs/external_cohort_reconnaissance.md,unclassified,,project_doc,5447,0,false,move_only_after_reference_audit,phase3_index_only
docs/external_perturbation_benchmarks.md,unclassified,,project_doc,11014,1,false,move_only_after_reference_audit,phase3_index_only
docs/external_validation_next_steps.md,unclassified,,project_doc,11567,0,false,move_only_after_reference_audit,phase3_index_only
docs/figure_gallery.md,unclassified,,project_doc,7619,1,false,move_only_after_reference_audit,phase3_index_only
docs/github_about.md,unclassified,,project_doc,2482,0,false,move_only_after_reference_audit,phase3_index_only
docs/github_repo_checklist.md,unclassified,,project_doc,1850,0,false,move_only_after_reference_audit,phase3_index_only
docs/gpu_setup.md,unclassified,,project_doc,2341,0,false,move_only_after_reference_audit,phase3_index_only
docs/project_file_map.md,unclassified,,project_doc,2826,1,false,move_only_after_reference_audit,phase3_index_only
docs/project_proposal.md,unclassified,,project_doc,7618,0,false,move_only_after_reference_audit,phase3_index_only
docs/runbook.md,unclassified,,project_doc,78327,0,false,move_only_after_reference_audit,phase3_index_only
docs/scientific_pitch.md,unclassified,,project_doc,5222,0,false,move_only_after_reference_audit,phase3_index_only
docs/stage75e_prep_bundle_readme.md,v3,stage75e,stage_doc,871,0,false,path_stable_or_wrapper_required,phase3_index_only
docs/stage75e_preparation_and_execution_plan_v1.md,v3,stage75e,stage_doc,4498,0,false,path_stable_or_wrapper_required,phase3_index_only
docs/stage75f_f5b_primary_motif_pilot.md,v3,stage75f,stage_doc,1685,0,false,path_stable_or_wrapper_required,phase3_index_only
docs/stage75f_f5c_primary_tf_region_gene_evidence.md,v3,stage75f,stage_doc,697,0,false,path_stable_or_wrapper_required,phase3_index_only
docs/stage75f_f6_secondary_motif_pilot.md,v3,stage75f,stage_doc,1855,0,false,path_stable_or_wrapper_required,phase3_index_only
docs/stage75f_f7_secondary_tf_region_gene_evidence.md,v3,stage75f,stage_doc,1366,0,false,path_stable_or_wrapper_required,phase3_index_only
docs/stage75f_f8_integrated_regulatory_evidence.md,v3,stage75f,stage_doc,1256,0,false,path_stable_or_wrapper_required,phase3_index_only
docs/stage75f_out_of_core_execution_plan_v1.md,v3,stage75f,stage_doc,6004,0,false,path_stable_or_wrapper_required,phase3_index_only
docs/stage76_directionality_audit.md,v3,stage76,stage_doc,1384,0,false,path_stable_or_wrapper_required,phase3_index_only
docs/stage76_perturbation_readiness.md,v3,stage76,stage_doc,4368,0,false,path_stable_or_wrapper_required,phase3_index_only
docs/stage77_f11v_perturbation_graph_visualization.md,v3,stage77,stage_doc,3437,0,false,path_stable_or_wrapper_required,phase3_index_only
docs/stage77_tier_a_perturbation_mvp.md,v3,stage77,stage_doc,2345,0,false,path_stable_or_wrapper_required,phase3_index_only
docs/stage78_f12v_graph_latent_visualization.md,v3,stage78,stage_doc,1963,0,false,path_stable_or_wrapper_required,phase3_index_only
docs/stage78_jepa_latent_shift.md,v3,stage78,stage_doc,1774,0,false,path_stable_or_wrapper_required,phase3_index_only
docs/stage79_control_interpretation.md,v3,stage79,stage_doc,976,0,false,path_stable_or_wrapper_required,phase3_index_only
docs/stage79_f13v_graph_control_visualization.md,v3,stage79,stage_doc,2324,0,false,path_stable_or_wrapper_required,phase3_index_only
docs/stage79_graph_control_testing.md,v3,stage79,stage_doc,2119,0,false,path_stable_or_wrapper_required,phase3_index_only
docs/stage_c_finetuning_analysis.md,v3,stagec,stage_doc,4192,0,false,path_stable_or_wrapper_required,phase3_index_only
docs/stage_c_v21_upgrade_experiments.md,v3,stagec,stage_doc,3673,0,false,path_stable_or_wrapper_required,phase3_index_only
docs/technical_plan.md,unclassified,,project_doc,8151,0,false,move_only_after_reference_audit,phase3_index_only
docs/v3_frozen_artifact_index.md,v3,,project_doc,2324,1,false,path_stable_or_wrapper_required,phase3_index_only
docs/v4/README.md,v4,v4,active_v4_doc,2015,0,false,active_v4_namespace,phase3_index_only
docs/v4_migration_plan.md,unclassified,,project_doc,2211,0,false,move_only_after_reference_audit,phase3_index_only
