path,filename,stage_or_source,filesize_bytes,artifact_class,readable,n_sample_rows,n_columns,columns_sample,has_cell_identifier,has_donor_identifier,has_embedding_columns,has_score_columns
results/tables/stage_c_fine_06_r015_cov001_epoch_005_latent_metrics.csv,stage_c_fine_06_r015_cov001_epoch_005_latent_metrics.csv,stage_c,1502,latent_or_attribution,True,10,7,representation;target;n_donors;pathology_tertile_silhouette;knn_spearman;knn_r2;knn_mae,False,True,False,False
results/tables/stage_c_fine_loose_01_r005_cov0005_epoch_005_latent_metrics.csv,stage_c_fine_loose_01_r005_cov0005_epoch_005_latent_metrics.csv,stage_c,1493,latent_or_attribution,True,10,7,representation;target;n_donors;pathology_tertile_silhouette;knn_spearman;knn_r2;knn_mae,False,True,False,False
results/tables/stage_c_fine_loose_02_r005_cov001_epoch_005_latent_metrics.csv,stage_c_fine_loose_02_r005_cov001_epoch_005_latent_metrics.csv,stage_c,1498,latent_or_attribution,True,10,7,representation;target;n_donors;pathology_tertile_silhouette;knn_spearman;knn_r2;knn_mae,False,True,False,False
results/tables/stage_c_fine_loose_03_r010_cov0005_epoch_005_latent_metrics.csv,stage_c_fine_loose_03_r010_cov0005_epoch_005_latent_metrics.csv,stage_c,1499,latent_or_attribution,True,10,7,representation;target;n_donors;pathology_tertile_silhouette;knn_spearman;knn_r2;knn_mae,False,True,False,False
results/tables/stage_c_fine_loose_04_r010_cov002_epoch_005_latent_metrics.csv,stage_c_fine_loose_04_r010_cov002_epoch_005_latent_metrics.csv,stage_c,1499,latent_or_attribution,True,10,7,representation;target;n_donors;pathology_tertile_silhouette;knn_spearman;knn_r2;knn_mae,False,True,False,False
results/tables/stage_c_fine_loose_05_r020_cov001_epoch_005_latent_metrics.csv,stage_c_fine_loose_05_r020_cov001_epoch_005_latent_metrics.csv,stage_c,1498,latent_or_attribution,True,10,7,representation;target;n_donors;pathology_tertile_silhouette;knn_spearman;knn_r2;knn_mae,False,True,False,False
results/tables/stage_c_latent_space_evaluation_metrics.csv,stage_c_latent_space_evaluation_metrics.csv,stage_c,1497,latent_or_attribution,True,10,7,representation;target;n_donors;pathology_tertile_silhouette;knn_spearman;knn_r2;knn_mae,False,True,False,False
results/tables/stage_c_latent_space_umap_coordinates.csv,stage_c_latent_space_umap_coordinates.csv,stage_c,19235,coordinate,True,50,9,Donor ID;representation;x;y;percent AT8 positive area_Grey matter;percent NeuN positive area_Grey matter;percent 6e10 positive area_Grey matter;percent GFAP positive area_Grey matter;percent Iba1 positive area_Grey matter,False,True,False,False
results/tables/stage_c_rehearsal_cellxgene_normal_microglia_coordinates.csv,stage_c_rehearsal_cellxgene_normal_microglia_coordinates.csv,stage_c,14848848,coordinate,True,50,131,cell_id;donor_id;anchor_type;z_0;z_1;z_2;z_3;z_4;z_5;z_6;z_7;z_8;z_9;z_10;z_11;z_12;z_13;z_14;z_15;z_16;z_17;z_18;z_19;z_20;z_21,True,True,True,False
results/tables/stage_c_rehearsal_sea_ad_low_pathology_relaxed_coordinates.csv,stage_c_rehearsal_sea_ad_low_pathology_relaxed_coordinates.csv,stage_c,6571012,coordinate,True,50,131,cell_id;donor_id;anchor_type;z_0;z_1;z_2;z_3;z_4;z_5;z_6;z_7;z_8;z_9;z_10;z_11;z_12;z_13;z_14;z_15;z_16;z_17;z_18;z_19;z_20;z_21,True,True,True,False
results/tables/stage_c_rehearsal_sea_ad_microglia_pvm_all_coordinates.csv,stage_c_rehearsal_sea_ad_microglia_pvm_all_coordinates.csv,stage_c,58595349,coordinate,True,50,131,cell_id;donor_id;anchor_type;z_0;z_1;z_2;z_3;z_4;z_5;z_6;z_7;z_8;z_9;z_10;z_11;z_12;z_13;z_14;z_15;z_16;z_17;z_18;z_19;z_20;z_21,True,True,True,False
results/tables/stage_c_sweep_01_base_elastic_epoch_005_coordinates.csv,stage_c_sweep_01_base_elastic_epoch_005_coordinates.csv,stage_c,59216223,coordinate,True,50,131,cell_id;donor_id;anchor_type;z_0;z_1;z_2;z_3;z_4;z_5;z_6;z_7;z_8;z_9;z_10;z_11;z_12;z_13;z_14;z_15;z_16;z_17;z_18;z_19;z_20;z_21,True,True,True,False
results/tables/stage_c_sweep_01_base_elastic_epoch_005_latent_metrics.csv,stage_c_sweep_01_base_elastic_epoch_005_latent_metrics.csv,stage_c,1498,latent_or_attribution,True,10,7,representation;target;n_donors;pathology_tertile_silhouette;knn_spearman;knn_r2;knn_mae,False,True,False,False
results/tables/stage_c_sweep_01_base_elastic_epoch_005_umap_coordinates.csv,stage_c_sweep_01_base_elastic_epoch_005_umap_coordinates.csv,stage_c,19280,coordinate,True,50,9,Donor ID;representation;x;y;percent AT8 positive area_Grey matter;percent NeuN positive area_Grey matter;percent 6e10 positive area_Grey matter;percent GFAP positive area_Grey matter;percent Iba1 positive area_Grey matter,False,True,False,False
results/tables/stage_c_sweep_01_base_elastic_epoch_010_coordinates.csv,stage_c_sweep_01_base_elastic_epoch_010_coordinates.csv,stage_c,59151204,coordinate,True,50,131,cell_id;donor_id;anchor_type;z_0;z_1;z_2;z_3;z_4;z_5;z_6;z_7;z_8;z_9;z_10;z_11;z_12;z_13;z_14;z_15;z_16;z_17;z_18;z_19;z_20;z_21,True,True,True,False
results/tables/stage_c_sweep_01_base_elastic_epoch_010_latent_metrics.csv,stage_c_sweep_01_base_elastic_epoch_010_latent_metrics.csv,stage_c,1501,latent_or_attribution,True,10,7,representation;target;n_donors;pathology_tertile_silhouette;knn_spearman;knn_r2;knn_mae,False,True,False,False
results/tables/stage_c_sweep_01_base_elastic_epoch_010_umap_coordinates.csv,stage_c_sweep_01_base_elastic_epoch_010_umap_coordinates.csv,stage_c,19251,coordinate,True,50,9,Donor ID;representation;x;y;percent AT8 positive area_Grey matter;percent NeuN positive area_Grey matter;percent 6e10 positive area_Grey matter;percent GFAP positive area_Grey matter;percent Iba1 positive area_Grey matter,False,True,False,False
