model,target,module,perturbation,intervention,Donor ID,prediction_model_scale_baseline,prediction_raw_scale_baseline,prediction_model_scale_perturbed,prediction_raw_scale_perturbed,delta_model_scale,delta_raw_scale
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H19.33.004,1.627787,4.0925922,1.6318424,4.1132865,0.004055381,0.020694256
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H20.33.001,1.6740731,4.333849,1.6779861,4.3547616,0.003913045,0.020912647
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H20.33.002,1.7074149,4.514687,1.7085968,4.521209,0.0011819601,0.006521702
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H20.33.004,1.8573438,5.406697,1.8574855,5.4076047,0.00014173985,0.00090789795
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H20.33.005,1.7330246,4.6577406,1.7359844,4.6745114,0.0029598475,0.01677084
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H20.33.008,1.6433654,4.172548,1.6438965,4.175296,0.0005310774,0.0027480125
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H20.33.011,1.5313896,3.6245985,1.5354574,3.6434488,0.0040677786,0.018850327
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H20.33.012,1.9702189,6.1722465,1.9708498,6.1767726,0.00063085556,0.0045261383
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H20.33.013,1.5877612,3.8927827,1.5871986,3.8900309,-0.00056254864,-0.0027518272
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H20.33.014,1.6883459,4.410524,1.6933627,4.4377356,0.0050168037,0.027211666
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H20.33.015,1.5816091,3.8627744,1.5835042,3.8719983,0.0018950701,0.009223938
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H20.33.016,1.4271474,3.1667962,1.4268351,3.165495,-0.00031232834,-0.0013012886
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H20.33.017,1.7005142,4.476763,1.70144,4.4818354,0.00092577934,0.0050725937
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H20.33.018,1.7883283,4.9794483,1.7917352,4.999854,0.0034068823,0.02040577
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H20.33.019,1.6322496,4.1153693,1.6337575,4.1230884,0.0015078783,0.00771904
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H20.33.020,1.7021413,4.485681,1.7041042,4.4964595,0.0019629002,0.010778427
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H20.33.024,1.3729584,2.9470103,1.3752352,2.956007,0.0022767782,0.008996725
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H20.33.025,1.9770778,6.2216096,1.9778988,6.227541,0.0008209944,0.0059313774
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H20.33.026,1.7162136,4.563423,1.7184646,4.5759606,0.002251029,0.012537479
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H20.33.027,1.7240185,4.6070147,1.7286502,4.633045,0.0046317577,0.02603054
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H20.33.028,1.5505688,3.714151,1.5543394,3.7319598,0.0037705898,0.017808914
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H20.33.029,1.7140708,4.5515146,1.7158138,4.561199,0.001742959,0.009684563
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H20.33.030,1.7821698,4.942737,1.7833385,4.9496865,0.0011687279,0.0069494247
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H20.33.031,1.6586348,4.2521358,1.6595037,4.2567015,0.0008689165,0.004565716
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H20.33.032,2.0314612,6.6252203,2.04208,6.7066216,0.010618687,0.08140135
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H20.33.033,2.3313441,9.291765,2.3353052,9.332613,0.0039610863,0.04084778
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H20.33.034,1.7880989,4.978077,1.7916279,4.9992104,0.0035289526,0.021133423
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H20.33.035,1.554119,3.7309165,1.5562198,3.7408662,0.0021008253,0.009949684
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H20.33.036,1.7823504,4.9438105,1.7846695,4.9576106,0.0023190975,0.013800144
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H20.33.037,2.0364358,6.6632476,2.039884,6.689718,0.003448248,0.026470184
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H20.33.038,1.6116399,4.011022,1.6149561,4.0276675,0.0033162832,0.016645432
