source,target,weight,source_idx,target_idx
PPFIA1,RSRC2,0.38728353,1832,2038
GPBP1L1,BBS9,0.38728246,85,1279
XPO4,ZZEF1,0.38728246,2050,2442
FBXO34,CHM,0.38728186,2168,2917
GSAP,PCGF5,0.38728163,1306,1713
USP8,PSTPIP2,0.38727868,2278,2608
ZNF451,OAZ1,0.38727438,1140,2643
RPS6KC1,CAMKMT,0.38727388,253,331
PTP4A2,KPNA4,0.38727388,55,707
RGS7,SLAIN2,0.38727,279,798
DCP1A,AC008014.1,0.38726702,611,1943
NEK1,GPNMB,0.38726658,890,1266
UGGT1,HNRNPD,0.38726625,420,821
MARS,TMEM106A,0.3872658,1964,2507
SCLT1,TTLL5,0.38726526,863,2203
TNPO3,UBE2R2,0.38726234,1360,1540
HADHB,GAS7,0.38726002,305,2456
RPS6KC1,MICAL3,0.38725877,253,2831
FASTKD1,AMD1,0.3872582,457,1182
DIPK1A,EIF3E,0.38725653,133,1488
PPP2CA,RPL35,0.38725552,1002,1607
FOXN2,RPL21,0.38725382,338,2057
AMBRA1,RAP1B,0.38725337,1805,1975
KCMF1,DPYSL2,0.38725334,384,1423
TNKS2,ARIH1,0.38725275,1715,2320
ZRANB2,NAGK,0.38725248,114,372
GOLPH3,STAM,0.38725075,914,1644
TGOLN2,FOS,0.38724884,385,2201
HNRNPK,GABPB1-AS1,0.38724765,1557,2277
RPS6KA1,YWHAZ,0.38724652,44,1480
CAMKMT,SP140L,0.3872456,331,524
ARHGEF2,DCAF5,0.38724506,193,2191
MCPH1,IST1,0.387245,1396,2414
ZNF655,RFX7,0.3872431,1330,2288
GRK5,RBL2,0.38724115,1749,2398
CD47,SLTM,0.3872407,645,2293
ARMC8,SUZ12,0.38723865,684,2483
PDE7A,AKAP11,0.38723403,1458,2073
RPS6KC1,NPLOC4,0.38723314,253,2568
ATP6V1H,CYLD,0.38723066,1446,2395
STAM,KMT2A,0.38723052,1644,1874
CAMK2G,ARHGAP4,0.3872294,1691,2939
TLK1,ANKRD10,0.3872293,460,2126
MYSM1,NIN,0.38722524,100,2163
GABPB1-AS1,RAB8B,0.38722387,2277,2299
MSRA,EPS15L1,0.38722333,1399,2667
HADHB,ANKRD10,0.3872221,305,2126
VPS54,VPS50,0.38722154,357,1320
FOXN2,ARHGAP5,0.38722143,338,2146
NDUFAF6,TM9SF2,0.387214,1473,2115
TASP1,TM9SF4,0.38721395,2737,2752
NFE2L2,AGPAT3,0.38720903,470,2821
ARPC1B,PCGF5,0.3872072,1329,1713
SNX13,ABCB7,0.38720718,1261,2912
ARHGEF2,PARVB,0.38720554,193,2861
TGOLN2,SEPTIN7,0.3872043,385,1280
HDLBP,MAPKAP1,0.38720262,539,1610
CAMSAP2,CDR2,0.38720155,238,2376
MCM9,TUBGCP3,0.3872014,1190,2128
PPP1R10,VPS39,0.3872014,1093,2262
HIBADH,MCM3AP,0.38720113,1271,2827
NRDC,PARVB,0.38720068,94,2861
DCP2,TLK2,0.38720012,984,2534
ATG5,THOC2,0.38719833,1173,2928
MSRA,UBR1,0.3871978,1399,2268
TTC37,NUP160,0.38719207,971,1812
RUBCN,CLCN3,0.38719055,753,891
HLA-DQA1,CABIN1,0.3871904,1105,2836
FBXW4,SCYL2,0.38718876,1731,2004
RNF19A,EXOC6,0.3871886,1478,1718
YWHAZ,PPFIA1,0.38718852,1480,1832
ANAPC10,LAT2,0.38718787,872,1301
CD164,PARP4,0.38718703,1179,2054
PPP4R1,CABIN1,0.38718578,2582,2836
KDM3B,SMC5,0.387184,1007,1552
RASSF4,DYNC1H1,0.38718268,1666,2234
SLAIN2,RAP1B,0.38717932,798,1975
STAM,HIPK3,0.38717848,1644,1796
FBXW4,DYNC1H1,0.3871784,1731,2234
EEFSEC,ADD1,0.3871779,671,763
DDB2,GLYR1,0.38717723,1808,2354
HIPK3,FAM222B,0.3871769,1796,2473
HEATR5B,CABIN1,0.38717687,317,2836
GPI,CABIN1,0.38717318,2682,2836
TMEM245,RPL13A,0.3871728,1582,2708
CDC14A,PTPN4,0.38717195,140,413
GANC,CPPED1,0.38717097,2264,2365
EIF2AK4,USP9X,0.38717082,2256,2892
CAMKMT,RAB8B,0.38717073,331,2299
SRRM1,RPS18,0.38716656,40,1113
RPAP2,EDEM3,0.38716644,130,227
STRN,ARMC8,0.38716456,316,684
CCNT2,EIF4B,0.38716385,425,1953
VPS36,ITSN1,0.38716373,2097,2808
TMEM245,HMGA1P4,0.38716224,1582,1614
HEATR5B,IWS1,0.3871595,317,418
RPL37A,SPI1,0.38715768,509,1809
RAB2A,RSRC2,0.3871569,1454,2038
IQCB1,TM9SF4,0.38715643,654,2752
CMTM6,EIF2AK4,0.38715497,571,2256
GPBP1L1,TENT4B,0.38715294,85,2393
MARS,ITGB2,0.3871529,1964,2826
CLOCK,TMEM164,0.38715118,805,2920
PCBP2,TTLL5,0.38715068,1954,2203
EXOC1,TRIM13,0.38714892,806,2091
NRP2,FNBP1,0.3871489,497,1615
ANAPC10,SHPRH,0.38714147,872,1217
SP140L,PTAR1,0.38714144,524,1551
DEK,FGFR1OP2,0.38714087,1083,1924
HLA-DPB1,SCYL2,0.38714057,1112,2004
EXT1,SLF2,0.38713422,1492,1729
CCDC93,TUBGCP3,0.38713154,411,2128
MAN1A2,RAB3GAP2,0.38712937,163,256
ANAPC10,PARVB,0.387129,872,2861
AC245297.3,ANAPC5,0.38712773,171,2034
PPP2R2D,CDR2,0.38712746,1762,2376
ANAPC5,TPT1,0.3871273,2034,2077
SPEN,PRKAR2A,0.38712558,19,598
FBXW4,USP8,0.38712442,1731,2278
SPEN,CDK17,0.38712186,19,2000
RANBP2,RAB8B,0.38712144,403,2299
C1GALT1,TTLL5,0.38711774,1254,2203
SEPTIN7,AATF,0.38711414,1280,2494
RUBCN,TTC37,0.38711232,753,971
LYPLAL1,IWS1,0.38711223,255,418
DERA,IST1,0.3871114,1914,2414
FAM126B,SLF2,0.38710803,489,1729
DHX15,SREBF2,0.3871055,781,2858
TTC13,MX1,0.38710007,269,2818
SNX14,TNKS2,0.38709766,1160,1715
AGO3,RAB3GAP1,0.38709763,67,426
IRF2,TIAL1,0.38709626,897,1751
STRN,LRRFIP2,0.38709408,316,576
PTPN4,ATRN,0.3870937,413,2724
HNRNPA3,MOSMO,0.3870916,469,2375
RASSF4,SPPL2A,0.38709053,1666,2280
FBXO28,RABGEF1,0.38708967,264,1295
SCLT1,PCBP2,0.3870886,863,1954
EPS15L1,RPL3,0.38708812,2667,2854
RNF217,UQCC1,0.38708517,1194,2761
KMT2A,SLTM,0.3870851,1874,2293
ZNF518A,PPP4R3A,0.3870847,1723,2219
S100A4,SECISBP2L,0.3870825,183,2275
COPB1,MBTD1,0.387082,1784,2524
LRRFIP2,EIF2AK4,0.38708043,576,2256
SEC62,CANX,0.38708022,709,1053
FBXO28,RAB2A,0.38708007,264,1454
FBXO28,CLYBL,0.38707855,264,2116
REPS1,TXNDC11,0.38707826,1209,2361
AKAP11,CORO1A,0.38707784,2073,2385
PPIG,TOP1,0.38707706,458,2769
HS2ST1,IWS1,0.38707697,125,418
HDLBP,STAT5B,0.3870752,539,2504
THRAP3,BRI3,0.38707486,68,1326
DIPK1A,DHX15,0.3870747,133,781
ATP6V1H,STAT6,0.3870731,1446,1961
ADD1,ARIH1,0.3870702,763,2320
PIK3CB,KMT2A,0.38707015,685,1874
BAZ1B,VPS39,0.38706928,1299,2262
KPNA4,STAT5B,0.38706896,707,2504
YAF2,SECISBP2L,0.3870688,1936,2275
IVNS1ABP,DEK,0.38706675,229,1083
ATR,MAPKAP1,0.38706136,692,1610
OSBPL9,AZIN1-AS1,0.3870598,93,1483
MAT2A,RC3H2,0.3870589,386,1601
IWS1,GGNBP2,0.3870572,418,2493
CASD1,SLF2,0.38705692,1321,1729
SMC5,GANC,0.38705215,1552,2264
PPIG,AFF4,0.38705185,458,1001
FAM193A,DYNC1H1,0.38705176,761,2234
PLEKHO1,TMEM245,0.3870445,174,1582
CCDC146,TRIP4,0.38704348,1305,2304
ASXL2,FBXL5,0.38704228,303,775
TGOLN2,PRIM2,0.38703993,385,1141
TM9SF2,OAZ1,0.38703918,2115,2643
PDIA3,USP7,0.38703835,2269,2356
FBXO28,UPF2,0.3870376,264,1639
AGO3,ARPC2,0.3870373,67,511
GRAMD1B,RNF138,0.38703623,1881,2597
PCBP2,ARFGEF2,0.38703525,1954,2775
SEC62,MAP3K1,0.38703308,709,933
COPB1,DCAF5,0.3870308,1784,2191
MARS,SLC38A10,0.3870307,1964,2567
EIF2AK2,FBXO34,0.387026,318,2168
GLG1,ME2,0.38702378,2416,2614
ATF7,INTS6,0.38702333,1955,2095
GPATCH2,TLK2,0.3870223,254,2534
MDM4,CLOCK,0.38702092,244,805
ATAD2B,YAF2,0.3870201,297,1936
TTC13,USO1,0.38701966,269,815
SLC30A7,HIPK3,0.3870196,141,1796
AC104123.1,HIBADH,0.38701957,973,1271
CCDC93,HIBADH,0.38701925,411,1271
MON2,DCAF5,0.38701823,1968,2191
RPAP2,AC104123.1,0.3870182,130,973
SNX6,MOSMO,0.38701814,2148,2375
MPZL1,GLG1,0.38701633,205,2416
SLC30A7,MOB3A,0.38701442,141,2642
CACUL1,VPS36,0.38701394,1747,2097
DERA,LINC01278,0.3870136,1914,2901
NCOA6,TRAPPC10,0.3870125,2758,2822
ATP6V1H,NT5C2,0.3870112,1446,1738
PRKAR2A,RPL17,0.3870105,598,2613
UBAP1,RBL2,0.38700995,1542,2398
NCOA7,TUBGCP3,0.38700858,1195,2128
TTC7B,CHM,0.38700843,2216,2917
FAM222B,ELP2,0.38700572,2473,2603
TLK1,SPAG9,0.387004,460,2523
TMEM245,EDA,0.3869986,1582,2906
RPRD2,PRKAR2A,0.38699374,175,598
ANAPC10,TRIM38,0.38698938,872,1089
MSRA,STAM,0.3869891,1399,1644
KIF2A,PSTPIP2,0.38698682,937,2608
RPL9,C1GALT1,0.3869867,791,1254
TASOR,UBAP1,0.3869863,616,1542
LYST,KCMF1,0.38698494,275,384
TMEM161B-AS1,MCPH1,0.38698485,967,1396
ANKHD1,KATNBL1,0.38698348,1012,2250
CAMKMT,AKAP11,0.38698196,331,2073
UBR5,SMC5,0.38698137,1482,1552
EPS15L1,PITPNB,0.386979,2667,2839
ZMYM4,MAN1A2,0.38697883,64,163
UBN2,ABCB7,0.3869772,1372,2912
KIF2A,MAP1B,0.3869766,937,944
PREP,VPS36,0.38697615,1172,2097
IBTK,PPP4R3A,0.38697448,1156,2219
MCPH1,SYNJ1,0.38697135,1396,2801
PLB1,ERCC6L2,0.3869709,307,1571
EXT1,NPEPPS,0.38696963,1492,2518
ABHD2,MOSMO,0.3869691,2338,2375
PIK3C2A,SNX1,0.38696674,1788,2302
S100PBP,RPAP2,0.38696533,60,130
RPL34,AATF,0.38696453,852,2494
PLA2G4A,VPS54,0.38696334,231,357
GALK2,LSM14A,0.38696334,2276,2680
PTP4A2,ACAP2,0.38696116,55,747
YTHDC1,CASD1,0.38695875,810,1321
WNT2B,MTA3,0.3869551,155,326
STRN,RNF24,0.38695118,316,2727
IWS1,HMGN3,0.38695115,418,1154
NFE2L2,YWHAE,0.38695085,470,2435
ATR,PPP2R2D,0.38695052,692,1762
GLUD1,CHM,0.38694924,1704,2917
SEC62,ITGB2,0.38694897,709,2826
SERGEF,MAP3K14,0.38694724,1789,2511
AVL9,CDK12,0.38694242,1278,2500
THRAP3,CCDC93,0.38694176,68,411
SOX5,LINC01278,0.3869398,1919,2901
HMGA1P4,ATF7,0.3869389,1614,1955
DIPK1A,HMGN3,0.38693878,133,1154
ABI2,PRKAR2A,0.38693646,494,598
IFI44,VPS35L,0.3869353,122,2373
EIF2AK2,HIBADH,0.38693437,318,1271
FOXN2,TPT1,0.38693348,338,2077
REPS1,MARS,0.3869327,1209,1964
SMG7,EEA1,0.38692924,225,1995
SUFU,SLTM,0.38692892,1735,2293
IRF2,SUPT20H,0.38692698,897,2068
MARS,TM9SF2,0.38692528,1964,2115
HNRNPR,ADAM17,0.38692236,37,290
UBAP1,RPL28,0.3869176,1542,2717
EXT1,FTO,0.38691437,1492,2399
NFKB1,MARK2,0.38691416,846,1821
SEPTIN2,PRKAR2A,0.38691372,540,598
ENSA,BAZ1B,0.3869127,176,1299
HLA-DRA,MBD2,0.38691252,1103,2616
SHPRH,SUPT20H,0.38691217,1217,2068
MON2,TM9SF2,0.38691172,1968,2115
CAMSAP2,FAM222B,0.3869105,238,2473
ZNF518A,USP8,0.38690385,1723,2278
CSDE1,BTAF1,0.38690317,161,1716
TTC37,SUGP2,0.38690293,971,2673
PABPN1,LSM14A,0.38690266,2140,2680
FNBP1,LINC01278,0.38690212,1615,2901
CNBP,MBTD1,0.38690168,673,2524
SLC20A2,STAM,0.38690165,1437,1644
YWHAZ,STAT5B,0.38690165,1480,2504
ARPC1B,SERGEF,0.38690037,1329,1789
ATR,TM9SF2,0.38689947,692,2115
FASTKD1,RBBP6,0.38689867,457,2379
CUL5,ARHGAP4,0.38689798,1862,2939
SLC30A7,UBR1,0.38689768,141,2268
RPS6KA1,STAM,0.38689625,44,1644
USO1,ABCB7,0.38689503,815,2912
PPP2R2D,OAZ1,0.38689318,1762,2643
SLAIN2,NCAM2,0.38689163,798,2794
PIK3C2A,GPI,0.38689104,1788,2682
LINC02328,LINC01278,0.38689038,2212,2901
EYA3,CDK17,0.38688612,48,2000
KLHL18,CSNK2A1,0.38688582,595,2718
SEPTIN2,SPI1,0.3868849,540,1809
CCNI,TIAL1,0.38688236,818,1751
ABHD18,TUBGCP3,0.38687825,862,2128
WDR26,IWS1,0.38687813,265,418
HDLBP,RAB39A,0.38687187,539,1861
ATP2B4,RAD23B,0.38686943,243,1581
KLHL5,HNRNPD,0.38686803,790,821
FBXO28,SRSF5,0.38686612,264,2193
RANBP2,RNF138,0.38686457,403,2597
HLA-DQA1,AKAP11,0.38686427,1105,2073
OCIAD1,RPS14,0.38685864,800,1027
PCBP2,SRSF5,0.38685784,1954,2193
GPNMB,ZDHHC17,0.38685742,1266,1986
HNRNPD,AC009120.2,0.3868566,821,2415
EIF2AK4,FTO,0.38685566,2256,2399
PPM1K,TTC37,0.38685563,832,971
CCDC93,EIF4A2,0.3868541,411,738
MTA3,PPP4R3B,0.3868506,326,347
TASOR,ARHGAP4,0.3868501,616,2939
WASL,EIF3H,0.3868501,1357,1491
RHOQ,CPPED1,0.38684982,334,2365
ATP2B4,UBXN4,0.3868488,243,428
CAMK2G,FAM222B,0.3868485,1691,2473
PPP4R1,AGPAT3,0.38684732,2582,2821
SHOC2,SERGEF,0.38684693,1740,1789
IBTK,SCYL2,0.38684544,1156,2004
HSD17B4,SLC23A2,0.38684493,990,2729
LNPEP,RAD23B,0.3868409,975,1581
CDC14A,ENSA,0.3868375,140,176
SPCS3,PPP2R2D,0.3868359,894,1762
NIN,EIF2AK4,0.38683164,2163,2256
TOP2B,SLTM,0.3868316,562,2293
HSD17B4,BAZ1B,0.38682565,990,1299
CCDC93,SNX24,0.3868245,411,992
CNBP,UBR1,0.38682398,673,2268
IRF2,ZNF451,0.3868237,897,1140
WDR11,FTO,0.38682345,1753,2399
ABHD2,LINC01278,0.3868233,2338,2901
PPP2CA,NDUFAF6,0.38682327,1002,1473
RSRC2,STAT5B,0.3868226,2038,2504
LRRFIP2,TTC37,0.38682097,576,971
SPCS3,ZNF451,0.38682067,894,1140
PREP,FTO,0.38681704,1172,2399
ASXL2,BTAF1,0.38681456,303,1716
PIK3CB,OAZ1,0.38681385,685,2643
RPAP2,RAB28,0.3868133,130,773
HNRNPD,MROH1,0.38681307,821,1514
RNF24,ABCB7,0.38681263,2727,2912
EHBP1L1,ZDHHC17,0.38681155,1823,1986
TTC13,MCPH1,0.38681126,269,1396
RPAP2,PACS2,0.38680673,130,2242
FAM222B,STAT5B,0.38680637,2473,2504
MGRN1,FTO,0.38680568,2353,2399
STK38L,SPPL2A,0.38680413,1926,2280
RBM5,TRAPPC10,0.38680327,604,2822
EIF1B-AS1,CHM,0.38680136,582,2917
TTLL5,ARFGEF2,0.386799,2203,2775
HLA-A,PPP4R3A,0.38679695,1091,2219
PARP4,DCAF5,0.3867949,2054,2191
SEPTIN2,TASOR,0.38679412,540,616
PRKAR2A,SRPK2,0.3867926,598,1340
AC008014.1,GLYR1,0.38679126,1943,2354
KLHL18,STRN3,0.3867906,595,2142
IWS1,RAB39A,0.3867905,418,1861
MAT2A,CNBP,0.38678932,386,673
RNF145,NPEPPS,0.38678885,1034,2518
HLA-DPA1,USP7,0.3867886,1111,2356
DCP1A,FGD3,0.3867885,611,1568
PCGF5,RPTOR,0.3867871,1713,2566
PRKAR2A,PHACTR2,0.38678625,598,1214
TNKS2,TPT1,0.38678345,1715,2077
EPHB2,EIF2AK4,0.38678253,35,2256
UST,CDK17,0.3867824,1219,2000
WDR11,SHLD1,0.3867802,1753,2732
ANAPC10,ARPC1B,0.38677937,872,1329
TAPT1,TIAL1,0.38677928,776,1751
ATP6V1H,OPHN1,0.38677773,1446,2905
CSDE1,TMOD2,0.38677746,161,2284
DHX15,RPL28,0.38677737,781,2717
S100A4,HDLBP,0.38677716,183,539
ZNF518A,DYNC1H1,0.38677695,1723,2234
RPAP2,IVNS1ABP,0.38677657,130,229
RCOR1,XIAP,0.38677585,2237,2929
WDR11,MX1,0.3867755,1753,2818
WDR26,TASOR,0.3867751,265,616
HLA-A,ANAPC5,0.38677406,1091,2034
CAMSAP2,KMT5B,0.3867726,238,1830
S100A4,RPL19,0.38677067,183,2498
STT3B,AP3S2,0.38676748,569,2339
FBXO28,PTAR1,0.38676733,264,1551
PPIG,PUM3,0.3867673,458,1517
CDC42SE1,TTLL5,0.38676688,179,2203
PIAS2,LINC01278,0.3867646,2609,2901
NUCKS1,ATF7,0.3867644,245,1955
ZYG11B,NUCKS1,0.386764,96,245
ATF2,ZBTB44,0.3867615,467,1886
DEK,HIBADH,0.3867615,1083,1271
ETFA,CHM,0.38676134,2325,2917
HNRNPR,EIF4A1,0.38676098,37,2451
DNAJC7,PIAS2,0.38676065,2503,2609
PCF11,TTC7B,0.38676006,1850,2216
IFIT2,IFNAR1,0.38675976,1709,2805
SRRM1,CUL5,0.3867596,40,1862
YWHAZ,RPS2,0.3867596,1480,2350
CAMKMT,DCAF5,0.38675797,331,2191
MAT2A,IFNAR1,0.38675553,386,2805
SPEN,PIK3C2A,0.38675508,19,1788
EIF3E,H3F3B,0.3867547,1488,2553
HNRNPR,TRAK1,0.38675317,37,585
TM9SF4,ARFGEF2,0.38675123,2752,2775
ATAD2B,STK38L,0.38675115,297,1926
TUBGCP3,ETFA,0.38674983,2128,2325
MDM4,DPP8,0.3867497,244,2306
MSRA,AGPAT3,0.38674858,1399,2821
STRN,ZNF91,0.3867485,316,2677
TTC13,ASB3,0.38674846,269,341
RPAP2,B4GALT1,0.38674578,130,1538
TTC7B,IST1,0.38674402,2216,2414
MYSM1,SNX13,0.38674024,100,1261
DIPK1A,SRSF5,0.3867358,133,2193
PARP4,MBTD1,0.3867342,2054,2524
PCGF5,VWA8,0.38673207,1713,2072
SRRM1,SUFU,0.38673142,40,1735
TTC13,P2RX4,0.38673142,269,2033
KCMF1,SEL1L,0.3867311,384,2211
GLUD1,FBXO34,0.38673064,1704,2168
CLCN3,DDB2,0.38673058,891,1808
LNPEP,TM9SF2,0.3867297,975,2115
KCMF1,FOS,0.38672718,384,2201
HK2,PPP2CA,0.38672516,380,1002
TMEM245,NUP160,0.38672483,1582,1812
CDC42SE1,PARP4,0.38672355,179,2054
ACBD6,GLYR1,0.3867235,219,2354
TIAL1,SNX1,0.38672346,1751,2302
CDC14A,RBBP6,0.38672277,140,2379
HNRNPR,LNPEP,0.38672277,37,975
ISG15,RPS23,0.38672143,0,963
TNPO3,DPYSL2,0.38672066,1360,1423
GPATCH2,NEK1,0.3867196,254,890
SEC62,CHFR,0.38671663,709,2046
PRKAR2A,VWA8,0.3867136,598,2072
CASD1,DDB2,0.38671336,1321,1808
SPCS3,CANX,0.38671082,894,1053
CAMKMT,PPP2R2D,0.38671044,331,1762
GPATCH2,CSNK2A1,0.38670954,254,2718
LYPLAL1,STAM,0.38670877,255,1644
IVNS1ABP,FBXO34,0.38670868,229,2168
IRF2,RNF19A,0.38670796,897,1478
IQCB1,RAB2A,0.38670495,654,1454
IPO9,ARID4A,0.38670295,239,2175
RABGEF1,TM9SF2,0.38670292,1295,2115
PPIP5K2,SNX24,0.38670143,978,992
AKAP11,PPP4R1,0.38670132,2073,2582
STXBP3,CLCN3,0.38670045,145,891
SLC49A4,PCF11,0.3866998,662,1850
THRAP3,TM7SF3,0.38669714,68,1925
RNF138,RPS15,0.38669494,2597,2641
SRRM1,LNPEP,0.38669342,40,975
SLC30A7,STAT5B,0.38669273,141,2504
PPIG,TENT2,0.38669208,458,957
MAGI3,EIF2AK4,0.38668886,158,2256
PPP4R3B,ATRN,0.3866886,347,2724
RPRD2,ZNF451,0.38668698,175,1140
PIK3CB,SRPK2,0.38668552,685,1340
ATAD2B,PHACTR2,0.3866826,297,1214
FAM222B,ITGB2,0.38668257,2473,2826
EMB,TLK2,0.38668215,924,2534
MCPH1,VPS36,0.3866809,1396,2097
WDR26,ZC3H7A,0.3866797,265,2362
AC009120.2,LINC01278,0.38667503,2415,2901
PRPF40A,AVL9,0.3866746,444,1278
HDLBP,VWA8,0.3866737,539,2072
SEPTIN7,DYNC1H1,0.38667348,1280,2234
ACAP2,RPL6,0.38667315,747,2026
HIBADH,ATP6V1H,0.38666984,1271,1446
PPP4R3B,GLUD1,0.38666925,347,1704
ASCC1,EIF4B,0.38666868,1684,1953
CHFR,TAF1,0.38666865,2046,2907
RBM4,SYNJ1,0.38666826,1825,2801
FIG4,VPS35L,0.386667,1180,2373
ENSA,RBM4,0.3866652,176,1825
CANX,TTLL5,0.38666472,1053,2203
SEC62,ARHGAP4,0.38666368,709,2939
IST1,SLC23A2,0.38666296,2414,2729
TNPO3,BRD4,0.38666242,1360,2665
STT3B,IFNAR1,0.38666221,569,2805
RPS6KC1,EIF3H,0.38666174,253,1491
MAPKAP1,UPF2,0.38666117,1610,1639
AC245297.3,ZNF451,0.38665965,171,1140
HLA-DPA1,RSBN1L,0.3866593,1111,1308
ANAPC10,IRF2,0.38665476,872,897
HNRNPR,HLA-DQB1,0.3866536,37,1106
ANAPC5,MBTD1,0.3866534,2034,2524
VPS36,FTO,0.38664356,2097,2399
NCOA7,ATP6V1H,0.386641,1195,1446
MAN1A2,RHEB,0.38663927,163,1382
KPNA6,MPZL1,0.3866388,57,205
ZYG11B,GALK2,0.3866367,96,2276
IFI44,DCP1A,0.38663664,122,611
AKAP11,STAT5B,0.38663542,2073,2504
TLK1,LRBA,0.3866325,460,875
SRRM1,RPL28,0.38663223,40,2717
TNFRSF1A,NPLOC4,0.38663182,1897,2568
RPL11,ELP2,0.3866304,38,2603
TASOR,TAPT1,0.38662982,616,776
REPS1,CAMK2G,0.38662973,1209,1691
EYA3,UBAP1,0.3866292,48,1542
ARMC8,TMEM245,0.38662907,684,1582
SRRM1,PTAR1,0.38662815,40,1551
CDR2,IFNAR1,0.38662612,2376,2805
TUBGCP3,FBXO34,0.38662598,2128,2168
ABI2,CDK17,0.38662547,494,2000
PRKAR2A,TAPT1,0.38662496,598,776
PIK3CB,RPL28,0.38662466,685,2717
AC104123.1,VPS39,0.38662416,973,2262
TLK1,PSTPIP2,0.38662413,460,2608
SCYL2,GNG2,0.3866199,2004,2165
CD47,KPNA4,0.38661924,645,707
ZNF451,CDC27,0.38661918,1140,2516
TPT1-AS1,CHM,0.386619,2078,2917
SERGEF,NEMF,0.3866175,1789,2160
KPNA4,SHPRH,0.38661745,707,1217
EDEM3,YTHDC1,0.38661593,227,810
RPS6KC1,UBR1,0.38661382,253,2268
PCBP2,CLYBL,0.38661367,1954,2116
ZMYM4,ZNF655,0.38661274,64,1330
ZMYM4,TMEM164,0.38661268,64,2920
CANX,AKAP11,0.38661176,1053,2073
KCMF1,CEP85L,0.38661164,384,1189
CNBP,SPG7,0.38660964,673,2430
RSBN1L,ANKIB1,0.38660756,1308,1315
EXOC6,RAB8B,0.38660717,1718,2299
NT5C2,TMEM87A,0.38660577,1738,2263
TPCN1,LAMP2,0.3866056,2028,2927
GON4L,LPGAT1,0.3866046,192,251
TNPO3,ANKRD10,0.38660347,1360,2126
PIK3CB,CDC27,0.3866034,685,2516
GON4L,ATG10,0.3866028,192,962
GAS7,AATF,0.38660058,2456,2494
MCTP1,ELP2,0.38660014,970,2603
TMEM245,SOX5,0.3865983,1582,1919
CUL5,DCAF5,0.38659725,1862,2191
SECISBP2L,AGPAT3,0.38659582,2275,2821
ANKHD1,SMG1,0.386593,1012,2370
ARID4A,ZC3H7A,0.38659185,2175,2362
RPS6KC1,TM9SF4,0.3865903,253,2752
PLCB2,AGPAT3,0.38658974,2257,2821
RAB28,HNRNPD,0.3865879,773,821
RFX7,TMEM164,0.38658744,2288,2920
CDC14A,CLTA,0.38658637,140,1544
PTP4A2,ITGB2,0.38658527,55,2826
WDR11,MGRN1,0.38658524,1753,2353
ATP2B4,SPI1,0.386582,243,1809
AC118549.1,PPP4R3A,0.38658094,117,2219
TRIM38,ANAPC5,0.38657996,1089,2034
DHX15,RPL6,0.38657454,781,2026
FASTKD1,NRP2,0.3865735,457,497
RC3H2,MAPKAP1,0.3865734,1601,1610
RBM6,PPP4R3A,0.3865729,603,2219
KPNA6,ANKRD10,0.3865722,57,2126
PIK3CB,GSAP,0.38657218,685,1306
TOP2B,PCBP2,0.38657036,562,1954
CPPED1,GPI,0.38656944,2365,2682
MAP3K1,CPPED1,0.38656938,933,2365
ARHGAP5,SLTM,0.38656795,2146,2293
SUCO,RFX7,0.38656762,210,2288
DOP1A,ZC3H7A,0.3865645,1158,2362
ARHGAP5,MBTD1,0.38656348,2146,2524
DCAF5,YWHAE,0.3865614,2191,2435
UBAP1,KDM2B,0.38656107,1542,2035
SEC62,SERINC1,0.38656098,709,1192
CLOCK,RHEB,0.3865598,805,1382
CAMK2G,OAZ1,0.386559,1691,2643
AHI1,NPLOC4,0.38655886,1204,2568
CEP85L,USP7,0.38655767,1189,2356
UBN2,VPS35L,0.3865572,1372,2373
ANKHD1,PAFAH1B1,0.3865544,1012,2440
TULP4,NT5C2,0.38655382,1231,1738
PPP2R2D,CDC27,0.386552,1762,2516
ADD1,HLA-DRA,0.38655186,763,1103
TMEM161B-AS1,SLC23A2,0.38655147,967,2729
RASSF4,STIM1,0.38655072,1666,1771
PTMA,ACAP2,0.3865481,528,747
LYRM4,TNKS2,0.38654736,1067,1715
MROH1,IST1,0.38654646,1514,2414
MAPKAP1,EXOC6,0.38654613,1610,1718
FBXO28,CD47,0.38654494,264,645
RBM6,SLAIN2,0.38654262,603,798
TIAL1,RPS25,0.38654158,1751,1876
LAT2,SERGEF,0.3865397,1301,1789
ATR,FAM222B,0.38653916,692,2473
IQCB1,RPS18,0.3865361,654,1113
SRRM1,RPL3,0.3865344,40,2854
SUFU,SECISBP2L,0.3865331,1735,2275
YWHAG,EIF3A,0.3865322,1304,1748
JUN,TM7SF3,0.38652867,101,1925
RPAP2,PREP,0.38652828,130,1172
NAGK,ABCB7,0.38652804,372,2912
EIF2AK2,BAZ1B,0.38652715,318,1299
EXOC6,LAMP2,0.38652608,1718,2927
KPNA4,UBAP1,0.38652542,707,1542
ATAD2B,RNF217,0.38652396,297,1194
ISG15,RPS14,0.38652277,0,1027
UST,SECISBP2L,0.38652048,1219,2275
GAK,PPP2CA,0.38651744,758,1002
TTC37,ASCC1,0.38651708,971,1684
LSM14A,OPHN1,0.38651577,2680,2905
RPS6KC1,PPP2R2D,0.38651437,253,1762
MOSMO,SLC23A2,0.38651255,2375,2729
