source,target,score,source_idx,target_idx
EXOC1,EXOC6,999,806,1718
EXOC2,EXOC4,999,1059,1368
EXOC2,EXOC5,999,1059,2172
EXOC2,EXOC6,999,1059,1718
EXOC4,EXOC5,999,1368,2172
EXOC4,EXOC6,999,1368,1718
EXOC5,EXOC6,999,2172,1718
EXOC6,RAB11A,999,1718,2308
EXT1,EXT2,999,1492,1802
FAF1,NPLOC4,999,91,2568
FAF1,UBXN7,999,91,749
FBXL5,IREB2,999,775,2329
FIG4,PIKFYVE,999,1180,503
FIP1L1,WDR33,999,802,419
FOS,JUN,999,2201,101
FRS2,GRB2,999,1979,2550
FTH1,FTL,999,1819,2706
G3BP1,USP10,999,1029,2424
GAB1,GRB2,999,871,2550
GAB2,GRB2,999,1846,2550
GADD45A,MAP3K4,999,110,1237
GAPDH,PGK1,999,1898,2914
GAPDH,RPL13A,999,1898,2708
GAS6,MERTK,999,2133,405
GATAD2A,MBD2,999,2674,2616
GATAD2A,RBBP4,999,2674,59
GATAD2B,RBBP4,999,184,59
GCC2,RAB6A,999,401,1837
GNAI2,GNB1,999,605,1
GNAI3,GNB1,999,147,1
GNAS,GNB1,999,2784,1
GNB1,GNG2,999,1,2165
GNB1,GNG7,999,1,2644
GNB4,GNG2,999,722,2165
GNB4,GNG7,999,722,2644
GOSR1,SCFD1,999,2479,2141
GRB2,IRS2,999,2550,2124
GRB2,LCP2,999,2550,1037
GRB2,PTK2,999,2550,1512
GRB2,SOS1,999,2550,322
GRB2,SOS2,999,2550,2161
GRB2,VAV1,999,2550,2650
GRB2,WASL,999,2550,1357
GRIA2,GRIA4,999,882,1859
HAVCR2,LGALS9,999,1032,2471
HDAC4,NCOR1,999,536,2461
HDAC4,NCOR2,999,536,2041
HIF1A,HSP90AA1,999,2181,2235
HLA-A,HLA-B,999,1091,1096
HLA-A,LILRB1,999,1091,2716
HLA-DMA,HLA-DMB,999,1110,1109
HLA-DMA,HLA-DPA1,999,1110,1111
HLA-DMA,HLA-DRA,999,1110,1103
HLA-DMA,HLA-DRB1,999,1110,1104
HLA-DMB,HLA-DRA,999,1109,1103
HLA-DPA1,HLA-DPB1,999,1111,1112
HLA-DPA1,HLA-DRA,999,1111,1103
HLA-DQA1,HLA-DQB1,999,1105,1106
HLA-DRA,HLA-DRB1,999,1103,1104
HMGB1,TLR4,999,2060,1594
HNRNPA2B1,HNRNPC,999,1269,2136
HNRNPA3,HNRNPD,999,469,821
HSP90AA1,NR3C1,999,2235,1016
HSP90AA1,PTGES3,999,2235,1959
HSP90AB1,PTGES3,999,1133,1959
IFI44,IFI44L,999,122,121
IFIT1,IFIT3,999,1711,1710
IFIT2,IFIT3,999,1709,1710
IFNAR1,IFNAR2,999,2805,2803
IFNAR1,JAK1,999,2805,107
IFNAR2,JAK1,999,2803,107
IFNGR1,IFNGR2,999,1207,2806
IFNGR1,JAK1,999,1207,107
IFNGR1,JAK2,999,1207,1520
IFNGR1,STAT1,999,1207,481
IFNGR2,JAK2,999,2806,1520
IKBKB,NFKB1,999,1436,846
IKBKB,NFKBIA,999,1436,2152
IKBKB,TNF,999,1436,1098
IKBKB,TNFRSF1A,999,1436,1897
IL10RA,IL10RB,999,1873,2804
IL10RA,JAK1,999,1873,107
IL13RA1,IL4R,999,2925,2383
IL1B,IL1RAP,999,407,742
IL27RA,IL6ST,999,2663,932
IL4R,JAK1,999,2383,107
IL4R,STAT6,999,2383,1961
IL6,IL6R,999,1264,187
IL6,IL6ST,999,1264,932
IL6R,IL6ST,999,187,932
INSR,IRS2,999,2651,2124
INSR,PTPN1,999,2651,2779
INTS10,INTS6,999,1411,2095
INTS6,PPP2CA,999,2095,1002
IRF8,SPI1,999,2426,1809
IST1,SPAST,999,2414,310
ITGAM,ITGB2,999,2387,2826
ITGAV,ITGB1,999,477,1660
ITGAV,ITGB5,999,477,665
ITGAV,SPP1,999,477,830
ITGAX,ITGB2,999,2388,2826
ITSN1,WASL,999,2808,1357
JAK1,JAK2,999,107,1520
JAK1,JAK3,999,107,2670
JAK1,STAT1,999,107,481
JAK1,STAT3,999,107,2505
JAK1,STAT5B,999,107,2504
JAK2,STAT1,999,1520,481
JAK2,STAT3,999,1520,2505
JAK2,STAT5B,999,1520,2504
JARID2,RBBP4,999,1077,59
JARID2,SUZ12,999,1077,2483
JUN,MAPK8,999,101,1668
KAT2B,SUPT3H,999,558,1134
KAT2B,TRRAP,999,558,1327
KCND2,KCNIP1,999,1354,1038
KDM2B,RYBP,999,2035,631
KDM6A,KMT2C,999,2896,1385
KDM6A,NCOA6,999,2896,2758
KEAP1,NFE2L2,999,2658,470
KEAP1,SQSTM1,999,2658,1054
KIAA1328,RPAP2,999,2604,130
KIF5B,KLC1,999,1657,2241
KMT2C,NCOA6,999,1385,2758
KPNA1,KPNB1,999,658,2519
KPNA1,STAT1,999,658,481
KRIT1,RAP1A,999,1314,153
KSR1,RAF1,999,2470,552
LAMP1,LAMP2,999,2132,2927
LATS1,MOB1A,999,1221,378
LATS1,MOB1B,999,1221,812
LCP2,NCK1,999,1037,683
LCP2,SYK,999,1037,1564
LCP2,VAV1,999,1037,2650
LIMS1,NCK2,999,402,400
LIMS1,PARVB,999,402,2861
LIMS1,PARVG,999,402,2862
LIMS1,RSU1,999,402,1643
LMO2,TAL1,999,1797,88
LUC7L3,PNISR,999,2522,1167
LY96,TLR4,999,1465,1594
LYN,SYK,999,1448,1564
MAP2K1,MAPK1,999,2309,2835
MAP2K1,RAF1,999,2309,552
MAP2K4,MAPK8,999,2457,1668
MAP2K5,MAP3K2,999,2311,417
MAP2K5,MAP3K3,999,2311,2537
MAP3K5,TXN,999,1206,1583
MAP3K7,TAB2,999,1165,1220
MAP3K7,TNF,999,1165,1098
MAP3K7,TNFRSF1A,999,1165,1897
MAPK1,MKNK1,999,2835,87
MAPK1,RPS6KA1,999,2835,44
MAPKAP1,RICTOR,999,1610,920
MAVS,TBK1,999,2725,1970
MAVS,TRAF3,999,2725,2238
MCU,MICU1,999,1688,1687
MCU,MICU2,999,1688,2052
MDM2,MDM4,999,1976,244
MDM2,RB1,999,1976,2084
MDM2,RPL11,999,1976,38
MDM2,RPL5,999,1976,132
MDM2,UBE2D2,999,1976,1010
MDM2,USP7,999,1976,2356
MED13,MED14,999,2533,2891
MED14,MED15,999,2891,2833
MED14,MED27,999,2891,1622
MED15,MED27,999,2833,1622
MICU1,MICU2,999,1687,2052
MIOS,WDR59,999,1255,2417
MOB1A,STK38L,999,378,1926
MOB1A,STK4,999,378,2772
MSH3,PMS1,999,960,478
MSN,RDX,999,2902,1865
MT-ATP6,MT-CO2,999,2951,2950
MT-ATP6,MT-CO3,999,2951,2952
MT-ATP6,MT-CYB,999,2951,2956
MT-ATP6,MT-ND1,999,2951,2947
MT-ATP6,MT-ND2,999,2951,2948
MT-ATP6,MT-ND4,999,2951,2954
MT-ATP6,MT-ND5,999,2951,2955
MT-CO1,MT-CO2,999,2949,2950
MT-CO1,MT-CO3,999,2949,2952
MT-CO1,MT-CYB,999,2949,2956
MT-CO1,MT-ND1,999,2949,2947
MT-CO1,MT-ND2,999,2949,2948
MT-CO1,MT-ND4,999,2949,2954
MT-CO1,MT-ND5,999,2949,2955
MT-CO2,MT-CO3,999,2950,2952
MT-CO2,MT-CYB,999,2950,2956
MT-CO2,MT-ND1,999,2950,2947
MT-CO2,MT-ND2,999,2950,2948
MT-CO2,MT-ND4,999,2950,2954
MT-CO2,MT-ND5,999,2950,2955
MT-CO3,MT-CYB,999,2952,2956
MT-CO3,MT-ND1,999,2952,2947
MT-CO3,MT-ND2,999,2952,2948
MT-CO3,MT-ND3,999,2952,2953
MT-CO3,MT-ND4,999,2952,2954
MT-CO3,MT-ND5,999,2952,2955
MT-CYB,MT-ND1,999,2956,2947
MT-CYB,MT-ND2,999,2956,2948
MT-CYB,MT-ND3,999,2956,2953
MT-CYB,MT-ND4,999,2956,2954
MT-CYB,MT-ND5,999,2956,2955
MT-ND1,MT-ND2,999,2947,2948
MT-ND1,MT-ND3,999,2947,2953
MT-ND1,MT-ND4,999,2947,2954
MT-ND1,MT-ND5,999,2947,2955
MT-ND1,NDUFS1,999,2947,499
MT-ND1,NDUFS4,999,2947,926
MT-ND2,MT-ND3,999,2948,2953
MT-ND2,MT-ND4,999,2948,2954
MT-ND2,MT-ND5,999,2948,2955
MT-ND2,NDUFA10,999,2948,537
MT-ND2,NDUFS1,999,2948,499
MT-ND2,NDUFS4,999,2948,926
MT-ND3,MT-ND4,999,2953,2954
MT-ND3,MT-ND5,999,2953,2955
MT-ND3,NDUFA10,999,2953,537
MT-ND3,NDUFS1,999,2953,499
MT-ND3,NDUFS4,999,2953,926
MT-ND4,MT-ND5,999,2954,2955
MT-ND4,NDUFA10,999,2954,537
MT-ND4,NDUFS1,999,2954,499
MT-ND4,NDUFS4,999,2954,926
MT-ND5,NDUFS1,999,2955,499
MT-ND5,NDUFS4,999,2955,926
MTDH,SND1,999,1475,1359
MTF2,SUZ12,999,134,2483
MTREX,TENT4A,999,929,902
MTREX,ZCCHC7,999,929,1546
NCK1,WASL,999,683,1357
NCK1,WIPF1,999,683,466
NCKAP1L,WASF2,999,1956,46
NCOA1,PPARG,999,300,551
NCOR1,PPARG,999,2461,551
NCOR1,TAB2,999,2461,1220
NCOR1,TBL1X,999,2461,2875
NCOR1,TBL1XR1,999,2461,717
NCOR2,PPARG,999,2041,551
NDUFA10,NDUFS1,999,537,499
NDUFA10,NDUFS4,999,537,926
NDUFS1,NDUFS4,999,499,926
NEDD4L,SGK1,999,2620,1203
NEDD4L,SMAD3,999,2620,2310
NEDD4L,UBE2D2,999,2620,1010
NFKB1,NFKBIA,999,846,2152
NFKB1,REL,999,846,350
NFKB1,TNF,999,846,1098
NFKBIA,REL,999,2152,350
NLGN1,NRXN1,999,715,340
NPC1,NPC2,999,2593,2199
NPLOC4,UBXN7,999,2568,749
NSMCE2,SMC5,999,1500,1552
NUP153,NUP98,999,1080,1770
NUP153,TPR,999,1080,230
NUP160,NUP98,999,1812,1770
NUP214,NUP98,999,1619,1770
NUP214,RANBP2,999,1619,403
NUP214,XPO1,999,1619,352
NUP98,RANBP2,999,1770,403
PAK1,RAC1,999,1844,1252
PBRM1,SMARCA2,999,608,1516
PBRM1,SMARCA4,999,608,2660
PBRM1,SMARCC1,999,608,596
PDS5A,STAG2,999,793,2930
PDS5A,WAPL,999,793,1702
PDS5B,WAPL,999,2065,1702
PHF21A,RCOR1,999,1804,2237
PIAS1,STAT1,999,2312,481
PIK3C3,RAB5A,999,2605,557
PIK3C3,UVRAG,999,2605,1841
PIK3CA,PIK3R1,999,721,941
PIK3CA,PIK3R5,999,721,2454
PIK3CB,PIK3R1,999,685,941
PIK3CB,PIK3R5,999,685,2454
PIK3CD,PIK3R1,999,6,941
PIK3CD,PIK3R5,999,6,2454
PLCG2,SYK,999,2421,1564
POLA1,PRIM2,999,2886,1141
PPHLN1,TASOR,999,1937,616
PPP1CB,PPP1R12A,999,308,1989
PPP2CA,PPP2R2A,999,1002,1421
PPP2CA,PPP2R2D,999,1002,1762
PPP2CA,PPP2R5C,999,1002,2233
PPP2CA,PPP2R5E,999,1002,2183
PPP2CA,SLMAP,999,1002,619
PPP2CA,STRN,999,1002,316
PPP2CA,STRN3,999,1002,2142
PPP3CA,PPP3R1,999,845,366
PPP3CB,PPP3R1,999,1690,366
PPP3CC,PPP3R1,999,1415,366
PPP4R2,PPP4R3A,999,632,2219
PPP4R2,PPP4R3B,999,632,347
PRKDC,XRCC4,999,1442,964
PRKDC,XRCC5,999,1442,508
PRKN,SNCA,999,1238,836
PRKN,UBC,999,1238,2043
