names,scores,logfoldchanges,pvals,pvals_adj
PLCL2,4.69301,0.031572923,2.692145684011109e-06,2.479960993028302e-05
EIF2AK4,-4.688268,-0.312085,2.7552652771389276e-06,2.5302234237577047e-05
ARHGAP5,-4.6835427,-0.30232358,2.8195849230342546e-06,2.581273256164796e-05
RPL17,-4.6822076,-0.2973004,2.8380166861303215e-06,2.5901281916319013e-05
P2RX4,-4.6786184,-0.30352083,2.888140690783937e-06,2.627763699276339e-05
CD99,-4.6774774,-0.30675957,2.904258278114617e-06,2.6343226160689946e-05
ACSL4,-4.676158,-0.29751188,2.9229943038259588e-06,2.6425988793116286e-05
FBXW8,-4.675579,-0.33868945,2.9312561123240247e-06,2.6425988793116286e-05
RBBP4,-4.6743927,-0.30593854,2.9482465074840326e-06,2.6498373625016064e-05
SLC15A2,-4.672663,-0.29572964,2.973190033842008e-06,2.6641584636578235e-05
