dataset,feature,metric,target,spearman,n_donors,mean_spearman,mean_n_donors,abs_tail_spearman,abs_mean_spearman,tail_minus_mean_abs_spearman,tail_beats_mean,supports_dilution_hypothesis
DLPFC,dam_lipid_trem2_apoe,q99,Iba1,0.2527894983591186,80,0.2207688701359587,80,0.2527894983591186,0.2207688701359587,0.03202062822315993,True,True
DLPFC,interferon_inflammatory,q99,Iba1,0.2632208157524613,80,0.233356774496015,80,0.2632208157524613,0.233356774496015,0.029864041256446316,True,True
MTG,disease_program_score,fraction_high_global_q95,GFAP,0.3806384708257067,84,0.3515034929634504,84,0.3806384708257067,0.3515034929634504,0.029134977862256273,True,True
MTG,interferon_inflammatory,fraction_high_global_q95,GFAP,0.2760352333704566,84,0.2475852991799129,84,0.2760352333704566,0.2475852991799129,0.028449934190543702,True,True
MTG,lysosomal_endolysosomal,variance,AT8,0.3641186595119976,84,0.3357092234484155,84,0.3641186595119976,0.3357092234484155,0.02840943606358215,True,True
MTG,lysosomal_endolysosomal,top_1pct_mean,6e10/A_beta,0.3631264554014377,84,0.3355269818770882,84,0.3631264554014377,0.3355269818770882,0.027599473524349494,True,True
MTG,oxidative_stress_gene_preserved,top_5pct_mean,GFAP,0.2803685329553508,84,0.2527893084944821,84,0.2803685329553508,0.2527893084944821,0.02757922446086869,True,True
MTG,lysosomal_endolysosomal,variance,6e10/A_beta,0.3627417231953022,84,0.3355269818770882,84,0.3627417231953022,0.3355269818770882,0.027214741318213997,True,True
MTG,interferon_inflammatory,q90,AT8,0.4077958894401134,84,0.381046876581958,84,0.4077958894401134,0.381046876581958,0.026749012858155397,True,True
DLPFC,lysosomal_endolysosomal,fraction_high_global_q95,Iba1,0.2907172995780591,80,0.2652133145804032,80,0.2907172995780591,0.2652133145804032,0.025503984997655882,True,True
MTG,complement_phagocytosis,top_5pct_mean,6e10/A_beta,0.3088792143363369,84,0.2842361040801863,84,0.3088792143363369,0.2842361040801863,0.024643110256150624,True,True
MTG,disease_program_score,top_10pct_mean,6e10/A_beta,0.3782525058216057,84,0.3551685734534777,84,0.3782525058216057,0.3551685734534777,0.023083932368128002,True,True
DLPFC,interferon_inflammatory,top_1pct_mean,Iba1,0.256305672761369,80,0.233356774496015,80,0.256305672761369,0.233356774496015,0.022948898265354012,True,True
MTG,disease_program_score,q95,AT8,0.4014376835071378,84,0.3787587324086262,84,0.4014376835071378,0.3787587324086262,0.022678951098511646,True,True
DLPFC,dam_lipid_trem2_apoe,q99,6e10/A_beta,0.273581809657759,80,0.2510079699953118,80,0.273581809657759,0.2510079699953118,0.022573839662447248,True,True
MTG,interferon_inflammatory,top_10pct_mean,6e10/A_beta,0.2561709020957781,84,0.2338969322668826,84,0.2561709020957781,0.2338969322668826,0.022273969828895485,True,True
MTG,disease_program_score,fraction_high_global_q95,AT8,0.39983798506353,84,0.3787587324086262,84,0.39983798506353,0.3787587324086262,0.021079252654903846,True,True
MTG,disease_program_score,variance,GFAP,0.3718740508251493,84,0.3515034929634504,84,0.3718740508251493,0.3515034929634504,0.02037055786169889,True,True
MTG,disease_program_score,top_10pct_mean,GFAP,0.3704566163814923,84,0.3515034929634504,84,0.3704566163814923,0.3515034929634504,0.018953123418041895,True,True
MTG,complement_phagocytosis,top_10pct_mean,6e10/A_beta,0.3025412574668422,84,0.2842361040801863,84,0.3025412574668422,0.2842361040801863,0.018305153386655892,True,True
MTG,disease_program_score,fraction_high_global_q95,6e10/A_beta,0.3734487793125978,84,0.3551685734534777,84,0.3734487793125978,0.3551685734534777,0.018280205859120102,True,True
DLPFC,lysosomal_endolysosomal,top_5pct_mean,GFAP,0.2562119081106423,80,0.2387951242381622,80,0.2562119081106423,0.2387951242381622,0.017416783872480107,True,True
MTG,dam_lipid_trem2_apoe,top_10pct_mean,AT8,0.4612129189025008,84,0.4441429583881745,84,0.4612129189025008,0.4441429583881745,0.0170699605143263,True,True
MTG,dam_lipid_trem2_apoe,top_10pct_mean,6e10/A_beta,0.4024298876176976,84,0.3862103877695657,84,0.4024298876176976,0.3862103877695657,0.016219499848131924,True,True
DLPFC,lysosomal_endolysosomal,q95,GFAP,0.2543366150961088,80,0.2387951242381622,80,0.2543366150961088,0.2387951242381622,0.015541490857946566,True,True
MTG,dam_lipid_trem2_apoe,top_5pct_mean,6e10/A_beta,0.4016401741419459,84,0.3862103877695657,84,0.4016401741419459,0.3862103877695657,0.015429786372380239,True,True
MTG,interferon_inflammatory,top_10pct_mean,AT8,0.3963146704464919,84,0.381046876581958,84,0.3963146704464919,0.381046876581958,0.015267793864533863,True,True
DLPFC,oxidative_stress_gene_preserved,top_5pct_mean,Iba1,0.3046179090482888,80,0.290014064697609,80,0.3046179090482888,0.290014064697609,0.014603844350679795,True,True
MTG,dam_lipid_trem2_apoe,top_5pct_mean,AT8,0.458681785967399,84,0.4441429583881745,84,0.458681785967399,0.4441429583881745,0.014538827579224478,True,True
MTG,disease_program_score,q95,GFAP,0.3652323580034423,84,0.3515034929634504,84,0.3652323580034423,0.3515034929634504,0.013728865039991878,True,True
MTG,interferon_inflammatory,variance,GFAP,0.2605244507441531,84,0.2475852991799129,84,0.2605244507441531,0.2475852991799129,0.012939151564240192,True,True
DLPFC,oxidative_stress_gene_preserved,fraction_high_global_q95,Iba1,0.3024847632442569,80,0.290014064697609,80,0.3024847632442569,0.290014064697609,0.012470698546647896,True,True
MTG,complement_phagocytosis,q95,6e10/A_beta,0.2963855421686747,84,0.2842361040801863,84,0.2963855421686747,0.2842361040801863,0.012149438088488396,True,True
MTG,oxidative_stress_gene_preserved,top_1pct_mean,GFAP,0.2649184975194897,84,0.2527893084944821,84,0.2649184975194897,0.2527893084944821,0.012129189025007592,True,True
MTG,oxidative_stress_gene_preserved,q90,NeuN,-0.4575883365394351,84,-0.4464108534980257,84,0.4575883365394351,0.4464108534980257,0.01117748304140942,True,True
MTG,disease_program_score,q90,Iba1,0.2609091829502885,84,0.2499949377341297,84,0.2609091829502885,0.2499949377341297,0.010914245216158774,True,True
MTG,interferon_inflammatory,top_5pct_mean,GFAP,0.2572846005872228,84,0.2475852991799129,84,0.2572846005872228,0.2475852991799129,0.009699301407309902,True,True
MTG,dam_lipid_trem2_apoe,q90,AT8,0.4534372785258682,84,0.4441429583881745,84,0.4534372785258682,0.4441429583881745,0.009294320137693657,True,True
MTG,oxidative_stress_gene_preserved,fraction_high_global_q95,GFAP,0.2619850358040098,84,0.2527893084944821,84,0.2619850358040098,0.2527893084944821,0.009195727309527668,True,True
MTG,dam_lipid_trem2_apoe,fraction_high_global_q95,AT8,0.4530819699616746,84,0.4441429583881745,84,0.4530819699616746,0.4441429583881745,0.008939011573500077,True,True
MTG,complement_phagocytosis,fraction_high_global_q95,6e10/A_beta,0.2929446843445673,84,0.2842361040801863,84,0.2929446843445673,0.2842361040801863,0.008708580264380983,True,True
MTG,dam_lipid_trem2_apoe,fraction_high_global_q95,6e10/A_beta,0.3945002430745629,84,0.3862103877695657,84,0.3945002430745629,0.3862103877695657,0.008289855304997207,True,True
DLPFC,oxidative_stress_gene_preserved,variance,Iba1,0.2975152367557431,80,0.290014064697609,80,0.2975152367557431,0.290014064697609,0.007501172058134109,True,True
MTG,disease_program_score,top_10pct_mean,AT8,0.3839222435962336,84,0.3787587324086262,84,0.3839222435962336,0.3787587324086262,0.005163511187607439,True,True
DLPFC,oxidative_stress_gene_preserved,top_1pct_mean,Iba1,0.2939521800281294,80,0.290014064697609,80,0.2939521800281294,0.290014064697609,0.003938115330520409,True,True
