source_idx,target_idx,support,string_score,wgcna_tom
1279,355,both,825.0,0.33449352
2498,2350,both,999.0,0.33444488
2494,2652,both,988.0,0.3343522
45,1007,both,762.0,0.3342307
1113,2350,both,999.0,0.33412352
1282,173,both,935.0,0.334068
2604,130,both,999.0,0.33397168
1010,2929,both,881.0,0.33392343
671,2717,both,904.0,0.33390567
2568,2211,both,859.0,0.3338683
2227,419,both,983.0,0.33383614
791,2315,both,999.0,0.33382684
1547,2759,both,900.0,0.33380333
852,963,both,999.0,0.33376965
933,846,both,796.0,0.33374247
2386,1751,both,779.0,0.33370045
2413,1033,both,897.0,0.33368456
1269,2653,both,987.0,0.33367065
1001,233,both,960.0,0.3336504
2494,292,string_only,999.0,
1650,2243,string_only,999.0,
1650,1913,string_only,999.0,
1650,1956,string_only,999.0,
1650,46,string_only,999.0,
494,2243,string_only,999.0,
494,1956,string_only,999.0,
494,46,string_only,999.0,
1618,2436,string_only,999.0,
1618,2550,string_only,999.0,
1248,2660,string_only,999.0,
364,409,string_only,999.0,
364,1329,string_only,999.0,
364,511,string_only,999.0,
364,2020,string_only,999.0,
364,1357,string_only,999.0,
409,1329,string_only,999.0,
409,511,string_only,999.0,
409,2020,string_only,999.0,
409,1357,string_only,999.0,
807,1036,string_only,999.0,
1892,617,string_only,999.0,
1916,1077,string_only,999.0,
1916,59,string_only,999.0,
1916,2483,string_only,999.0,
1240,2247,string_only,999.0,
826,1001,string_only,999.0,
826,2672,string_only,999.0,
826,972,string_only,999.0,
1001,425,string_only,999.0,
1001,2672,string_only,999.0,
1001,972,string_only,999.0,
286,1812,string_only,999.0,
1313,1767,string_only,999.0,
1805,2605,string_only,999.0,
872,1685,string_only,999.0,
1685,2034,string_only,999.0,
1685,2516,string_only,999.0,
392,391,string_only,999.0,
2842,2413,string_only,999.0,
1764,2488,string_only,999.0,
1550,2894,string_only,999.0,
983,1023,string_only,999.0,
983,583,string_only,999.0,
983,650,string_only,999.0,
2700,2701,string_only,999.0,
2700,2699,string_only,999.0,
2701,2699,string_only,999.0,
2699,2796,string_only,999.0,
2699,1425,string_only,999.0,
2699,1962,string_only,999.0,
2796,2197,string_only,999.0,
2796,1879,string_only,999.0,
617,557,string_only,999.0,
2703,965,string_only,999.0,
2697,1243,string_only,999.0,
2697,2543,string_only,999.0,
194,1243,string_only,999.0,
194,601,string_only,999.0,
1878,1243,string_only,999.0,
1878,2543,string_only,999.0,
1878,601,string_only,999.0,
193,601,string_only,999.0,
2933,2861,string_only,999.0,
2127,31,string_only,999.0,
2127,750,string_only,999.0,
45,608,string_only,999.0,
45,1516,string_only,999.0,
45,2660,string_only,999.0,
45,596,string_only,999.0,
1940,608,string_only,999.0,
1940,2660,string_only,999.0,
178,2857,string_only,999.0,
178,2181,string_only,999.0,
1781,805,string_only,999.0,
1329,511,string_only,999.0,
1329,2020,string_only,999.0,
511,2020,string_only,999.0,
2446,1827,string_only,999.0,
1684,1168,string_only,999.0,
1168,2304,string_only,999.0,
962,549,string_only,999.0,
1835,1173,string_only,999.0,
1173,549,string_only,999.0,
1173,2725,string_only,999.0,
1863,692,string_only,999.0,
2506,646,string_only,999.0,
2506,1484,string_only,999.0,
2506,1446,string_only,999.0,
646,1413,string_only,999.0,
646,1484,string_only,999.0,
646,1446,string_only,999.0,
1413,1484,string_only,999.0,
1413,1446,string_only,999.0,
1484,1446,string_only,999.0,
622,2068,string_only,999.0,
622,1327,string_only,999.0,
622,2468,string_only,999.0,
2694,2133,string_only,999.0,
2274,2710,string_only,999.0,
2274,1091,string_only,999.0,
2274,1096,string_only,999.0,
2274,1095,string_only,999.0,
