source,target,source_idx,target_idx,in_string,in_wgcna,string_score,wgcna_tom,support
RPL19,RPL3,2498,2854,True,True,999.0,0.36749855,both
EIF3A,RPS25,1748,1876,True,True,984.0,0.36745024,both
RPL35,RPS9,1607,2713,True,True,999.0,0.36734536,both
RPL19,RPL34,2498,852,True,True,999.0,0.36721057,both
RPS14,RPS18,1027,1113,True,True,999.0,0.3670551,both
PIK3CB,RAP1B,685,1975,True,True,960.0,0.3669227,both
RPL26,RPS18,2453,1113,True,True,999.0,0.36671722,both
RPL21,RPS9,2057,2713,True,True,999.0,0.36667898,both
WTAP,YTHDF3,1235,1457,True,True,930.0,0.3664609,both
AMBRA1,COP1,1805,213,True,True,907.0,0.36639535,both
BRAF,MAP2K1,1376,2309,True,True,999.0,0.36602712,both
RPS6KA1,RPTOR,44,2566,True,True,859.0,0.36572197,both
AKAP11,PRKACB,2073,123,True,True,948.0,0.36543292,both
RPL11,RPS18,38,1113,True,True,999.0,0.36533785,both
PRKACB,PRKAR2A,123,598,True,True,998.0,0.36516103,both
DOP1A,MON2,1158,1968,True,True,981.0,0.36503285,both
EIF3A,RPS27A,1748,345,True,True,971.0,0.3649569,both
EIF3E,RPS24,1488,1696,True,True,982.0,0.36490685,both
CNOT1,RC3H1,2404,211,True,True,935.0,0.36478096,both
RPL9,RPS18,791,1113,True,True,999.0,0.36457467,both
MTREX,ZCCHC7,929,1546,True,True,999.0,0.3645207,both
PPP2R5E,PPP3CC,2183,1415,True,True,736.0,0.36426923,both
EIF3E,RPS8,1488,82,True,True,986.0,0.36406016,both
RANBP2,TPM3,403,186,True,True,747.0,0.3639315,both
HELZ,SMYD3,2545,285,True,True,962.0,0.36377785,both
RPL19,RPS27,2498,185,True,True,999.0,0.36375317,both
OAZ1,RPL19,2643,2498,True,True,726.0,0.36372855,both
RPL28,RPS27A,2717,345,True,True,998.0,0.36365098,both
SEL1L,UBXN4,2211,428,True,True,732.0,0.36316377,both
RPL6,RPL9,2026,791,True,True,999.0,0.36302528,both
RPS18,RPS25,1113,1876,True,True,999.0,0.3629778,both
AHI1,IQCB1,1204,654,True,True,829.0,0.3629443,both
CDC73,ELP2,233,2603,True,True,768.0,0.36290923,both
EIF3A,RPS23,1748,963,True,True,987.0,0.36277208,both
ISG15,RPS28,0,2652,True,True,834.0,0.36264193,both
RPL26,RPL9,2453,791,True,True,999.0,0.3624951,both
FUS,HNRNPR,2386,37,True,True,869.0,0.36244106,both
RPL19,RPS15,2498,2641,True,True,999.0,0.36211923,both
RPL3,RPS27A,2854,345,True,True,997.0,0.3620884,both
RPL9,RPS14,791,1027,True,True,999.0,0.36184213,both
RANBP2,SMC5,403,1552,True,True,701.0,0.3618361,both
EIF3A,RPS14,1748,1027,True,True,962.0,0.36176294,both
PABPN1,SRSF4,2140,52,True,True,918.0,0.3616034,both
BRD4,SPI1,2665,1809,True,True,712.0,0.3615179,both
CANX,PDIA3,1053,2269,True,True,999.0,0.36142927,both
ITSN1,SYNJ1,2808,2801,True,True,961.0,0.36130747,both
HIPK3,SRSF5,1796,2193,True,True,786.0,0.36112872,both
EXOC1,STXBP3,806,145,True,True,763.0,0.36102882,both
DDX39B,MCM3AP,1097,2827,True,True,803.0,0.36094055,both
RPL19,RPL28,2498,2717,True,True,999.0,0.36089575,both
RPS18,RPS23,1113,963,True,True,999.0,0.36084506,both
BCL2,XIAP,2627,2929,True,True,951.0,0.36053336,both
STAM,UBC,1644,2043,True,True,994.0,0.36043626,both
RPS18,RPS27,1113,185,True,True,999.0,0.36036065,both
RPL18,RPS18,2705,1113,True,True,999.0,0.36006775,both
RPL34,RPS9,852,2713,True,True,999.0,0.36003658,both
AP3S2,RPL7A,2339,1624,True,True,739.0,0.3599423,both
RPL11,RPL9,38,791,True,True,999.0,0.35984546,both
CNOT1,HELZ,2404,2545,True,True,831.0,0.35971573,both
CANX,DNAJC10,1053,474,True,True,876.0,0.35971063,both
DDX39B,RBM5,1097,604,True,True,864.0,0.35969222,both
