dataset,feature,metric,target,spearman,n_donors
DLPFC,lysosomal_endolysosomal,top_10pct_mean,NeuN,-0.42121425222691045,80
DLPFC,lysosomal_endolysosomal,top_5pct_mean,AT8,0.3567979371776841,80
DLPFC,lysosomal_endolysosomal,top_5pct_mean,6e10/A_beta,0.31336146272855137,80
DLPFC,lysosomal_endolysosomal,top_5pct_mean,GFAP,0.2562119081106423,80
DLPFC,lysosomal_endolysosomal,top_5pct_mean,Iba1,0.33530239099859355,80
DLPFC,lysosomal_endolysosomal,top_5pct_mean,NeuN,-0.41905766526019694,80
DLPFC,lysosomal_endolysosomal,top_1pct_mean,AT8,0.4338490389123301,80
DLPFC,lysosomal_endolysosomal,top_1pct_mean,6e10/A_beta,0.36387716830754807,80
DLPFC,lysosomal_endolysosomal,top_1pct_mean,GFAP,0.23424753867791845,80
DLPFC,lysosomal_endolysosomal,top_1pct_mean,Iba1,0.36898734177215187,80
DLPFC,lysosomal_endolysosomal,top_1pct_mean,NeuN,-0.38103609939052974,80
DLPFC,oxidative_stress_gene_preserved,mean,AT8,0.16615096108766994,80
DLPFC,oxidative_stress_gene_preserved,mean,6e10/A_beta,0.24732770745428975,80
DLPFC,oxidative_stress_gene_preserved,mean,GFAP,0.17878574777308956,80
DLPFC,oxidative_stress_gene_preserved,mean,Iba1,0.29001406469760904,80
DLPFC,oxidative_stress_gene_preserved,mean,NeuN,-0.1294186591654946,80
DLPFC,oxidative_stress_gene_preserved,variance,AT8,0.027168307548054386,80
DLPFC,oxidative_stress_gene_preserved,variance,6e10/A_beta,0.17695733708391936,80
DLPFC,oxidative_stress_gene_preserved,variance,GFAP,0.05370370370370371,80
DLPFC,oxidative_stress_gene_preserved,variance,Iba1,0.2975152367557431,80
DLPFC,oxidative_stress_gene_preserved,variance,NeuN,-0.051687763713080176,80
DLPFC,oxidative_stress_gene_preserved,q90,AT8,0.11106422878574777,80
DLPFC,oxidative_stress_gene_preserved,q90,6e10/A_beta,0.22140178152836382,80
DLPFC,oxidative_stress_gene_preserved,q90,GFAP,0.14052977027660574,80
DLPFC,oxidative_stress_gene_preserved,q90,Iba1,0.3327473042662916,80
DLPFC,oxidative_stress_gene_preserved,q90,NeuN,-0.08795124238162214,80
DLPFC,oxidative_stress_gene_preserved,q95,AT8,0.08115330520393813,80
DLPFC,oxidative_stress_gene_preserved,q95,6e10/A_beta,0.21504922644163152,80
DLPFC,oxidative_stress_gene_preserved,q95,GFAP,0.13931082981715895,80
DLPFC,oxidative_stress_gene_preserved,q95,Iba1,0.3418424753867792,80
DLPFC,oxidative_stress_gene_preserved,q95,NeuN,-0.07198781059540554,80
DLPFC,oxidative_stress_gene_preserved,q99,AT8,0.08328645100797,80
DLPFC,oxidative_stress_gene_preserved,q99,6e10/A_beta,0.19167838724800754,80
DLPFC,oxidative_stress_gene_preserved,q99,GFAP,0.10700890764181904,80
DLPFC,oxidative_stress_gene_preserved,q99,Iba1,0.32620721987810597,80
DLPFC,oxidative_stress_gene_preserved,q99,NeuN,-0.0885841537740272,80
DLPFC,oxidative_stress_gene_preserved,fraction_high_global_q95,AT8,0.07198781059540554,80
DLPFC,oxidative_stress_gene_preserved,fraction_high_global_q95,6e10/A_beta,0.20445382090951714,80
DLPFC,oxidative_stress_gene_preserved,fraction_high_global_q95,GFAP,0.1708157524613221,80
DLPFC,oxidative_stress_gene_preserved,fraction_high_global_q95,Iba1,0.30248476324425694,80
DLPFC,oxidative_stress_gene_preserved,fraction_high_global_q95,NeuN,-0.07630098452883263,80
DLPFC,oxidative_stress_gene_preserved,top_10pct_mean,AT8,0.09500703234880452,80
DLPFC,oxidative_stress_gene_preserved,top_10pct_mean,6e10/A_beta,0.2383263009845288,80
DLPFC,oxidative_stress_gene_preserved,top_10pct_mean,GFAP,0.11950304735114861,80
DLPFC,oxidative_stress_gene_preserved,top_10pct_mean,Iba1,0.32658227848101273,80
DLPFC,oxidative_stress_gene_preserved,top_10pct_mean,NeuN,-0.07320675105485233,80
DLPFC,oxidative_stress_gene_preserved,top_5pct_mean,AT8,0.07484763244256916,80
DLPFC,oxidative_stress_gene_preserved,top_5pct_mean,6e10/A_beta,0.2158931082981716,80
DLPFC,oxidative_stress_gene_preserved,top_5pct_mean,GFAP,0.1072667604313174,80
DLPFC,oxidative_stress_gene_preserved,top_5pct_mean,Iba1,0.30461790904828884,80
DLPFC,oxidative_stress_gene_preserved,top_5pct_mean,NeuN,-0.07283169245194562,80
DLPFC,oxidative_stress_gene_preserved,top_1pct_mean,AT8,0.13539615564932023,80
DLPFC,oxidative_stress_gene_preserved,top_1pct_mean,6e10/A_beta,0.20368026254102203,80
DLPFC,oxidative_stress_gene_preserved,top_1pct_mean,GFAP,0.0997655883731833,80
DLPFC,oxidative_stress_gene_preserved,top_1pct_mean,Iba1,0.29395218002812945,80
DLPFC,oxidative_stress_gene_preserved,top_1pct_mean,NeuN,-0.08171589310829817,80
MTG,antigen_presentation,mean,AT8,0.11118760757314974,84
MTG,antigen_presentation,mean,6e10/A_beta,0.09711450845398399,84
MTG,antigen_presentation,mean,GFAP,0.1205021767743242,84
MTG,antigen_presentation,mean,Iba1,0.07569099929128278,84
MTG,antigen_presentation,mean,NeuN,0.16393641794067024,84
MTG,antigen_presentation,variance,AT8,0.06392629340892984,84
MTG,antigen_presentation,variance,6e10/A_beta,0.14411258479295333,84
MTG,antigen_presentation,variance,GFAP,0.29128277817150955,84
MTG,antigen_presentation,variance,Iba1,-0.00022273969828895415,84
MTG,antigen_presentation,variance,NeuN,-0.06388579528196822,84
MTG,antigen_presentation,q90,AT8,0.0884479092841956,84
MTG,antigen_presentation,q90,6e10/A_beta,0.09488711147109447,84
MTG,antigen_presentation,q90,GFAP,0.19202186898855927,84
MTG,antigen_presentation,q90,Iba1,0.038655462184873944,84
MTG,antigen_presentation,q90,NeuN,0.08312240558874152,84
MTG,antigen_presentation,q95,AT8,0.08739495798319329,84
MTG,antigen_presentation,q95,6e10/A_beta,0.12163612432924978,84
MTG,antigen_presentation,q95,GFAP,0.19625392325604943,84
MTG,antigen_presentation,q95,Iba1,0.059046269110053666,84
MTG,antigen_presentation,q95,NeuN,0.08869089804596537,84
