"guide_donor","guide_identity","donor","Gene_Targeted","crispr","n_cells","total_counts"
"CD180_CRISPRi_sgRNA_3||D1","CD180_CRISPRi_sgRNA_3","D1","CD180","Perturbed",24,210808
"CD180_CRISPRi_sgRNA_3||D2","CD180_CRISPRi_sgRNA_3","D2","CD180","Perturbed",9,59913
"CD180_CRISPRi_sgRNA_4||D1","CD180_CRISPRi_sgRNA_4","D1","CD180","Perturbed",13,109643
"CD180_CRISPRi_sgRNA_4||D2","CD180_CRISPRi_sgRNA_4","D2","CD180","Perturbed",5,58259
"CD180_CRISPRi_sgRNA_5||D1","CD180_CRISPRi_sgRNA_5","D1","CD180","Perturbed",18,165036
"CD180_CRISPRi_sgRNA_5||D2","CD180_CRISPRi_sgRNA_5","D2","CD180","Perturbed",13,92119
"CD19_CRISPRi_sgRNA_1||D1","CD19_CRISPRi_sgRNA_1","D1","CD19","Perturbed",28,244882
"CD19_CRISPRi_sgRNA_1||D2","CD19_CRISPRi_sgRNA_1","D2","CD19","Perturbed",16,114308
"CD19_CRISPRi_sgRNA_2||D1","CD19_CRISPRi_sgRNA_2","D1","CD19","Perturbed",12,114195
"CD19_CRISPRi_sgRNA_2||D2","CD19_CRISPRi_sgRNA_2","D2","CD19","Perturbed",4,31698
"CD19_CRISPRi_sgRNA_3||D1","CD19_CRISPRi_sgRNA_3","D1","CD19","Perturbed",9,75956
"CD19_CRISPRi_sgRNA_3||D2","CD19_CRISPRi_sgRNA_3","D2","CD19","Perturbed",10,58266
"CD19_CRISPRi_sgRNA_4||D1","CD19_CRISPRi_sgRNA_4","D1","CD19","Perturbed",41,324084
"CD19_CRISPRi_sgRNA_4||D2","CD19_CRISPRi_sgRNA_4","D2","CD19","Perturbed",17,126588
"CD19_CRISPRi_sgRNA_5||D1","CD19_CRISPRi_sgRNA_5","D1","CD19","Perturbed",5,29786
"CD19_CRISPRi_sgRNA_5||D2","CD19_CRISPRi_sgRNA_5","D2","CD19","Perturbed",1,22143
"CD1D_CRISPRi_sgRNA_1||D1","CD1D_CRISPRi_sgRNA_1","D1","CD1D","Perturbed",3,32297
"CD1D_CRISPRi_sgRNA_1||D2","CD1D_CRISPRi_sgRNA_1","D2","CD1D","Perturbed",1,4046
"CD1D_CRISPRi_sgRNA_2||D1","CD1D_CRISPRi_sgRNA_2","D1","CD1D","Perturbed",28,228617
