"study","assay_object","donor","target_gene","target_gene_measured","n_guides","n_cells","n_nt_guides","n_nt_cells","target_log2fc_mean","target_log2fc_sd","target_log2fc_se"
"GSE301119","CRISPRi","D1","ITGB3",TRUE,5,109,98,1425,0.0390449570349593,0.811992383352531,0.363134033277665
"GSE301119","CRISPRi","D1","ITM2B",TRUE,5,56,98,1425,-0.508758682686526,0.552829283084105,0.247232771385706
"GSE301119","CRISPRi","D1","ITM2C",TRUE,5,104,98,1425,0.119456027702147,1.30268976367606,0.582580573034561
"GSE301119","CRISPRi","D1","LAPTM5",TRUE,5,58,98,1425,-0.295155477998496,0.624837371658493,0.279435767582138
"GSE301119","CRISPRi","D1","LDLR",TRUE,5,86,98,1425,-0.654012930266407,0,0
"GSE301119","CRISPRi","D1","LDLRAD3",TRUE,5,145,98,1425,-1.5551076033085,2.11375330634966,0.945299216132556
"GSE301119","CRISPRi","D1","LILRA5",TRUE,5,111,98,1425,-0.64816210912144,0.608642648984355,0.272193267426912
"GSE301119","CRISPRi","D1","LILRB4",TRUE,4,95,98,1425,-2.07113035728146,0.415459683323929,0.207729841661965
"GSE301119","CRISPRi","D1","LPAR2",TRUE,5,99,98,1425,0.878984137662511,1.78102666355125,0.79649933788805
"GSE301119","CRISPRi","D1","LPL",TRUE,5,79,98,1425,-1.1483939274767,1.77909679846364,0.79563627598339
"GSE301119","CRISPRi","D1","LRP1",TRUE,5,33,98,1425,-3.35719867584407,2.62177627381891,1.17249399401104
"GSE301119","CRISPRi","D1","LRP1B",TRUE,5,50,98,1425,-0.391608411492689,0,0
"GSE301119","CRISPRi","D1","LRP6",TRUE,5,71,98,1425,-0.814115967390472,0,0
"GSE301119","CRISPRi","D1","LRP8",TRUE,5,96,98,1425,-0.483028586458852,1.49089047451365,0.666746489603888
"GSE301119","CRISPRi","D1","LRRK2",TRUE,5,129,98,1425,-0.610217299638069,0.583914149922004,0.261134346449921
"GSE301119","CRISPRi","D1","LSR",TRUE,5,181,98,1425,-0.0558853944358377,0.627449356977584,0.280603882928082
"GSE301119","CRISPRi","D1","LTBR",TRUE,5,35,98,1425,-2.85626657591364,1.99077979307979,0.890303789111874
"GSE301119","CRISPRi","D1","LYVE1",TRUE,5,138,98,1425,-0.010161275341663,0,0
"GSE301119","CRISPRi","D1","LYZ",TRUE,5,110,98,1425,-0.851738808615105,0.580727099431305,0.259709054140936
"GSE301119","CRISPRi","D1","MERTK",TRUE,5,119,98,1425,-0.2576723101868,0.179771360002708,0.0803961962747283
"GSE301119","CRISPRi","D1","MMP9",TRUE,5,58,98,1425,-1.27719246310185,0.817296155972309,0.365505952500671
"GSE301119","CRISPRi","D1","MRC1",TRUE,5,37,98,1425,-0.370990648684401,1.0154894371477,0.45414068237905
"GSE301119","CRISPRi","D1","MRC2",TRUE,5,97,98,1425,-1.47940242583614,2.64310772636112,1.18203370959968
"GSE301119","CRISPRi","D1","MS4A4A",TRUE,5,91,98,1425,-1.72932605528771,0.822611193861431,0.367882909705284
"GSE301119","CRISPRi","D1","MS4A6A",TRUE,5,71,98,1425,-2.7550851435863,1.76865721140389,0.790967550718861
"GSE301119","CRISPRi","D1","NFATC1",TRUE,5,64,98,1425,-0.141976506735402,2.11824936642144,0.947309915322839
"GSE301119","CRISPRi","D1","NFATC2",TRUE,5,72,98,1425,0.240112806214922,1.65173903964939,0.738680154749252
"GSE301119","CRISPRi","D1","NLRC4",TRUE,5,75,98,1425,-2.40589650848008,2.29554009715984,1.02659674046517
"GSE301119","CRISPRi","D1","NLRP3",TRUE,5,75,98,1425,-3.08112114757856,2.04264237155414,0.913497439303287
"GSE301119","CRISPRi","D1","NPC2",TRUE,5,154,98,1425,-0.484259518122161,0.645228935854072,0.288555152323911
"GSE301119","CRISPRi","D1","NRP1",TRUE,5,67,98,1425,0.374376674972754,0.661205555225665,0.295700113717016
