cell_id_hash,donor_id_hash,broad_family,annotation,dataset_id,matrix_id,technology,region,global_audit_frequency,within_family_audit_frequency,rna_local_isolation,ledger_local_isolation,pca_local_isolation,rep_local_isolation,rna_rare,ledger_rare,pca_rare,rep_rare,agreement_category,data_defined_candidate_only
0118a91fb43741a207aecc700af13ded171ef41a042f845061edc335d1c7c6c6,6d3f6e2d0b06ddeb63a763ca670ac5ad2f5711647ecead3d275d123f11441dac,Inhibitory neurons,Neuronal: GABAergic,sea_ad_hip_rna_final_2026,sea_ad_hip_rna_final_2026,10xMulti,HIP,0.00024993751562109475,0.0009765625,0.4357498168945313,0.014922140890219149,0.4012237628300984,0.4074039816856384,True,False,False,False,RNA RARE / LEDGER NOT RARE,True
002b0fb70b8fdabe71a4df75bd0a258e73092817ad0b235c42b0b31f42d5564a,1077c17bdb8bda762121fdefdb2c55be53e3c376eacb1bbfc88d9d46ae14d2e4,Inhibitory neurons,Neuronal: GABAergic,sea_ad_hip_rna_final_2026,sea_ad_hip_rna_final_2026,10xMulti,HIP,0.00024993751562109475,0.0009765625,0.4523457487424215,0.0157764571595419,0.40187536676724755,0.4012897988160451,True,True,False,False,RNA + LEDGER RARE / PCA NOT RARE,True
00752858f7d961e116c5d52fab94b57700c6cec56c860d6d82468a7f47d01230,c255c9b38fb95e5287815648f5fa43a623cab2c4e31c66221a33d54b32620ec8,Inhibitory neurons,Neuronal: GABAergic,sea_ad_hip_rna_final_2026,sea_ad_hip_rna_final_2026,10xMulti,HIP,0.00024993751562109475,0.0009765625,0.4303529481093089,0.01518625361684367,0.4554655611515045,0.46187194486459093,True,True,False,False,RNA + LEDGER RARE / PCA NOT RARE,True
00fe6e535a5ad661f140fa736a1988938a9eed2a70dd5aa48754576dc62140ca,2ba81371b76aa6a90576b8266cc990171b1bea747b4f388e9e604fc2c1730f5b,Inhibitory neurons,Neuronal: GABAergic,sea_ad_hip_rna_final_2026,sea_ad_hip_rna_final_2026,10xMulti,HIP,0.00024993751562109475,0.0009765625,0.5132597744464874,0.016555672472561844,0.3978891352812449,0.4049197097619375,True,True,False,False,RNA + LEDGER RARE / PCA NOT RARE,True
00181b9413eb11e92dae120bdea47716428e646a7ee12948ceba0ea346c916d4,a62ff36f4950c2639f66a5b8c4157ae964a7c4be29c4be8c961fd58b80a8dea3,Inhibitory neurons,Neuronal: GABAergic,sea_ad_mec_rna_final_2026,sea_ad_mec_rna_final_2026,10Xv3.1,MEC,0.00024993751562109475,0.0009765625,0.4552554170290629,0.015541743213001724,0.3976398209730784,0.4026503543059031,True,True,False,False,RNA + LEDGER RARE / PCA NOT RARE,True
001909abb0f1f6638f474144fe9f03efa1dbcaa13b3c188031fcb14829fa4b3f,591aed83b8b0e2fa9f0f2a04ec8af4a003805ef274bea990030003f26d736e9c,Inhibitory neurons,Neuronal: GABAergic,sea_ad_mec_rna_final_2026,sea_ad_mec_rna_final_2026,10Xv3.1,MEC,0.00024993751562109475,0.0009765625,0.456541101137797,0.015590126144171657,0.41069484551747637,0.42486843864123025,True,True,False,False,RNA + LEDGER RARE / PCA NOT RARE,True
0ac57070ce8f502bf23a3d95a6d53c89342b5ae1bb5a0bc3c7818956dc402300,a3f8b35353f3fc3b673f9a7dcb09069f6322f191273e6ad319d65813b9e7b3a3,Inhibitory neurons,Neuronal: GABAergic,HVS,HVS::bb3c4200-5c1b-4f8a-a846-e021919b7241,10x 3' v3,neocortex,0.00024993751562109475,0.0009765625,0.47544503410657246,0.016227924532317584,0.5483710924784342,0.5432316859563191,True,True,True,True,RNA + LEDGER + PCA RARE,True
25aadb97216d0de857839042787afb84621620472e8d2e1707b61e3272fe7319,c264aed2f5b5a233c0bfff401d1eb48abd03f4890f37d8cd0507c47d0927ac60,Inhibitory neurons,Neuronal: GABAergic,HVS,HVS::bb3c4200-5c1b-4f8a-a846-e021919b7241,10x 3' v3,neocortex,0.00024993751562109475,0.0009765625,0.3148741801579793,0.01250225769760116,0.5650080233812332,0.5676235606273015,False,False,True,True,PCA RARE ONLY,True
1291b9f17b821feb442d32fc4f5beab59adea2ec4491976524e12046f25a6e8f,30f919ad1453ffbfbd8c733050235c1c22a0f2a85817dc8dfbc1cda3f30dac8b,Inhibitory neurons,Neuronal: GABAergic,HVS,HVS::bb3c4200-5c1b-4f8a-a846-e021919b7241,10x 3' v3,neocortex,0.00024993751562109475,0.0009765625,0.4044244468212128,0.015163590272366467,0.45984694262345627,0.4533407419919968,False,True,False,False,LEDGER RARE / RNA NOT RARE,True
052c5541050d7405505c908bda07455e583a7450017a90134e2071a15bc1027c,b5d3f3a08e1f18dc7704105e17aef4e234c848adfafe4815c3719fd75d602a9f,Inhibitory neurons,Neuronal: GABAergic,HVS,HVS::5fff0955-173e-407d-b160-64f513ca6db6,10x 3' v3,neocortex,0.00024993751562109475,0.0009765625,0.4504714866479238,0.015038961074232415,0.5737025459607442,0.5609988113244375,True,False,True,True,RNA RARE / LEDGER NOT RARE,True
12ba0c03d2768b246dceb41e1d7e16deb80586b233e10ca6160303e8f25c7fc9,e745efa86cd2c7bfc384c851f3c0a40d256d21d55308ee8d93eaba5e09f1cce8,Inhibitory neurons,Neuronal: GABAergic,HVS,HVS::5fff0955-173e-407d-b160-64f513ca6db6,10x 3' v3,neocortex,0.00024993751562109475,0.0009765625,0.34889807303746545,0.012815112766658476,0.5347285101811091,0.5273779104153316,False,False,True,False,PCA RARE ONLY,True
037ab7274620c7eb4df4d15ee58e7024c20f49d95a5636128535e19cbe052e64,a951392dbccdb95df9047af5f60f6cb824ba072f6182df53d5d39c3fdf45f724,Inhibitory neurons,Neuronal: GABAergic,HVS,HVS::5fff0955-173e-407d-b160-64f513ca6db6,10x 3' v3,neocortex,0.00024993751562109475,0.0009765625,0.4301322778065999,0.015530637119310242,0.4621598581473033,0.43349601427714035,False,True,False,False,LEDGER RARE / RNA NOT RARE,True
013338de9d4ae109a63fbf8a5362cb8889312e37caf30fa45870bd35708f6593,ea393f00d6ffceea8678dc609cd3e9aa761abd63fa879480d6c4a38d7edfc2ec,Inhibitory neurons,Neuronal: GABAergic,sea_ad_ang_rna_final_2026,sea_ad_ang_rna_final_2026,10xMulti,AnG,0.00024993751562109475,0.0009765625,0.4326290388902029,0.014981746267858309,0.34854515790939333,0.3577651341756185,True,False,False,False,RNA RARE / LEDGER NOT RARE,True
092cfdcfedc09b5c4229f504a900c5cc5419f8146c1b709e909cec52b20f2380,7f62f99784b14bc73e438761a847e4ef964457f5e8bdda854ff1de93555ce010,Inhibitory neurons,Neuronal: GABAergic,HVS,HVS::4afcaa14-e1c1-4b2b-b5af-c5b8936c3ddd,10x 3' v3,neocortex,0.00024993751562109475,0.0009765625,0.4049930095672607,0.014918340217207726,0.5485599199930826,0.5462553411722183,False,False,True,True,PCA RARE ONLY,True
2a582963d0004144c512396c9deeffdb93a5fa5d3e652e2bccbabbf0f233a40e,3bee44480e84c2882efa859cb06d21f2126dca8ecaf0579abf9069f62bb6cde7,Inhibitory neurons,Neuronal: GABAergic,HVS,HVS::4afcaa14-e1c1-4b2b-b5af-c5b8936c3ddd,10x 3' v3,neocortex,0.00024993751562109475,0.0009765625,0.4494113703568776,0.013210105135964434,0.47181801795959477,0.45622075597445166,True,False,False,False,RNA RARE / LEDGER NOT RARE,True
0023696dc6c904b305b2931eed80ed036a404e5f48ab6b0a294ea4774fffc2ec,617bbf76d43a4cad1f2fb7ae1ad7247d522ba498c409845f8db8d95ef6c801ba,Microglia / immune,Microglia-PVMSubclass,sea_ad_caudate_rna_all_2025,sea_ad_caudate_rna_all_2025,UNKNOWN / NOT PROVIDED,Human CaH,0.00024993751562109475,0.007042253521126761,0.3789586285750072,0.013583709141610556,0.5168766011794408,0.5490130851666133,False,False,True,True,PCA RARE ONLY,True
00249af74e4c6c27f1cc114be4041ebbcaa99dd1f5609101ec5b1be50deb4c55,c13b16201db350adde144d48708cafc659ffc0100500b903205fdbc64cc6c16e,Microglia / immune,Microglia-PVMSubclass,sea_ad_caudate_rna_all_2025,sea_ad_caudate_rna_all_2025,UNKNOWN / NOT PROVIDED,Human CaH,0.00024993751562109475,0.007042253521126761,0.5390700896581013,0.01803196025055598,0.4293264846007029,0.4450111418962479,False,True,False,False,LEDGER RARE / RNA NOT RARE,True
