factor,fixture,optimizer_step,r2,representation,seed
31,balanced_multifactor,0,-0.2580201504271509,predictor_pca160,8114001
0,balanced_multifactor,0,0.5371606090316713,target_cross_flattened,8114001
1,balanced_multifactor,0,0.5248727537104974,target_cross_flattened,8114001
2,balanced_multifactor,0,0.5272382625436114,target_cross_flattened,8114001
3,balanced_multifactor,0,0.579528546810335,target_cross_flattened,8114001
4,balanced_multifactor,0,0.465520098689177,target_cross_flattened,8114001
5,balanced_multifactor,0,0.6099935958247605,target_cross_flattened,8114001
6,balanced_multifactor,0,0.5937524819491671,target_cross_flattened,8114001
7,balanced_multifactor,0,0.6537424028592267,target_cross_flattened,8114001
8,balanced_multifactor,0,0.5143996195447404,target_cross_flattened,8114001
9,balanced_multifactor,0,0.6571596622415595,target_cross_flattened,8114001
10,balanced_multifactor,0,0.5472906061781021,target_cross_flattened,8114001
11,balanced_multifactor,0,0.5553342986391859,target_cross_flattened,8114001
12,balanced_multifactor,0,0.6546235299476151,target_cross_flattened,8114001
13,balanced_multifactor,0,0.6258331439465444,target_cross_flattened,8114001
14,balanced_multifactor,0,0.5274830392329402,target_cross_flattened,8114001
15,balanced_multifactor,0,0.48378986405238944,target_cross_flattened,8114001
16,balanced_multifactor,0,0.6047541035778019,target_cross_flattened,8114001
17,balanced_multifactor,0,0.5998092199861111,target_cross_flattened,8114001
18,balanced_multifactor,0,0.5527173880890037,target_cross_flattened,8114001
19,balanced_multifactor,0,0.4936020341896433,target_cross_flattened,8114001
20,balanced_multifactor,0,0.5939798131637781,target_cross_flattened,8114001
21,balanced_multifactor,0,0.552951767280335,target_cross_flattened,8114001
22,balanced_multifactor,0,0.5421567919197628,target_cross_flattened,8114001
23,balanced_multifactor,0,0.5579126722966552,target_cross_flattened,8114001
24,balanced_multifactor,0,0.5288253659325589,target_cross_flattened,8114001
25,balanced_multifactor,0,0.6054447655035351,target_cross_flattened,8114001
26,balanced_multifactor,0,0.4705413428407599,target_cross_flattened,8114001
27,balanced_multifactor,0,0.5355164982533108,target_cross_flattened,8114001
28,balanced_multifactor,0,0.5588967737709776,target_cross_flattened,8114001
29,balanced_multifactor,0,0.6025932263600333,target_cross_flattened,8114001
30,balanced_multifactor,0,0.6246511647064172,target_cross_flattened,8114001
31,balanced_multifactor,0,0.5859723842430687,target_cross_flattened,8114001
0,balanced_multifactor,0,0.5357078220451479,target_final_flattened,8114001
1,balanced_multifactor,0,0.5465645062375786,target_final_flattened,8114001
2,balanced_multifactor,0,0.5610973517526726,target_final_flattened,8114001
3,balanced_multifactor,0,0.5501385603001472,target_final_flattened,8114001
4,balanced_multifactor,0,0.4059873130042234,target_final_flattened,8114001
5,balanced_multifactor,0,0.5767104482446052,target_final_flattened,8114001
6,balanced_multifactor,0,0.6044234954777354,target_final_flattened,8114001
7,balanced_multifactor,0,0.6412501909230502,target_final_flattened,8114001
8,balanced_multifactor,0,0.508033283886537,target_final_flattened,8114001
9,balanced_multifactor,0,0.639842500437379,target_final_flattened,8114001
10,balanced_multifactor,0,0.5464083620833318,target_final_flattened,8114001
11,balanced_multifactor,0,0.5088266518795923,target_final_flattened,8114001
12,balanced_multifactor,0,0.62776998829447,target_final_flattened,8114001
13,balanced_multifactor,0,0.6300205295299444,target_final_flattened,8114001
14,balanced_multifactor,0,0.5535225685763101,target_final_flattened,8114001
15,balanced_multifactor,0,0.4207121831116143,target_final_flattened,8114001
16,balanced_multifactor,0,0.5986722704486391,target_final_flattened,8114001
17,balanced_multifactor,0,0.5691292489221873,target_final_flattened,8114001
18,balanced_multifactor,0,0.5393991815781213,target_final_flattened,8114001
19,balanced_multifactor,0,0.42083360778124557,target_final_flattened,8114001
20,balanced_multifactor,0,0.556676477299747,target_final_flattened,8114001
21,balanced_multifactor,0,0.5300452049493434,target_final_flattened,8114001
22,balanced_multifactor,0,0.5636905454933301,target_final_flattened,8114001
23,balanced_multifactor,0,0.552149686063585,target_final_flattened,8114001
24,balanced_multifactor,0,0.5477981061401487,target_final_flattened,8114001
25,balanced_multifactor,0,0.6248822323175658,target_final_flattened,8114001
26,balanced_multifactor,0,0.42182915686364464,target_final_flattened,8114001
27,balanced_multifactor,0,0.5031840617265652,target_final_flattened,8114001
28,balanced_multifactor,0,0.578199451826503,target_final_flattened,8114001
29,balanced_multifactor,0,0.5950073123528152,target_final_flattened,8114001
30,balanced_multifactor,0,0.6265562916255387,target_final_flattened,8114001
31,balanced_multifactor,0,0.5467200021130247,target_final_flattened,8114001
0,balanced_multifactor,0,-0.07968999093915885,target_historical_mean,8114001
1,balanced_multifactor,0,-0.4010332860621657,target_historical_mean,8114001
2,balanced_multifactor,0,-0.11178611730120935,target_historical_mean,8114001
3,balanced_multifactor,0,-0.09535314919749527,target_historical_mean,8114001
4,balanced_multifactor,0,-0.40056045295946463,target_historical_mean,8114001
5,balanced_multifactor,0,0.05045339114076253,target_historical_mean,8114001
6,balanced_multifactor,0,-0.2180447648680781,target_historical_mean,8114001
7,balanced_multifactor,0,-0.1410273535019806,target_historical_mean,8114001
8,balanced_multifactor,0,-0.028425483437874544,target_historical_mean,8114001
9,balanced_multifactor,0,-0.1787382773997217,target_historical_mean,8114001
10,balanced_multifactor,0,-0.307012323337972,target_historical_mean,8114001
11,balanced_multifactor,0,-0.31637713245069676,target_historical_mean,8114001
12,balanced_multifactor,0,-0.04928835940078247,target_historical_mean,8114001
13,balanced_multifactor,0,-0.19028993503156744,target_historical_mean,8114001
14,balanced_multifactor,0,-0.8390836466805285,target_historical_mean,8114001
15,balanced_multifactor,0,-0.19603310114449446,target_historical_mean,8114001
16,balanced_multifactor,0,-0.08220409919104243,target_historical_mean,8114001
17,balanced_multifactor,0,-0.23855037366237042,target_historical_mean,8114001
18,balanced_multifactor,0,-0.21430693640533405,target_historical_mean,8114001
19,balanced_multifactor,0,-0.0783858826737942,target_historical_mean,8114001
20,balanced_multifactor,0,-0.11208576505018963,target_historical_mean,8114001
21,balanced_multifactor,0,0.011842092243513846,target_historical_mean,8114001
22,balanced_multifactor,0,-0.3600993988191985,target_historical_mean,8114001
23,balanced_multifactor,0,-0.23251115449542437,target_historical_mean,8114001
24,balanced_multifactor,0,-0.096247426198246,target_historical_mean,8114001
25,balanced_multifactor,0,-0.12504444722811137,target_historical_mean,8114001
26,balanced_multifactor,0,-0.3580832702122281,target_historical_mean,8114001
27,balanced_multifactor,0,-0.0868840864857392,target_historical_mean,8114001
28,balanced_multifactor,0,0.0021897218644649774,target_historical_mean,8114001
29,balanced_multifactor,0,-0.15881990533324397,target_historical_mean,8114001
30,balanced_multifactor,0,-0.35156395085511827,target_historical_mean,8114001
31,balanced_multifactor,0,-0.17532746164615665,target_historical_mean,8114001
0,balanced_multifactor,0,0.4752031446834023,target_pca160,8114001
1,balanced_multifactor,0,0.5100565448110819,target_pca160,8114001
2,balanced_multifactor,0,0.5286263479199321,target_pca160,8114001
3,balanced_multifactor,0,0.5055934465399101,target_pca160,8114001
4,balanced_multifactor,0,0.4816512391196076,target_pca160,8114001
5,balanced_multifactor,0,0.6056576540478069,target_pca160,8114001
6,balanced_multifactor,0,0.5423015057706078,target_pca160,8114001
7,balanced_multifactor,0,0.6030570733659248,target_pca160,8114001
8,balanced_multifactor,0,0.5333121608482756,target_pca160,8114001
9,balanced_multifactor,0,0.5962859063274789,target_pca160,8114001
10,balanced_multifactor,0,0.48362879368257905,target_pca160,8114001
11,balanced_multifactor,0,0.5043286961707842,target_pca160,8114001
12,balanced_multifactor,0,0.5875246157243594,target_pca160,8114001
13,balanced_multifactor,0,0.5906272051348447,target_pca160,8114001
14,balanced_multifactor,0,0.49668742166357904,target_pca160,8114001
15,balanced_multifactor,0,0.45200427632523643,target_pca160,8114001
16,balanced_multifactor,0,0.6292210886507035,target_pca160,8114001
17,balanced_multifactor,0,0.5143962226185139,target_pca160,8114001
18,balanced_multifactor,0,0.458978018671509,target_pca160,8114001
19,balanced_multifactor,0,0.512086878943139,target_pca160,8114001
20,balanced_multifactor,0,0.5519235027326856,target_pca160,8114001
21,balanced_multifactor,0,0.47995172651428974,target_pca160,8114001
22,balanced_multifactor,0,0.5333335674090021,target_pca160,8114001
23,balanced_multifactor,0,0.5317625521908727,target_pca160,8114001
24,balanced_multifactor,0,0.5455224150471268,target_pca160,8114001
25,balanced_multifactor,0,0.5433390509675048,target_pca160,8114001
26,balanced_multifactor,0,0.4408610075605216,target_pca160,8114001
27,balanced_multifactor,0,0.513269986966758,target_pca160,8114001
28,balanced_multifactor,0,0.5386020995059129,target_pca160,8114001
29,balanced_multifactor,0,0.5627419235433435,target_pca160,8114001
30,balanced_multifactor,0,0.5828004003143894,target_pca160,8114001
31,balanced_multifactor,0,0.5830758071680684,target_pca160,8114001
0,balanced_multifactor,0,0.5355689831194876,target_post_flattened,8114001
1,balanced_multifactor,0,0.5417577827779243,target_post_flattened,8114001
2,balanced_multifactor,0,0.5672371808064065,target_post_flattened,8114001
3,balanced_multifactor,0,0.545903952525548,target_post_flattened,8114001
4,balanced_multifactor,0,0.40600358754781807,target_post_flattened,8114001
5,balanced_multifactor,0,0.58186978941028,target_post_flattened,8114001
6,balanced_multifactor,0,0.6062401891707943,target_post_flattened,8114001
7,balanced_multifactor,0,0.6359753718542515,target_post_flattened,8114001
8,balanced_multifactor,0,0.5133324631964095,target_post_flattened,8114001
9,balanced_multifactor,0,0.6423068640950019,target_post_flattened,8114001
10,balanced_multifactor,0,0.5382135181489702,target_post_flattened,8114001
11,balanced_multifactor,0,0.5098683094811705,target_post_flattened,8114001
12,balanced_multifactor,0,0.6200538227336212,target_post_flattened,8114001
13,balanced_multifactor,0,0.6335556397600082,target_post_flattened,8114001
14,balanced_multifactor,0,0.5569680147941144,target_post_flattened,8114001
15,balanced_multifactor,0,0.41504853722205093,target_post_flattened,8114001
16,balanced_multifactor,0,0.600418136830867,target_post_flattened,8114001
17,balanced_multifactor,0,0.5651603400525899,target_post_flattened,8114001
18,balanced_multifactor,0,0.5336684492649071,target_post_flattened,8114001
19,balanced_multifactor,0,0.41641561799611304,target_post_flattened,8114001
20,balanced_multifactor,0,0.5664323572570399,target_post_flattened,8114001
21,balanced_multifactor,0,0.5328996098908361,target_post_flattened,8114001
22,balanced_multifactor,0,0.5528374615245875,target_post_flattened,8114001
23,balanced_multifactor,0,0.5468125658069108,target_post_flattened,8114001
24,balanced_multifactor,0,0.5459355033128731,target_post_flattened,8114001
25,balanced_multifactor,0,0.6263747595448802,target_post_flattened,8114001
26,balanced_multifactor,0,0.42793485658790054,target_post_flattened,8114001
27,balanced_multifactor,0,0.5068728722280066,target_post_flattened,8114001
28,balanced_multifactor,0,0.5810762450371839,target_post_flattened,8114001
29,balanced_multifactor,0,0.5907339676701948,target_post_flattened,8114001
30,balanced_multifactor,0,0.6260186603686906,target_post_flattened,8114001
31,balanced_multifactor,0,0.5510504644995354,target_post_flattened,8114001
0,balanced_multifactor,0,0.12021350323448032,token_mean,8114001
1,balanced_multifactor,0,-0.07372777428638222,token_mean,8114001
2,balanced_multifactor,0,0.015011668820189339,token_mean,8114001
3,balanced_multifactor,0,0.03638866536269725,token_mean,8114001
4,balanced_multifactor,0,-0.11018276570766483,token_mean,8114001
5,balanced_multifactor,0,-0.04160596886339718,token_mean,8114001
6,balanced_multifactor,0,-0.00039054600661647676,token_mean,8114001
7,balanced_multifactor,0,0.04667496403395799,token_mean,8114001
8,balanced_multifactor,0,-0.13674139673057462,token_mean,8114001
9,balanced_multifactor,0,-0.11560018374470493,token_mean,8114001
10,balanced_multifactor,0,-0.121519710047852,token_mean,8114001
11,balanced_multifactor,0,-0.0401733600837868,token_mean,8114001
12,balanced_multifactor,0,0.16624344276829994,token_mean,8114001
13,balanced_multifactor,0,0.052471317938274975,token_mean,8114001
14,balanced_multifactor,0,0.054200096296656675,token_mean,8114001
15,balanced_multifactor,0,0.02136591629498641,token_mean,8114001
16,balanced_multifactor,0,-0.1312482869798257,token_mean,8114001
17,balanced_multifactor,0,-0.007605818440992174,token_mean,8114001
18,balanced_multifactor,0,-0.08079722287293878,token_mean,8114001
19,balanced_multifactor,0,0.042368689345773536,token_mean,8114001
20,balanced_multifactor,0,0.0918597952727106,token_mean,8114001
21,balanced_multifactor,0,0.048996067672158916,token_mean,8114001
22,balanced_multifactor,0,-0.13291750719855533,token_mean,8114001
23,balanced_multifactor,0,-0.10506727819534656,token_mean,8114001
24,balanced_multifactor,0,-0.0783054553107907,token_mean,8114001
25,balanced_multifactor,0,-0.18699251375211623,token_mean,8114001
26,balanced_multifactor,0,-0.2264906861585989,token_mean,8114001
