condition,factor_index,factor_r2,optimizer_step,representation
RLC_BASE,31,-0.35604941844940186,0,completed_state
RLC_BASE,0,0.3285134434700012,25,completed_state
RLC_BASE,1,0.06123405694961548,25,completed_state
RLC_BASE,2,-0.09504234790802002,25,completed_state
RLC_BASE,3,0.12919139862060547,25,completed_state
RLC_BASE,4,0.02227652072906494,25,completed_state
RLC_BASE,5,0.2259041666984558,25,completed_state
RLC_BASE,6,-0.13321948051452637,25,completed_state
RLC_BASE,7,-0.22433137893676758,25,completed_state
RLC_BASE,8,0.026354730129241943,25,completed_state
RLC_BASE,9,0.23929637670516968,25,completed_state
RLC_BASE,10,-0.3490629196166992,25,completed_state
RLC_BASE,11,0.06732451915740967,25,completed_state
RLC_BASE,12,0.013172626495361328,25,completed_state
RLC_BASE,13,-0.06557583808898926,25,completed_state
RLC_BASE,14,-0.022311806678771973,25,completed_state
RLC_BASE,15,-0.8409368991851807,25,completed_state
RLC_BASE,16,-0.07310938835144043,25,completed_state
RLC_BASE,17,-0.12600338459014893,25,completed_state
RLC_BASE,18,-0.0647958517074585,25,completed_state
RLC_BASE,19,-0.4020923376083374,25,completed_state
RLC_BASE,20,-0.2855476140975952,25,completed_state
RLC_BASE,21,0.18300628662109375,25,completed_state
RLC_BASE,22,-0.13833081722259521,25,completed_state
RLC_BASE,23,-0.05061674118041992,25,completed_state
RLC_BASE,24,-0.4688444137573242,25,completed_state
RLC_BASE,25,-0.23080873489379883,25,completed_state
RLC_BASE,26,0.13039493560791016,25,completed_state
RLC_BASE,27,0.24937677383422852,25,completed_state
RLC_BASE,28,-0.22624361515045166,25,completed_state
RLC_BASE,29,0.08486032485961914,25,completed_state
RLC_BASE,30,-0.04614126682281494,25,completed_state
RLC_BASE,31,-0.19073700904846191,25,completed_state
RLC_BASE,0,0.37129342555999756,50,completed_state
RLC_BASE,1,0.061025142669677734,50,completed_state
RLC_BASE,2,-0.14494025707244873,50,completed_state
RLC_BASE,3,0.13324755430221558,50,completed_state
RLC_BASE,4,0.01285773515701294,50,completed_state
RLC_BASE,5,0.2645946741104126,50,completed_state
RLC_BASE,6,-0.014809250831604004,50,completed_state
RLC_BASE,7,-0.12676048278808594,50,completed_state
RLC_BASE,8,0.03866136074066162,50,completed_state
RLC_BASE,9,0.27524346113204956,50,completed_state
RLC_BASE,10,-0.3173868656158447,50,completed_state
RLC_BASE,11,0.1550406813621521,50,completed_state
RLC_BASE,12,-0.02274954319000244,50,completed_state
RLC_BASE,13,-0.004982709884643555,50,completed_state
RLC_BASE,14,-0.0042449235916137695,50,completed_state
RLC_BASE,15,-1.087911605834961,50,completed_state
RLC_BASE,16,0.031768858432769775,50,completed_state
RLC_BASE,17,-0.07074081897735596,50,completed_state
RLC_BASE,18,0.014892160892486572,50,completed_state
RLC_BASE,19,-0.3262711763381958,50,completed_state
RLC_BASE,20,-0.17204201221466064,50,completed_state
RLC_BASE,21,0.18676292896270752,50,completed_state
RLC_BASE,22,-0.013422966003417969,50,completed_state
