dataset_id,study_id,local_path,file_object_type,modality,intended_project_role,foundation_eligible,pathology_bearing,holdout_validation_adapter,size_bytes,registered_downloaded_asset,downloaded_but_unregistered,registry_sources,local_file_exists,registered_sha256,duplicate_physical_sha256,feature_count,feature_identifier_fields_available
Fang_MERFISH_human_cortex_4000,Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H20.30.001.STG.4000.expand.rep1.matrix.csv,.30.001.STG.4000.expand.rep1.matrix.csv,spatial RNA,context_qualification_or_reference,False,False,True,11532307,True,False,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/DOWNLOAD_INVENTORY.csv,True,ec571c6ff78963667f77be1afab00fa502f1371df54b392829feef580c14397a,,0.0,adjacent source feature table preferred
Fang_MERFISH_human_cortex_4000,Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H20.30.001.STG.4000.expand.rep2.barcodes.csv.gz,.30.001.STG.4000.expand.rep2.barcodes.csv.gz,spatial RNA,context_qualification_or_reference,False,False,True,679760418,True,False,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/DOWNLOAD_INVENTORY.csv,True,25745e38e09b408f8d9f1012f26e34512f47a06dd972a7dc6faa83c4b2d2bce5,,,
Fang_MERFISH_human_cortex_4000,Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H20.30.001.STG.4000.expand.rep2.features.csv,.30.001.STG.4000.expand.rep2.features.csv,spatial RNA,context_qualification_or_reference,False,False,True,684091,True,False,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/DOWNLOAD_INVENTORY.csv,True,523b3231a20a2092659348bb79c56ca96b641dff5e2eafeee4d2139241f5b63a,,,observation metadata; adjacent source genes.csv is authoritative
Fang_MERFISH_human_cortex_4000,Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H20.30.001.STG.4000.expand.rep2.genes.csv,.30.001.STG.4000.expand.rep2.genes.csv,spatial RNA,context_qualification_or_reference,False,False,True,29649,True,False,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/DOWNLOAD_INVENTORY.csv,True,b7d883115e28f43e7b52dd172b25ffb4ba7a74a974816603529bb34342b01475,b7d883115e28f43e7b52dd172b25ffb4ba7a74a974816603529bb34342b01475,3999.0,tabular feature fields
Fang_MERFISH_human_cortex_4000,Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H20.30.001.STG.4000.expand.rep2.matrix.csv,.30.001.STG.4000.expand.rep2.matrix.csv,spatial RNA,context_qualification_or_reference,False,False,True,14377280,True,False,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/DOWNLOAD_INVENTORY.csv,True,22eca3160270547dbe59268a6dc3f766c8469d718d4855787139651fa569ea23,,0.0,adjacent source feature table preferred
Fang_MERFISH_human_cortex_4000,Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H20.30.001.STG.4000.expand.rep3.barcodes.csv.gz,.30.001.STG.4000.expand.rep3.barcodes.csv.gz,spatial RNA,context_qualification_or_reference,False,False,True,449876290,True,False,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/DOWNLOAD_INVENTORY.csv,True,7f50cd0859a348fdce9a37e2c6b5fe4548227100bac2aa65c2f4e7059c9137bb,,,
Fang_MERFISH_human_cortex_4000,Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H20.30.001.STG.4000.expand.rep3.features.csv,.30.001.STG.4000.expand.rep3.features.csv,spatial RNA,context_qualification_or_reference,False,False,True,540930,True,False,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/DOWNLOAD_INVENTORY.csv,True,bafa46c852b5d762e9b2ce25598451d6215264ed9bab269a40fb34a8bd35950b,,,observation metadata; adjacent source genes.csv is authoritative
Fang_MERFISH_human_cortex_4000,Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H20.30.001.STG.4000.expand.rep3.genes.csv,.30.001.STG.4000.expand.rep3.genes.csv,spatial RNA,context_qualification_or_reference,False,False,True,29649,True,False,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/DOWNLOAD_INVENTORY.csv,True,b7d883115e28f43e7b52dd172b25ffb4ba7a74a974816603529bb34342b01475,b7d883115e28f43e7b52dd172b25ffb4ba7a74a974816603529bb34342b01475,3999.0,tabular feature fields
Fang_MERFISH_human_cortex_4000,Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H20.30.001.STG.4000.expand.rep3.matrix.csv,.30.001.STG.4000.expand.rep3.matrix.csv,spatial RNA,context_qualification_or_reference,False,False,True,11365073,True,False,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/DOWNLOAD_INVENTORY.csv,True,a31146287ad55782402250b4492ad816b1671cebd492dd56d2c42450302373b2,,0.0,adjacent source feature table preferred
Fang_MERFISH_human_cortex_4000,Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H22.26.401.MTG.4000.expand.rep1.barcodes.csv.gz,.26.401.MTG.4000.expand.rep1.barcodes.csv.gz,spatial RNA,context_qualification_or_reference,False,False,True,671660284,True,False,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/DOWNLOAD_INVENTORY.csv,True,8eea2f1050badb33f375e072f0f70cb264f93ebb3183cf4e7e3ab74faaa59834,,,
Fang_MERFISH_human_cortex_4000,Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H22.26.401.MTG.4000.expand.rep1.features.csv,.26.401.MTG.4000.expand.rep1.features.csv,spatial RNA,context_qualification_or_reference,False,False,True,601063,True,False,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/DOWNLOAD_INVENTORY.csv,True,b2c845b7eb0c07e7f64ae33c8b1f4855626017839b63be213a0307477b75ec1a,,,observation metadata; adjacent source genes.csv is authoritative
Fang_MERFISH_human_cortex_4000,Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H22.26.401.MTG.4000.expand.rep1.genes.csv,.26.401.MTG.4000.expand.rep1.genes.csv,spatial RNA,context_qualification_or_reference,False,False,True,29649,True,False,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/DOWNLOAD_INVENTORY.csv,True,b7d883115e28f43e7b52dd172b25ffb4ba7a74a974816603529bb34342b01475,b7d883115e28f43e7b52dd172b25ffb4ba7a74a974816603529bb34342b01475,3999.0,tabular feature fields
Fang_MERFISH_human_cortex_4000,Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H22.26.401.MTG.4000.expand.rep1.matrix.csv,.26.401.MTG.4000.expand.rep1.matrix.csv,spatial RNA,context_qualification_or_reference,False,False,True,17387536,True,False,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/DOWNLOAD_INVENTORY.csv,True,1b0d8a163d6a37f06ddaacfc13a3ed640331298b7ffdcf57e1fe8c32dd5ef584,,0.0,adjacent source feature table preferred
Fang_MERFISH_human_cortex_4000,Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H22.26.401.MTG.4000.expand.rep2.barcodes.csv.gz,.26.401.MTG.4000.expand.rep2.barcodes.csv.gz,spatial RNA,context_qualification_or_reference,False,False,True,434696115,True,False,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/DOWNLOAD_INVENTORY.csv,True,ce9180a9a3c8a0dfdacbaec36877ff60a9602d8b7149cb22784c102f1a52cc8e,,,
Fang_MERFISH_human_cortex_4000,Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H22.26.401.MTG.4000.expand.rep2.features.csv,.26.401.MTG.4000.expand.rep2.features.csv,spatial RNA,context_qualification_or_reference,False,False,True,493808,True,False,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/DOWNLOAD_INVENTORY.csv,True,5b39d7f27448dc5d82176b634455705de15f7af87ec85f7d9751272e024f5c70,,,observation metadata; adjacent source genes.csv is authoritative
Fang_MERFISH_human_cortex_4000,Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H22.26.401.MTG.4000.expand.rep2.genes.csv,.26.401.MTG.4000.expand.rep2.genes.csv,spatial RNA,context_qualification_or_reference,False,False,True,29649,True,False,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/DOWNLOAD_INVENTORY.csv,True,b7d883115e28f43e7b52dd172b25ffb4ba7a74a974816603529bb34342b01475,b7d883115e28f43e7b52dd172b25ffb4ba7a74a974816603529bb34342b01475,3999.0,tabular feature fields
Fang_MERFISH_human_cortex_4000,Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H22.26.401.MTG.4000.expand.rep2.matrix.csv,.26.401.MTG.4000.expand.rep2.matrix.csv,spatial RNA,context_qualification_or_reference,False,False,True,12202047,True,False,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/DOWNLOAD_INVENTORY.csv,True,8781b304ad000d8bf1e700eabdbf65f18e0cf6630a6c9a43015e861055236ad7,,0.0,adjacent source feature table preferred
Fang_MERFISH_human_cortex_4000,Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/README.txt,.txt,spatial RNA,context_qualification_or_reference,False,False,True,13868,True,False,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/DOWNLOAD_INVENTORY.csv,True,e536101b18c29b29e69c030a17c71dc1653b7c2ef7a6694838ec89779b32bd51,,,
