vocabulary_index,canonical_ensembl_gene_id,canonical_hgnc_symbol,eligible_study_family_fraction,training_donor_measurement_fraction,donor_balanced_detection_rate,donor_balanced_expression_variability,broad_cell_class_coverage,cross_study_rank_stability,missingness_entropy,technical_flags,selection_score,vocabulary_eligible,selection_reason,vocabulary_hash
988,ENSG00000089737,DDX24,1.0,1.0,0.6489211101813751,0.02661967408407583,1.0,0.8967185350337472,0.0,,0.7785095649110011,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
989,ENSG00000107263,RAPGEF1,1.0,1.0,0.6454334831489593,0.006741721388596106,1.0,0.9681537473613205,0.0,,0.7784988702397656,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
990,ENSG00000140600,SH3GL3,1.0,1.0,0.6651891712031891,0.02837736777066784,1.0,0.824256613570042,0.0,,0.7783898119861624,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
991,ENSG00000118454,ANKRD13C,1.0,1.0,0.6564542036575567,0.010155539220801755,1.0,0.9105128581497149,0.0,,0.7783244998048,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
992,ENSG00000162415,ZSWIM5,1.0,1.0,0.6532155259016541,0.008365510211527004,1.0,0.9263300901418818,0.0,,0.7782040260414371,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
993,ENSG00000198752,CDC42BPB,1.0,1.0,0.6363942087988176,0.011501917110842148,1.0,0.9842684267150098,0.0,,0.7781979321975107,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
994,ENSG00000079102,RUNX1T1,1.0,1.0,0.6631572785466383,0.029955421556425568,0.9523809523809524,0.9188162132880611,0.0,,0.7781729904590763,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
995,ENSG00000198900,TOP1,1.0,1.0,0.6471084901433392,0.013514122834986429,1.0,0.9349006181148231,0.0,,0.7781668179115391,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
996,ENSG00000055163,CYFIP2,1.0,1.0,0.6591652550777796,0.012645673187412158,1.0,0.8878883751863353,0.0,,0.7781006333387295,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
997,ENSG00000119231,SENP5,1.0,1.0,0.6533607484391012,0.007901070202379278,1.0,0.9246387626156339,0.0,,0.7780799577183323,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
998,ENSG00000197912,SPG7,1.0,1.0,0.6412173407150846,0.011819237602060342,1.0,0.9578994158355332,0.0,,0.7778906151876495,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
999,ENSG00000144642,RBMS3,1.0,1.0,0.6333158367041024,0.040131778348657575,1.0,0.9085908423085444,0.0,,0.7778802133837365,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
