basis,matrix_id,dataset_id,n_cells,median_euclidean_distance,median_normalized_squared_distance,median_cosine_similarity,median_coordinate_correlation,top1_same_cell_retrieval,top5_same_cell_retrieval,same_cell_vs_mismatch_distance_separation
BALANCED_PCA160,HVS::bb3c4200-5c1b-4f8a-a846-e021919b7241,HVS,2048,8.807825088500977,0.17517149448394775,0.9127374887466431,0.913021445274353,0.91796875,0.99609375,0.1891961395740509
BALANCED_PCA160,HVS::c3b47645-c927-4a0a-868f-eb7640ea3354,HVS,2048,7.063845634460449,0.14592468738555908,0.927139163017273,0.9274413585662842,0.96875,1.0,0.3306134343147278
BALANCED_PCA160,HVS::c5e9db26-7b51-4290-b721-dd540ac906b1,HVS,2048,12.644855499267578,0.12608572840690613,0.9371747970581055,0.9363958835601807,0.796875,0.953125,0.09939545392990112
BALANCED_PCA160,HVS::c9143d44-4c95-4f06-8edc-e03d3491ab97,HVS,2048,8.361542701721191,0.19153949618339539,0.9046946167945862,0.9048243761062622,0.95703125,0.99609375,0.30536168813705444
BALANCED_PCA160,HVS::d1303087-592a-4c3d-aa3e-21de203927dc,HVS,2048,9.032520294189453,0.18347305059432983,0.9086683392524719,0.9085506200790405,0.98828125,1.0,0.39672383666038513
BALANCED_PCA160,HVS::e813d04b-7833-4b02-b14f-0247d6128516,HVS,1491,8.450762748718262,0.15573740005493164,0.9224126935005188,0.9219769835472107,0.9921875,1.0,0.20817071199417114
BALANCED_PCA160,HVS::f8975a92-8ddb-4dde-adbe-977a4b3e4e96,HVS,508,12.010736465454102,0.12731650471687317,0.9366191625595093,0.9355638027191162,0.99609375,1.0,0.2219999134540558
BALANCED_PCA160,NPH52_exact_source_objects,NPH52,246,9.508110046386719,0.08200530707836151,0.9590162038803101,0.9586796760559082,1.0,1.0,0.6855783462524414
BALANCED_PCA160,sea_ad_ang_rna_final_2026,sea_ad_ang_rna_final_2026,2048,8.844057083129883,0.11843936145305634,0.9410684704780579,0.9410284161567688,0.9921875,1.0,0.8475017547607422
BALANCED_PCA160,sea_ad_caudate_rna_all_2025,sea_ad_caudate_rna_all_2025,2048,6.457530975341797,0.0715283453464508,0.9644274711608887,0.9644473791122437,0.9453125,0.99609375,0.6644659042358398
BALANCED_PCA160,sea_ad_fi_rna_final_2026,sea_ad_fi_rna_final_2026,2048,9.398849487304688,0.1323803961277008,0.9339550137519836,0.9339587092399597,0.9921875,1.0,0.8280943632125854
BALANCED_PCA160,sea_ad_hip_rna_final_2026,sea_ad_hip_rna_final_2026,2048,7.8703718185424805,0.08830124139785767,0.9559887051582336,0.9563331604003906,0.98046875,1.0,0.8169115781784058
BALANCED_PCA160,sea_ad_itg_rna_final_2026,sea_ad_itg_rna_final_2026,2048,7.468598365783691,0.11008411645889282,0.94505774974823,0.9454318284988403,0.984375,1.0,0.7725878953933716
BALANCED_PCA160,sea_ad_lec_rna_final_2026,sea_ad_lec_rna_final_2026,2048,7.732395172119141,0.09585259854793549,0.952326774597168,0.9523903131484985,0.984375,1.0,0.8028329610824585
