brain_region,canonical_person_group_id,dataset_id,evidence_source,exact_identity_evidence,sample_id,source_donor_id,technology
DLPFC,PERSON_0057,spatialDLPFC,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,Br6522_post,Br6522,10x Visium and 10x snRNA-seq
DLPFC,PERSON_0052,spatialDLPFC,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,Br8325_ant,Br8325,10x Visium and 10x snRNA-seq
DLPFC,PERSON_0052,spatialDLPFC,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,Br8325_mid,Br8325,10x Visium and 10x snRNA-seq
DLPFC,PERSON_0052,spatialDLPFC,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,Br8325_post,Br8325,10x Visium and 10x snRNA-seq
DLPFC,PERSON_0056,spatialDLPFC,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,Br8492_ant,Br8492,10x Visium and 10x snRNA-seq
DLPFC,PERSON_0056,spatialDLPFC,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,Br8492_mid,Br8492,10x Visium and 10x snRNA-seq
DLPFC,PERSON_0056,spatialDLPFC,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,Br8492_post,Br8492,10x Visium and 10x snRNA-seq
DLPFC,PERSON_0055,spatialDLPFC,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,Br8667_ant,Br8667,10x Visium and 10x snRNA-seq
DLPFC,PERSON_0055,spatialDLPFC,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,Br8667_mid,Br8667,10x Visium and 10x snRNA-seq
DLPFC,PERSON_0055,spatialDLPFC,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,Br8667_post,Br8667,10x Visium and 10x snRNA-seq
prefrontal cortex,PERSON_SCP2167_human_cortex1,SCP2167,SCP2167/metadata/humancortex_metadata.csv,exact allowed donor_id column in acquired SCP2167 metadata,dataset_level,human_cortex1,Slide-tags / snRNA-seq
dentate gyrus / hippocampus,PERSON_GSE248545_Subject_1,GSE248545,GSE248545_family.soft.gz,official GEO sample title identifies one of four distinct subjects,GSM7916581,Subject_1,10x Visium
dentate gyrus / hippocampus,PERSON_GSE248545_Subject_2,GSE248545,GSE248545_family.soft.gz,official GEO sample title identifies one of four distinct subjects,GSM7916582,Subject_2,10x Visium
dentate gyrus / hippocampus,PERSON_GSE248545_Subject_3,GSE248545,GSE248545_family.soft.gz,official GEO sample title identifies one of four distinct subjects,GSM7916583,Subject_3,10x Visium
dentate gyrus / hippocampus,PERSON_GSE248545_Subject_4,GSE248545,GSE248545_family.soft.gz,official GEO sample title identifies one of four distinct subjects,GSM7916584,Subject_4,10x Visium
hypothalamus,PERSON_GSE278848_oytkk,GSE278848,GSE278848_family.soft.gz,official sample pseudonym; case-normalized source spelling agrees with the published seven-donor/nine-section design,GSM8555878,oytkk,10x Visium CytAssist v2
hypothalamus,PERSON_GSE278848_hp9yr,GSE278848,GSE278848_family.soft.gz,official sample pseudonym; case-normalized source spelling agrees with the published seven-donor/nine-section design,GSM8555879,hp9yr,10x Visium CytAssist v2
hypothalamus,PERSON_GSE278848_oytkk,GSE278848,GSE278848_family.soft.gz,official sample pseudonym; case-normalized source spelling agrees with the published seven-donor/nine-section design,GSM8555880,oytkk,10x Visium CytAssist v2
hypothalamus,PERSON_GSE278848_jplut,GSE278848,GSE278848_family.soft.gz,official sample pseudonym; case-normalized source spelling agrees with the published seven-donor/nine-section design,GSM8555881,jplut,10x Visium CytAssist v2
hypothalamus,PERSON_GSE278848_ogtif,GSE278848,GSE278848_family.soft.gz,official sample pseudonym; case-normalized source spelling agrees with the published seven-donor/nine-section design,GSM8555882,ogtif,10x Visium CytAssist v2
hypothalamus,PERSON_GSE278848_jplut,GSE278848,GSE278848_family.soft.gz,official sample pseudonym; case-normalized source spelling agrees with the published seven-donor/nine-section design,GSM8555883,jplut,10x Visium CytAssist v2
hypothalamus,PERSON_GSE278848_bt5r4,GSE278848,GSE278848_family.soft.gz,official sample pseudonym; case-normalized source spelling agrees with the published seven-donor/nine-section design,GSM8555884,bt5r4,10x Visium CytAssist v2
hypothalamus,PERSON_GSE278848_ibv8d,GSE278848,GSE278848_family.soft.gz,official sample pseudonym; case-normalized source spelling agrees with the published seven-donor/nine-section design,GSM8555885,ibv8d,10x Visium CytAssist v2
hypothalamus,PERSON_GSE278848_q65kc,GSE278848,GSE278848_family.soft.gz,official sample pseudonym; case-normalized source spelling agrees with the published seven-donor/nine-section design,GSM8555886,q65kc,10x Visium CytAssist v2
hippocampus,PERSON_0052,GSE264624,GSE264692_humanHippocampus2024_snRNAseq_sample-info.csv.gz,official acquired snRNA sample-info exact brnum mapping,GSM8224155,Br8325,10x snRNA-seq
hippocampus,PERSON_0052,GSE264624,GSE264692_humanHippocampus2024_snRNAseq_sample-info.csv.gz,official acquired snRNA sample-info exact brnum mapping,GSM8224156,Br8325,10x snRNA-seq
hippocampus,PERSON_0055,GSE264624,GSE264692_humanHippocampus2024_snRNAseq_sample-info.csv.gz,official acquired snRNA sample-info exact brnum mapping,GSM8224157,Br8667,10x snRNA-seq
hippocampus,PERSON_0055,GSE264624,GSE264692_humanHippocampus2024_snRNAseq_sample-info.csv.gz,official acquired snRNA sample-info exact brnum mapping,GSM8224158,Br8667,10x snRNA-seq
hippocampus,PERSON_0053,GSE264624,GSE264692_humanHippocampus2024_snRNAseq_sample-info.csv.gz,official acquired snRNA sample-info exact brnum mapping,GSM8224159,Br3942,10x snRNA-seq
hippocampus,PERSON_0053,GSE264624,GSE264692_humanHippocampus2024_snRNAseq_sample-info.csv.gz,official acquired snRNA sample-info exact brnum mapping,GSM8224160,Br3942,10x snRNA-seq
hippocampus,PERSON_0051,GSE264624,GSE264692_humanHippocampus2024_snRNAseq_sample-info.csv.gz,official acquired snRNA sample-info exact brnum mapping,GSM8224161,Br2743,10x snRNA-seq
hippocampus,PERSON_0051,GSE264624,GSE264692_humanHippocampus2024_snRNAseq_sample-info.csv.gz,official acquired snRNA sample-info exact brnum mapping,GSM8224162,Br2743,10x snRNA-seq
hippocampus,PERSON_0054,GSE264624,GSE264692_humanHippocampus2024_snRNAseq_sample-info.csv.gz,official acquired snRNA sample-info exact brnum mapping,GSM8224163,Br6471,10x snRNA-seq
hippocampus,PERSON_0054,GSE264624,GSE264692_humanHippocampus2024_snRNAseq_sample-info.csv.gz,official acquired snRNA sample-info exact brnum mapping,GSM8224164,Br6471,10x snRNA-seq
hippocampus,PERSON_0050,GSE264624,GSE264692_humanHippocampus2024_snRNAseq_sample-info.csv.gz,official acquired snRNA sample-info exact brnum mapping,GSM8224165,Br6432,10x snRNA-seq
hippocampus,PERSON_0050,GSE264624,GSE264692_humanHippocampus2024_snRNAseq_sample-info.csv.gz,official acquired snRNA sample-info exact brnum mapping,GSM8224166,Br6432,10x snRNA-seq
hippocampus,PERSON_0056,GSE264624,GSE264692_humanHippocampus2024_snRNAseq_sample-info.csv.gz,official acquired snRNA sample-info exact brnum mapping,GSM8224167,Br8492,10x snRNA-seq
hippocampus,PERSON_0056,GSE264624,GSE264692_humanHippocampus2024_snRNAseq_sample-info.csv.gz,official acquired snRNA sample-info exact brnum mapping,GSM8224168,Br8492,10x snRNA-seq
hippocampus,PERSON_0049,GSE264624,GSE264692_humanHippocampus2024_snRNAseq_sample-info.csv.gz,official acquired snRNA sample-info exact brnum mapping,GSM8224169,Br6423,10x snRNA-seq
hippocampus,PERSON_0049,GSE264624,GSE264692_humanHippocampus2024_snRNAseq_sample-info.csv.gz,official acquired snRNA sample-info exact brnum mapping,GSM8224170,Br6423,10x snRNA-seq
hippocampus,PERSON_0058,GSE264624,GSE264692_humanHippocampus2024_snRNAseq_sample-info.csv.gz,official acquired snRNA sample-info exact brnum mapping,GSM8224171,Br2720,10x snRNA-seq
hippocampus,PERSON_0058,GSE264624,GSE264692_humanHippocampus2024_snRNAseq_sample-info.csv.gz,official acquired snRNA sample-info exact brnum mapping,GSM8224172,Br2720,10x snRNA-seq
hippocampus,PERSON_0057,GSE264624,GSE264692_humanHippocampus2024_snRNAseq_sample-info.csv.gz,official acquired snRNA sample-info exact brnum mapping,GSM8224173,Br6522,10x snRNA-seq
hippocampus,PERSON_0057,GSE264624,GSE264692_humanHippocampus2024_snRNAseq_sample-info.csv.gz,official acquired snRNA sample-info exact brnum mapping,GSM8224174,Br6522,10x snRNA-seq
hippocampus,PERSON_0057,GSE264624,GSE264692_humanHippocampus2024_snRNAseq_sample-info.csv.gz,official acquired snRNA sample-info exact brnum mapping,GSM8224175,Br6522,10x snRNA-seq
hippocampus,PERSON_0057,GSE264624,GSE264692_humanHippocampus2024_snRNAseq_sample-info.csv.gz,official acquired snRNA sample-info exact brnum mapping,GSM8224176,Br6522,10x snRNA-seq
hippocampus,PERSON_0049,GSE264624,GSE264692_humanHippocampus2024_snRNAseq_sample-info.csv.gz,official acquired snRNA sample-info exact brnum mapping,GSM8224177,Br6423,10x snRNA-seq
hippocampus,PERSON_0049,GSE264624,GSE264692_humanHippocampus2024_snRNAseq_sample-info.csv.gz,official acquired snRNA sample-info exact brnum mapping,GSM8224178,Br6423,10x snRNA-seq
hippocampus,PERSON_0058,GSE264624,GSE264692_humanHippocampus2024_snRNAseq_sample-info.csv.gz,official acquired snRNA sample-info exact brnum mapping,GSM8224179,Br2720,10x snRNA-seq
hippocampus,PERSON_0058,GSE264624,GSE264692_humanHippocampus2024_snRNAseq_sample-info.csv.gz,official acquired snRNA sample-info exact brnum mapping,GSM8224180,Br2720,10x snRNA-seq
DLPFC,PERSON_spatialLIBD_classic_DLPFC_classic_subject_1,spatialLIBD_classic_DLPFC,HumanPilot_README.md,official 12-section study design: three subjects with four adjacent sections each,151507,classic_subject_1,10x Visium
DLPFC,PERSON_spatialLIBD_classic_DLPFC_classic_subject_1,spatialLIBD_classic_DLPFC,HumanPilot_README.md,official 12-section study design: three subjects with four adjacent sections each,151508,classic_subject_1,10x Visium
DLPFC,PERSON_spatialLIBD_classic_DLPFC_classic_subject_1,spatialLIBD_classic_DLPFC,HumanPilot_README.md,official 12-section study design: three subjects with four adjacent sections each,151509,classic_subject_1,10x Visium
DLPFC,PERSON_spatialLIBD_classic_DLPFC_classic_subject_1,spatialLIBD_classic_DLPFC,HumanPilot_README.md,official 12-section study design: three subjects with four adjacent sections each,151510,classic_subject_1,10x Visium
DLPFC,PERSON_spatialLIBD_classic_DLPFC_classic_subject_2,spatialLIBD_classic_DLPFC,HumanPilot_README.md,official 12-section study design: three subjects with four adjacent sections each,151669,classic_subject_2,10x Visium
DLPFC,PERSON_spatialLIBD_classic_DLPFC_classic_subject_2,spatialLIBD_classic_DLPFC,HumanPilot_README.md,official 12-section study design: three subjects with four adjacent sections each,151670,classic_subject_2,10x Visium
DLPFC,PERSON_spatialLIBD_classic_DLPFC_classic_subject_2,spatialLIBD_classic_DLPFC,HumanPilot_README.md,official 12-section study design: three subjects with four adjacent sections each,151671,classic_subject_2,10x Visium
DLPFC,PERSON_spatialLIBD_classic_DLPFC_classic_subject_2,spatialLIBD_classic_DLPFC,HumanPilot_README.md,official 12-section study design: three subjects with four adjacent sections each,151672,classic_subject_2,10x Visium
DLPFC,PERSON_spatialLIBD_classic_DLPFC_classic_subject_3,spatialLIBD_classic_DLPFC,HumanPilot_README.md,official 12-section study design: three subjects with four adjacent sections each,151673,classic_subject_3,10x Visium
DLPFC,PERSON_spatialLIBD_classic_DLPFC_classic_subject_3,spatialLIBD_classic_DLPFC,HumanPilot_README.md,official 12-section study design: three subjects with four adjacent sections each,151674,classic_subject_3,10x Visium
DLPFC,PERSON_spatialLIBD_classic_DLPFC_classic_subject_3,spatialLIBD_classic_DLPFC,HumanPilot_README.md,official 12-section study design: three subjects with four adjacent sections each,151675,classic_subject_3,10x Visium
DLPFC,PERSON_spatialLIBD_classic_DLPFC_classic_subject_3,spatialLIBD_classic_DLPFC,HumanPilot_README.md,official 12-section study design: three subjects with four adjacent sections each,151676,classic_subject_3,10x Visium
