belief_factor_r2,belief_minus_visible_factor_r2,calibration_regime,calibration_scale,coverage_1_96sigma,coverage_1sigma,family,gaussian_severe_fraction,joint_scale,measured_genes,median_logdet,median_trace,nll,panel,prior_nll,standardized_variance,uncertainty_error_spearman,variant,view,visible_factor_r2
0.7531108260154724,1.8477439880371094e-06,conditional_only_scalar,0.7467898660886485,0.927355945110321,0.8513427972793579,RANDOM_STRUCTURAL,0.0062500000931322575,1.1546175479888916,819,-233.2197265625,38.67023849487305,0.7674828767776489,P20,0.7501201629638672,0.9396169781684875,0.0941319465637207,CONDITIONAL_ONLY_SCALAR,1,0.7531089782714844
0.9218267202377319,1.0728836059570312e-06,ordinary_raw,1.0,1.0,1.0,RANDOM_STRUCTURAL,0.3125,0.0033052561338990927,4096,-241.59365844726562,35.88251495361328,0.16569305956363678,FULL,0.3114180266857147,3.949913661926985e-05,-0.9996594786643982,RAW,2,0.921825647354126
0.9218267202377319,1.0728836059570312e-06,ordinary_raw,1.0,1.0,1.0,RANDOM_STRUCTURAL,0.3125,0.0033052561338990927,4096,-241.59365844726562,35.88251495361328,0.16569305956363678,FULL,0.3114180266857147,3.949913661926985e-05,-0.9996594786643982,HISTORICAL_TOTAL_SCALAR,2,0.921825647354126
0.9218267202377319,1.0728836059570312e-06,ordinary_raw,1.0,1.0,1.0,RANDOM_STRUCTURAL,0.3125,0.0033052561338990927,4096,-241.59365844726562,35.88251495361328,0.16569305956363678,FULL,0.3114180266857147,3.949913661926985e-05,-0.9996594786643982,CONDITIONAL_ONLY_SCALAR,2,0.921825647354126
0.9076763987541199,1.1324882507324219e-06,ordinary_raw,1.0,0.999987781047821,0.98504638671875,RANDOM_STRUCTURAL,0.0,0.14627765119075775,3277,-237.896728515625,36.753379821777344,0.24873529374599457,P80,0.3693676292896271,0.11063726991415024,0.08040411025285721,RAW,2,0.9076752662658691
0.9076763987541199,1.1324882507324219e-06,historical_total_scalar,0.39422914385795593,0.9965149164199829,0.903002917766571,RANDOM_STRUCTURAL,0.0,0.37104731798171997,3277,-386.8283996582031,14.489253044128418,-0.10429136455059052,P80,0.3693676292896271,0.280642032623291,0.08039364963769913,HISTORICAL_TOTAL_SCALAR,2,0.9076752662658691
0.9076763987541199,1.1324882507324219e-06,conditional_only_scalar,0.7467898660886485,0.999951183795929,0.9773925542831421,RANDOM_STRUCTURAL,0.0,0.1661093682050705,3277,-252.0279541015625,34.0885124206543,0.2144731879234314,P80,0.3693676292896271,0.12630364298820496,0.0803966224193573,CONDITIONAL_ONLY_SCALAR,2,0.9076752662658691
0.8834671378135681,5.364418029785156e-07,ordinary_raw,1.0,0.9884277582168579,0.9227539300918579,RANDOM_STRUCTURAL,0.0062500000931322575,0.3437824249267578,2458,-232.90353393554688,37.97484588623047,0.3630838394165039,P60,0.4598163366317749,0.2722923159599304,0.10767541080713272,RAW,2,0.8834666013717651
0.8834671378135681,5.364418029785156e-07,historical_total_scalar,0.39422914385795593,0.953076183795929,0.785662829875946,RANDOM_STRUCTURAL,0.0062500000931322575,0.8720371127128601,2458,-381.8352355957031,14.970792770385742,0.16179966926574707,P60,0.4598163366317749,0.690695583820343,0.10767979174852371,HISTORICAL_TOTAL_SCALAR,2,0.8834666013717651
0.8834671378135681,5.364418029785156e-07,conditional_only_scalar,0.7467898660886485,0.9816833734512329,0.908673107624054,RANDOM_STRUCTURAL,0.0062500000931322575,0.41007429361343384,2458,-248.01268005371094,35.000694274902344,0.3489980399608612,P60,0.4598163366317749,0.3260241150856018,0.10767698287963867,CONDITIONAL_ONLY_SCALAR,2,0.8834666013717651
