cell,changed_direction_std,changed_direction_variance,delta_cosine,predicted_effect_norm,true_effect_norm
104,0.5025804042816162,0.25258708000183105,0.36188977328527605,1.762916088104248,1.3192977731466626
105,0.5146951675415039,0.26491114497184753,0.5543323878828865,1.2765916585922241,1.1839253527491664
106,0.5555180907249451,0.30860036611557007,0.7181581929146175,1.0165624618530273,1.4350552935047953
107,0.6775805950164795,0.4591154456138611,0.5956580775796461,1.2110906839370728,1.2994432225015655
108,0.4399840235710144,0.19358594715595245,0.1947064637437974,1.7647429704666138,1.0196175105975218
109,0.44302043318748474,0.19626711308956146,0.37241825374408466,1.6642645597457886,1.0090843348504936
110,0.4559690058231354,0.20790773630142212,0.44557100690542056,1.7452101707458496,1.0459093723049973
111,0.511177659034729,0.2613025903701782,0.22748735300538755,1.5917325019836426,1.2190406420750097
112,0.4698486030101776,0.22075770795345306,0.3338538599853107,1.7311588525772095,1.2686969939311363
113,0.48958587646484375,0.23969434201717377,0.4110984176903433,1.929255485534668,1.2919562535652995
114,0.48518648743629456,0.23540592193603516,0.6095170640475971,1.2662991285324097,1.249840159203607
115,0.5184792876243591,0.26882076263427734,0.24649308007665258,1.219393014907837,1.4382996984394238
116,0.5027481913566589,0.252755731344223,0.636771067696343,0.9191272854804993,1.2972932153069883
117,0.526924192905426,0.2776491045951843,0.5108757949896219,1.8652980327606201,1.4023071963632419
118,0.5489474534988403,0.30134329199790955,0.5321869457571596,1.323183536529541,1.4079118950702116
119,0.6746787428855896,0.45519137382507324,0.5824671995157998,1.3127573728561401,1.3216827682860774
120,0.4463907778263092,0.19926472008228302,0.28522293900838186,1.684367060661316,1.025573834688244
121,0.4462240934371948,0.19911593198776245,0.44584600472127767,1.7740856409072876,1.1384150309356198
122,0.45631057024002075,0.20821933448314667,0.37256488067948823,1.829127550125122,1.0371386482143812
123,0.5023980140686035,0.25240373611450195,0.36959992271236863,1.4477894306182861,1.2602239686535164
124,0.47124242782592773,0.2220694124698639,0.4093898939479721,1.6338430643081665,1.3130132064958067
125,0.48727497458457947,0.237436905503273,0.33329061454172043,2.339750289916992,1.2660712732401362
126,0.49249541759490967,0.24255172908306122,0.4262499346057961,1.9271408319473267,1.1671806082625567
127,0.5134699940681458,0.26365146040916443,0.44332604143119864,1.6086227893829346,1.4772425391457846
128,0.5022635459899902,0.25226864218711853,0.46444864087795845,1.5326318740844727,1.3765418720920612
129,0.5017324686050415,0.2517354488372803,0.5920793983258443,1.6812431812286377,1.321992487127038
130,0.5468594431877136,0.299055278301239,0.5327624809918841,1.371102213859558,1.4527000087052913
131,0.6690216064453125,0.4475899338722229,0.5723313423693909,1.1920772790908813,1.2837674672140562
132,0.457992285490036,0.20975694060325623,0.3845953789782109,2.399553060531616,1.125514861581192
133,0.4551587998867035,0.2071695327758789,0.47938756292071766,1.3961002826690674,1.0300643514961267
134,0.46323174238204956,0.2145836502313614,0.4780888280738187,1.5852305889129639,1.1222833293036996
135,0.5153340697288513,0.26556918025016785,0.3651662272298883,1.2154128551483154,1.128887564453679
136,0.4728873670101166,0.22362245619297028,0.37333926829977593,2.0404536724090576,1.2842042861870462
137,0.4859103560447693,0.23610886931419373,0.5141537204736671,1.9173232316970825,1.3124979134061574
138,0.49280253052711487,0.24285432696342468,0.26577732749199284,1.5833910703659058,1.1736035183056415
139,0.5131775736808777,0.2633512020111084,0.5685936503275318,1.4739420413970947,1.4674386938214707
140,0.5079926252365112,0.25805652141571045,0.40197432543602224,1.5756241083145142,1.3130805357396897
141,0.5205422639846802,0.27096423506736755,0.6275284024210912,1.7085185050964355,1.32360052681443
142,0.5600660443305969,0.3136739730834961,0.487399097324593,1.3191429376602173,1.4510179604741529
143,0.6764473915100098,0.457581102848053,0.624367572441503,1.0602809190750122,1.2928419648762048
144,0.4423375427722931,0.1956624984741211,0.32839973457527216,1.8112469911575317,1.0096146009865488
145,0.45115575194358826,0.20354150235652924,0.22660548873453265,2.6382524967193604,1.1676995033659907
146,0.4563417136669159,0.20824775099754333,0.36860917306369173,1.732891321182251,1.019399447060802
147,0.512872576713562,0.26303830742836,0.3226931535377015,1.7082304954528809,1.1519855058455477
148,0.4837286174297333,0.23399336636066437,0.5184268155893542,1.3814337253570557,1.4841105515037796
149,0.4934580624103546,0.24350085854530334,0.4055973425151301,2.2222559452056885,1.2865838392029152
150,0.5065582990646362,0.25660133361816406,0.5114033016618992,1.422333002090454,1.246362949022868
151,0.5175690054893494,0.2678776979446411,0.4590848042619031,1.500691533088684,1.4357101661045097
152,0.5042906403541565,0.2543090581893921,0.33345248097187885,1.5666011571884155,1.2634051493822014
153,0.5233932137489319,0.27394044399261475,0.4943945929490417,1.7226253747940063,1.2758288336412282
154,0.5579441785812378,0.31130167841911316,0.4399588496056175,1.1505502462387085,1.4589141033491704
155,0.6677336692810059,0.44586825370788574,0.6191937271619815,1.1068520545959473,1.2854572850794161
156,0.4377378225326538,0.19161438941955566,0.40256036951603735,1.3497925996780396,1.020782329180611
157,0.465503454208374,0.2166934758424759,0.391591952580869,1.7001705169677734,1.0510928423234858
158,0.4573841094970703,0.20920023322105408,0.4542299108203315,1.1971349716186523,0.9886434535285062
159,0.5179008841514587,0.26822131872177124,0.3421981279035902,1.205029845237732,1.1081322103871427
160,0.46441465616226196,0.21568098664283752,0.19150104121786887,1.8711796998977661,1.2452530261595138
161,0.4901689887046814,0.2402656376361847,0.4702848964650969,1.7704906463623047,1.289691165093714
162,0.48768988251686096,0.2378414273262024,0.33336779776021075,1.3220133781433105,1.1102043621855917
163,0.5161355137825012,0.2663958668708801,0.4216337695262869,1.4153220653533936,1.4072529301423635
164,0.5033672451972961,0.25337857007980347,0.32238205961691635,1.4956601858139038,1.2742038566643752
165,0.5278492569923401,0.27862483263015747,0.6386448077104415,1.405563235282898,1.3834795607717654
