conditional_fraction,conditional_variance,coordinate,empirical_predictable_fraction,excess_kurtosis,family,fraction_within_1_96_sigma,fraction_within_one_sigma,measurement_noise_variance,noise_fraction,prior_variance,severe_non_gaussian,skewness,standardized_error_mean,standardized_error_variance,view
0.07956452662050699,0.010163717661376045,90,0.920435473379493,-0.039422491348530375,RANDOM_40,0.275390625,0.15625,0.1901196295832208,1.4883115443613293,0.12774182280821167,False,0.08720002546150013,-0.13483648653310015,33.02941668634384,0
0.0780144795450185,0.010443683030181207,91,0.9219855204549815,0.4589172970086386,RANDOM_40,0.296875,0.16796875,0.20725656609233623,1.5482098689949222,0.133868521473051,False,-0.13643314437164358,0.01641657063469698,33.06328235212706,0
0.06914928914028545,0.009555263340337206,92,0.9308507108597146,0.44522832411852953,RANDOM_40,0.25390625,0.1171875,0.19617078671257104,1.419643809710652,0.13818310295210884,False,-0.15751666361267,-0.11391698271241689,33.9755688899424,0
0.07665042941368304,0.009824274825370006,93,0.923349570586317,0.31884553167794705,RANDOM_40,0.283203125,0.1484375,0.19124401274283526,1.492113765148269,0.12816986024107327,False,-0.2036957630658967,-0.11333392796013372,30.906729909291833,0
0.08468346192496858,0.01168366924302111,94,0.9153165380750314,0.6695460436813665,RANDOM_40,0.32421875,0.177734375,0.19215409020495028,1.3927365832713587,0.13796872467699892,False,0.045607162028493936,0.3319771509478181,26.996968329064014,0
0.07424867419134591,0.010484012937029896,95,0.925751325808654,0.4968711280662359,RANDOM_40,0.3125,0.15625,0.19674474237112058,1.3933630531470953,0.14120134872727283,False,-0.1271937582340054,-0.3098449047274683,30.8155643769348,0
0.07823950315480628,0.009584840776512874,96,0.9217604968451937,0.30847880137351513,RANDOM_40,0.318359375,0.181640625,0.20519860957263322,1.6750030214754228,0.1225064115955352,False,0.028485906419341143,-0.17704732270684753,29.427471243624247,0
0.07084798572344124,0.011358129753592287,97,0.9291520142765588,0.09553878343118294,RANDOM_40,0.24609375,0.13671875,0.19843120900024183,1.2377435165228667,0.16031690439202226,False,-0.11058565337239654,0.12022925198855032,32.489144987954525,0
0.07340268063467947,0.010502448092606642,98,0.9265973193653205,0.2720833911134122,RANDOM_40,0.30859375,0.1640625,0.20490778465877887,1.4321214010527894,0.14307989846960312,False,0.15580472912001134,0.3907061399039905,27.78497444815026,0
0.07306555155442057,0.012404754996699794,99,0.9269344484455795,0.5414107741303686,RANDOM_40,0.36328125,0.1796875,0.20777660353166524,1.2238300668722746,0.16977569775081358,False,0.22103368926570566,-0.07120513081343754,24.206526952505072,0
0.06693237180130966,0.009664722073332188,100,0.9330676281986904,0.17877529260452008,RANDOM_40,0.24609375,0.1640625,0.19394103868416834,1.3431254008389077,0.14439533238149913,False,-0.33942841281355296,-0.4073463409237774,34.95882079171182,0
0.07371561744457791,0.010655758080710858,101,0.9262843825554221,0.3805376623734227,RANDOM_40,0.265625,0.119140625,0.1999453162220797,1.3832044917707746,0.14455224618748183,False,0.11503302243322093,-0.37767269849110074,30.967697049495065,0
0.0778112077776384,0.009166345342734007,102,0.9221887922223616,0.3156624482411381,RANDOM_40,0.2734375,0.12890625,0.1925756830642577,1.634735101892225,0.11780237840451895,False,-0.22813826186350972,0.8904527932690844,36.195884161732856,0
0.08220059069067165,0.010287833124330509,103,0.9177994093093284,0.5088411762023068,RANDOM_40,0.302734375,0.169921875,0.1867277793510065,1.4919695503914967,0.12515522136628637,False,0.3042686525351428,0.1515264951562243,31.966311763996778,0
0.08787007579309142,0.010856174351091959,104,0.9121299242069085,0.41500650933383376,RANDOM_40,0.3046875,0.142578125,0.21294837390767496,1.72360807316998,0.12354802534431751,False,-0.059541926880781165,-0.29154706938093755,31.4946427278708,0
