stratum_type,stratum_key,mask_fraction,n_mask_evaluations,n_unique_cells,visible_measured_genes_p05,visible_measured_genes_p25,visible_measured_genes_p50,visible_measured_genes_p75,visible_measured_genes_p95,visible_detected_genes_p05,visible_detected_genes_p25,visible_detected_genes_p50,visible_detected_genes_p75,visible_detected_genes_p95,fraction_detected_genes_retained_p05,fraction_detected_genes_retained_p25,fraction_detected_genes_retained_p50,fraction_detected_genes_retained_p75,fraction_detected_genes_retained_p95,fraction_transformed_signal_retained_p05,fraction_transformed_signal_retained_p25,fraction_transformed_signal_retained_p50,fraction_transformed_signal_retained_p75,fraction_transformed_signal_retained_p95,fraction_raw_vocab_count_mass_retained_p05,fraction_raw_vocab_count_mass_retained_p25,fraction_raw_vocab_count_mass_retained_p50,fraction_raw_vocab_count_mass_retained_p75,fraction_raw_vocab_count_mass_retained_p95,fraction_cells_below_100_visible_detected,fraction_cells_below_250_visible_detected,fraction_cells_below_500_visible_detected
broad_cell_class,CN ST18 GABASubclass,0.6,222,74,1639.0,1639.0,1639.0,1639.0,1639.0,355.50000000000017,1037.0,1225.5,1310.75,1435.95,0.3897431142268228,0.3967053577719345,0.39899541780590797,0.4022390031622851,0.40781996944739624,0.3866960757170614,0.39455959895363485,0.3992612425119121,0.40498778702898336,0.41135993003578714,0.3551595395939651,0.37599231865471255,0.39776314101815413,0.4196706619130044,0.44985529409768876,0.0,0.0,0.05405405405405406
broad_cell_class,CN ST18 GABASubclass,0.7,222,74,1229.0,1229.0,1229.0,1229.0,1229.0,264.6500000000001,769.5,920.5,987.75,1078.95,0.29214828579780344,0.2969144937614584,0.29971901342491414,0.3020074536731122,0.306886104181897,0.2885103815141419,0.29486549688731534,0.29980761497986264,0.3045959031924331,0.31017008491094983,0.26142952821602666,0.27893527424292075,0.2952361187723572,0.3189801045437735,0.3503713852343299,0.0,0.04954954954954955,0.06756756756756757
broad_cell_class,Endo,0.15,114,38,3482.0,3482.0,3482.0,3482.0,3482.0,354.65,702.25,1146.0,1556.25,1755.7499999999998,0.8368512600438276,0.8453333856570763,0.8503044666074191,0.8572217702611051,0.8658704869073649,0.8358272371485936,0.8443327324805112,0.8506595129989853,0.8564647920627328,0.8669927043056328,0.7867066514740083,0.8447334229210294,0.8607654188066025,0.8698265008291272,0.8868893986452461,0.0,0.0,0.07894736842105263
broad_cell_class,Endo,0.25,114,38,3072.0,3072.0,3072.0,3072.0,3072.0,309.6,626.0,1004.0,1367.75,1552.1499999999999,0.7344641817122889,0.7454399307870985,0.7508045473587995,0.757026291931097,0.7682448033858352,0.7294383305509446,0.7444022206885365,0.7508871921300094,0.7564219318037334,0.7718849549202423,0.6783306146708058,0.7341345672032387,0.7661588172013779,0.7813278599809685,0.796920789326649,0.0,0.0,0.15789473684210525
broad_cell_class,Endo,0.4,114,38,2458.0,2458.0,2458.0,2458.0,2458.0,242.65,495.0,805.0,1097.75,1243.4,0.5854633265886059,0.5932019977802442,0.6005823688117577,0.608251521111346,0.61836723987001,0.5826592806332558,0.5921315996978667,0.6021695745449841,0.6080501490424387,0.6232588223887059,0.5237280540948399,0.5644342392077333,0.6129441481334504,0.6438423343589613,0.6628454285698794,0.0,0.06140350877192982,0.2631578947368421
broad_cell_class,Endo,0.5,114,38,2048.0,2048.0,2048.0,2048.0,2048.0,206.3,413.25,656.5,918.0,1030.35,0.47888656996765105,0.4935628498791469,0.4998776309348997,0.5071934248906174,0.5204672583977477,0.4763565786482277,0.49099507554080923,0.500089341973059,0.5081173323683607,0.5223058335531164,0.42306975976506833,0.4626208043428397,0.4956817277786312,0.5424377769658855,0.5758229309652195,0.0,0.07894736842105263,0.2631578947368421
broad_cell_class,Endo,0.6,114,38,1639.0,1639.0,1639.0,1639.0,1639.0,159.65,340.75,524.0,732.5,836.8999999999999,0.3805847338935574,0.39463448422847397,0.4005655042412818,0.40692844016208995,0.4229679601074518,0.3783423990311995,0.3917899787245932,0.39963390488743195,0.40803278743295895,0.4223679995993082,0.3343693130899195,0.36553385058930316,0.39153713177914795,0.45123266318916283,0.49675735662046033,0.0,0.10526315789473684,0.4473684210526316
broad_cell_class,Endo,0.7,114,38,1229.0,1229.0,1229.0,1229.0,1229.0,121.65,274.0,393.0,546.75,628.55,0.2813756042583238,0.29397179669199053,0.3003952035480035,0.30709625358640474,0.3188392981904562,0.279664317552922,0.29341781088802427,0.2995001966074575,0.3057112983096866,0.32149872181834144,0.24769158546396478,0.2655701111339178,0.28472967381368774,0.32593769700045716,0.38850419556809923,0.0,0.23684210526315788,0.7105263157894737
broad_cell_class,EndothelialSubclass,0.15,222,74,3482.0,3482.0,3482.0,3482.0,3482.0,297.05,568.0,1931.0,2948.0,3229.85,0.8398436945568093,0.8481272218649649,0.850967500928959,0.8547754329004329,0.8658906669950811,0.8377919800567496,0.8469400181546426,0.851018353062011,0.8568077683840152,0.8677800648407203,0.776514058048335,0.8404381849667653,0.8588678569392902,0.8711863002996659,0.881659358073106,0.0,0.02252252252252252,0.1891891891891892
broad_cell_class,EndothelialSubclass,0.25,222,74,3072.0,3072.0,3072.0,3072.0,3072.0,268.45,496.5,1705.5,2603.25,2844.7,0.7363728088055442,0.7481328194905518,0.7506229365638899,0.754500586732933,0.7732400302913398,0.734985748500521,0.7449697748393598,0.7516459556181558,0.7575083312760766,0.7724717650395797,0.6673076923076923,0.7242629306182139,0.7581511808326912,0.7771243221250835,0.7965102373482794,0.0,0.03153153153153153,0.26126126126126126
