annotation,broad_family,donor_fold,cell_count,train_donors_containing_class,heldout_donors_containing_class,recall,precision,f1,neighbor_purity,nearest_competing_class,confusion_distribution
ExN,ExN,6,4,14,2,0.0,0.0,0.0,0.05,Neuronal: Glutamatergic,"{""Neuronal: Glutamatergic"": 1.0}"
ExN,ExN,7,4,14,2,0.0,0.0,0.0,0.13333333333333333,Neuronal: Glutamatergic,"{""Neuronal: Glutamatergic"": 1.0}"
InN,InN,0,4,14,2,0.0,0.0,0.0,0.03333333333333333,Neuronal: GABAergic,"{""Neuronal: GABAergic"": 1.0}"
InN,InN,2,8,12,4,0.0,0.0,0.0,0.025,Neuronal: GABAergic,"{""Neuronal: GABAergic"": 1.0}"
InN,InN,4,6,13,3,0.0,0.0,0.0,0.07777777777777778,Neuronal: GABAergic,"{""Neuronal: GABAergic"": 1.0}"
InN,InN,5,6,13,3,0.0,0.0,0.0,0.044444444444444446,Neuronal: GABAergic,"{""Neuronal: GABAergic"": 1.0}"
InN,InN,6,4,14,2,0.0,0.0,0.0,0.13333333333333333,Neuronal: GABAergic,"{""Neuronal: GABAergic"": 1.0}"
InN,InN,7,4,14,2,0.0,0.0,0.0,0.16666666666666666,Neuronal: GABAergic,"{""Neuronal: GABAergic"": 1.0}"
MG,MG,0,4,16,2,0.0,0.0,0.0,0.13333333333333333,Non-neuronal and Non-neural,"{""Non-neuronal and Non-neural"": 1.0}"
MG,MG,2,8,14,4,0.125,1.0,0.2222222222222222,0.24166666666666667,Non-neuronal and Non-neural,"{""MG"": 0.125, ""Non-neuronal and Non-neural"": 0.875}"
MG,MG,3,2,17,1,0.0,0.0,0.0,0.26666666666666666,Non-neuronal and Non-neural,"{""Non-neuronal and Non-neural"": 1.0}"
MG,MG,4,8,14,4,0.375,1.0,0.5454545454545454,0.35,Non-neuronal and Non-neural,"{""MG"": 0.375, ""Non-neuronal and Non-neural"": 0.625}"
MG,MG,5,6,15,3,0.0,0.0,0.0,0.23333333333333334,Non-neuronal and Non-neural,"{""Non-neuronal and Non-neural"": 1.0}"
MG,MG,6,4,16,2,0.25,1.0,0.4,0.2833333333333333,Non-neuronal and Non-neural,"{""MG"": 0.25, ""Non-neuronal and Non-neural"": 0.75}"
MG,MG,7,4,16,2,0.0,0.0,0.0,0.26666666666666666,Non-neuronal and Non-neural,"{""Non-neuronal and Non-neural"": 1.0}"
Microglia-PVMSubclass,Microglia-PVMSubclass,0,10,31,2,0.0,0.0,0.0,0.22,Non-neuronal and Non-neural,"{""Non-neuronal and Non-neural"": 1.0}"
Microglia-PVMSubclass,Microglia-PVMSubclass,1,17,25,8,0.17647058823529413,1.0,0.3,0.3215686274509804,Non-neuronal and Non-neural,"{""Microglia-PVMSubclass"": 0.17647058823529413, ""Non-neuronal and Non-neural"": 0.8235294117647058}"
Microglia-PVMSubclass,Microglia-PVMSubclass,2,11,31,2,0.2727272727272727,1.0,0.42857142857142855,0.3515151515151515,Non-neuronal and Non-neural,"{""Microglia-PVMSubclass"": 0.2727272727272727, ""Non-neuronal and Non-neural"": 0.7272727272727273}"
Microglia-PVMSubclass,Microglia-PVMSubclass,3,10,30,3,0.4,1.0,0.5714285714285714,0.35333333333333333,Non-neuronal and Non-neural,"{""EndothelialSubclass"": 0.1, ""Microglia-PVMSubclass"": 0.4, ""Non-neuronal and Non-neural"": 0.5}"
Microglia-PVMSubclass,Microglia-PVMSubclass,4,9,29,4,0.0,0.0,0.0,0.14814814814814814,Non-neuronal and Non-neural,"{""Non-neuronal and Non-neural"": 1.0}"
Microglia-PVMSubclass,Microglia-PVMSubclass,5,14,28,5,0.07142857142857142,1.0,0.13333333333333333,0.16666666666666666,Non-neuronal and Non-neural,"{""EndothelialSubclass"": 0.2857142857142857, ""Microglia-PVMSubclass"": 0.07142857142857142, ""Non-neuronal and Non-neural"": 0.5714285714285714, ""STR D2 MSNSubclass"": 0.07142857142857142}"
Microglia-PVMSubclass,Microglia-PVMSubclass,6,23,28,5,0.13043478260869565,1.0,0.23076923076923078,0.2492753623188406,Non-neuronal and Non-neural,"{""AstrocyteSubclass"": 0.043478260869565216, ""EndothelialSubclass"": 0.043478260869565216, ""Microglia-PVMSubclass"": 0.13043478260869565, ""Non-neuronal and Non-neural"": 0.782608695652174}"
Microglia-PVMSubclass,Microglia-PVMSubclass,7,12,29,4,0.16666666666666666,1.0,0.2857142857142857,0.3388888888888889,Non-neuronal and Non-neural,"{""Microglia-PVMSubclass"": 0.16666666666666666, ""Non-neuronal and Non-neural"": 0.8333333333333334}"
Neuronal: GABAergic,Neuronal: GABAergic,0,1604,117,13,0.9975062344139651,0.9907120743034056,0.9940975458216837,0.9946799667497922,Non-neuronal and Non-neural,"{""EndothelialSubclass"": 0.0006234413965087282, ""Neuronal: GABAergic"": 0.9975062344139651, ""Non-neuronal and Non-neural"": 0.0018703241895261845}"
Neuronal: GABAergic,Neuronal: GABAergic,1,3509,108,22,0.9982901111427758,0.9974373576309795,0.9978635522005412,0.9962382445141066,Non-neuronal and Non-neural,"{""Neuronal: GABAergic"": 0.9982901111427758, ""Neuronal: Glutamatergic"": 0.0005699629524080935, ""Non-neuronal and Non-neural"": 0.001139925904816187}"
Neuronal: GABAergic,Neuronal: GABAergic,2,2414,117,13,0.9991714995857498,0.9934102141680395,0.9962825278810409,0.9982601491300745,Non-neuronal and Non-neural,"{""Neuronal: GABAergic"": 0.9991714995857498, ""Non-neuronal and Non-neural"": 0.0008285004142502071}"
Neuronal: GABAergic,Neuronal: GABAergic,3,2916,110,20,0.9986282578875172,0.9891304347826086,0.9938566552901024,0.9966163694558756,Non-neuronal and Non-neural,"{""EndothelialSubclass"": 0.0003429355281207133, ""Neuronal: GABAergic"": 0.9986282578875172, ""Neuronal: Glutamatergic"": 0.0003429355281207133, ""Non-neuronal and Non-neural"": 0.0006858710562414266}"
Neuronal: GABAergic,Neuronal: GABAergic,4,2077,118,12,0.9971112181030333,0.994716618635927,0.9959124789612888,0.9960199004975124,Non-neuronal and Non-neural,"{""Neuronal: GABAergic"": 0.9971112181030333, ""Neuronal: Glutamatergic"": 0.0009629272989889263, ""Non-neuronal and Non-neural"": 0.0014443909484833895, ""VLMCSubclass"": 0.00048146364949446316}"
Neuronal: GABAergic,Neuronal: GABAergic,5,2404,114,16,0.9979201331114809,0.988463123197363,0.9931691161250259,0.995618413754853,Non-neuronal and Non-neural,"{""CN ST18 GABASubclass"": 0.00041597337770382697, ""EndothelialSubclass"": 0.00041597337770382697, ""Neuronal: GABAergic"": 0.9979201331114809, ""Neuronal: Glutamatergic"": 0.00041597337770382697, ""Non-neuronal and Non-neural"": 0.0008319467554076539}"
Neuronal: GABAergic,Neuronal: GABAergic,6,2860,112,18,0.9979020979020979,0.9944250871080139,0.9961605584642234,0.9967599067599068,Non-neuronal and Non-neural,"{""CN ST18 GABASubclass"": 0.00034965034965034965, ""Neuronal: GABAergic"": 0.9979020979020979, ""Neuronal: Glutamatergic"": 0.00034965034965034965, ""Non-neuronal and Non-neural"": 0.0013986013986013986}"
Neuronal: GABAergic,Neuronal: GABAergic,7,1912,114,16,0.9989539748953975,0.9947916666666666,0.9968684759916493,0.9961645746164575,CN ST18 GABASubclass,"{""CN ST18 GABASubclass"": 0.0005230125523012552, ""Neuronal: GABAergic"": 0.9989539748953975, ""Neuronal: Glutamatergic"": 0.0005230125523012552}"
Neuronal: Glutamatergic,Neuronal: Glutamatergic,0,2241,117,13,0.9991075412762159,0.9959964412811388,0.9975495656048118,0.9990777926520898,Neuronal: GABAergic,"{""Neuronal: GABAergic"": 0.000892458723784025, ""Neuronal: Glutamatergic"": 0.9991075412762159}"
Neuronal: Glutamatergic,Neuronal: Glutamatergic,1,4958,108,22,1.0,0.997184231697506,0.9985901309164149,0.9996369503832191,NONE,"{""Neuronal: Glutamatergic"": 1.0}"
Neuronal: Glutamatergic,Neuronal: Glutamatergic,2,2974,117,13,0.9996637525218561,0.9936497326203209,0.9966476701307408,0.9995965030262273,Neuronal: GABAergic,"{""Neuronal: GABAergic"": 0.0003362474781439139, ""Neuronal: Glutamatergic"": 0.9996637525218561}"
Neuronal: Glutamatergic,Neuronal: Glutamatergic,3,3882,110,20,0.9984544049459042,0.9969135802469136,0.9976833976833976,0.9981109393783273,Neuronal: GABAergic,"{""EndothelialSubclass"": 0.0005151983513652757, ""Neuronal: GABAergic"": 0.0007727975270479134, ""Neuronal: Glutamatergic"": 0.9984544049459042, ""Non-neuronal and Non-neural"": 0.00025759917568263783}"
Neuronal: Glutamatergic,Neuronal: Glutamatergic,4,2896,118,12,0.9993093922651933,0.9958706125258087,0.9975870389520854,0.9988259668508287,Non-neuronal and Non-neural,"{""Neuronal: Glutamatergic"": 0.9993093922651933, ""Non-neuronal and Non-neural"": 0.0006906077348066298}"
Neuronal: Glutamatergic,Neuronal: Glutamatergic,5,3523,114,16,0.9968776610843032,0.9940560430229267,0.9954648526077098,0.9968587378181474,Neuronal: GABAergic,"{""EndothelialSubclass"": 0.0002838489923360772, ""Neuronal: GABAergic"": 0.0022707919386886176, ""Neuronal: Glutamatergic"": 0.9968776610843032, ""Non-neuronal and Non-neural"": 0.0005676979846721544}"
Neuronal: Glutamatergic,Neuronal: Glutamatergic,6,4249,112,18,0.9997646505060014,0.9960140679953107,0.9978858350951374,0.9993724013493371,Neuronal: GABAergic,"{""Neuronal: GABAergic"": 0.0002353494939985879, ""Neuronal: Glutamatergic"": 0.9997646505060014}"
Neuronal: Glutamatergic,Neuronal: Glutamatergic,7,2584,114,16,0.9980650154798761,0.9965224111282844,0.997293116782676,0.9981166150670795,Neuronal: GABAergic,"{""Neuronal: GABAergic"": 0.0015479876160990713, ""Neuronal: Glutamatergic"": 0.9980650154798761, ""Non-neuronal and Non-neural"": 0.0003869969040247678}"
Non-neuronal and Non-neural,Non-neuronal and Non-neural,0,1154,117,13,0.9904679376083189,0.9391947411668036,0.9641501476170392,0.9796649335644136,Neuronal: GABAergic,"{""Neuronal: GABAergic"": 0.005199306759098787, ""Neuronal: Glutamatergic"": 0.004332755632582322, ""Non-neuronal and Non-neural"": 0.9904679376083189}"
Non-neuronal and Non-neural,Non-neuronal and Non-neural,1,2755,108,22,0.9934664246823957,0.9709116708052501,0.982059562253319,0.9825287356321839,Neuronal: Glutamatergic,"{""Neuronal: GABAergic"": 0.002177858439201452, ""Neuronal: Glutamatergic"": 0.004355716878402904, ""Non-neuronal and Non-neural"": 0.9934664246823957}"
Non-neuronal and Non-neural,Non-neuronal and Non-neural,2,1518,117,13,0.9888010540184453,0.967139175257732,0.9778501628664495,0.9842336407553799,Neuronal: Glutamatergic,"{""Neuronal: GABAergic"": 0.003952569169960474, ""Neuronal: Glutamatergic"": 0.007246376811594203, ""Non-neuronal and Non-neural"": 0.9888010540184453}"
Non-neuronal and Non-neural,Non-neuronal and Non-neural,3,2369,110,20,0.9835373575348249,0.9831223628691983,0.9833298164169656,0.9752638243984804,Neuronal: GABAergic,"{""EndothelialSubclass"": 0.00042211903756859433, ""Neuronal: GABAergic"": 0.011397214014352047, ""Neuronal: Glutamatergic"": 0.004643309413254538, ""Non-neuronal and Non-neural"": 0.9835373575348249}"
Non-neuronal and Non-neural,Non-neuronal and Non-neural,4,1632,118,12,0.9957107843137255,0.9475218658892128,0.9710188228264117,0.9870098039215687,Neuronal: Glutamatergic,"{""Neuronal: GABAergic"": 0.001838235294117647, ""Neuronal: Glutamatergic"": 0.0024509803921568627, ""Non-neuronal and Non-neural"": 0.9957107843137255}"
Non-neuronal and Non-neural,Non-neuronal and Non-neural,5,1711,114,16,0.9848042080654588,0.9695051783659379,0.9770948100898811,0.9701539060977986,Neuronal: Glutamatergic,"{""Neuronal: GABAergic"": 0.0070134424313267095, ""Neuronal: Glutamatergic"": 0.008182349503214495, ""Non-neuronal and Non-neural"": 0.9848042080654588}"
Non-neuronal and Non-neural,Non-neuronal and Non-neural,6,2154,112,18,0.9935004642525533,0.9683257918552036,0.9807516040329972,0.9858867223769731,Neuronal: Glutamatergic,"{""Neuronal: GABAergic"": 0.002321262766945218, ""Neuronal: Glutamatergic"": 0.004178272980501393, ""Non-neuronal and Non-neural"": 0.9935004642525533}"
Non-neuronal and Non-neural,Non-neuronal and Non-neural,7,1467,114,16,0.9972733469665985,0.9669530733641771,0.9818791946308725,0.9827311974551238,Neuronal: Glutamatergic,"{""Neuronal: GABAergic"": 0.0006816632583503749, ""Neuronal: Glutamatergic"": 0.002044989775051125, ""Non-neuronal and Non-neural"": 0.9972733469665985}"
OB GabaSubclass,OB GabaSubclass,0,1,0,1,0.0,0.0,0.0,0.0,STR D1 MSNSubclass,"{""STR D1 MSNSubclass"": 1.0}"
OPC,OPC,0,4,16,2,0.5,1.0,0.6666666666666666,0.43333333333333335,Non-neuronal and Non-neural,"{""Non-neuronal and Non-neural"": 0.5, ""OPC"": 0.5}"
OPC,OPC,2,8,14,4,0.125,1.0,0.2222222222222222,0.3333333333333333,Non-neuronal and Non-neural,"{""Non-neuronal and Non-neural"": 0.875, ""OPC"": 0.125}"
OPC,OPC,3,2,17,1,0.5,1.0,0.6666666666666666,0.5333333333333333,Non-neuronal and Non-neural,"{""Non-neuronal and Non-neural"": 0.5, ""OPC"": 0.5}"
OPC,OPC,4,8,14,4,0.625,1.0,0.7692307692307693,0.5166666666666667,Non-neuronal and Non-neural,"{""Non-neuronal and Non-neural"": 0.375, ""OPC"": 0.625}"
OPC,OPC,5,6,15,3,0.16666666666666666,1.0,0.2857142857142857,0.2777777777777778,Non-neuronal and Non-neural,"{""Non-neuronal and Non-neural"": 0.8333333333333334, ""OPC"": 0.16666666666666666}"
OPC,OPC,6,4,16,2,0.5,1.0,0.6666666666666666,0.4,Non-neuronal and Non-neural,"{""Non-neuronal and Non-neural"": 0.5, ""OPC"": 0.5}"
OPC,OPC,7,4,16,2,0.25,1.0,0.4,0.23333333333333334,Non-neuronal and Non-neural,"{""Non-neuronal and Non-neural"": 0.75, ""OPC"": 0.25}"
OPCSubclass,OPCSubclass,0,8,18,4,0.0,0.0,0.0,0.08333333333333333,Non-neuronal and Non-neural,"{""Non-neuronal and Non-neural"": 1.0}"
OPCSubclass,OPCSubclass,1,9,18,4,0.0,0.0,0.0,0.0962962962962963,Non-neuronal and Non-neural,"{""Non-neuronal and Non-neural"": 1.0}"
OPCSubclass,OPCSubclass,2,1,21,1,0.0,0.0,0.0,0.4666666666666667,Non-neuronal and Non-neural,"{""Non-neuronal and Non-neural"": 1.0}"
OPCSubclass,OPCSubclass,3,6,20,2,0.0,0.0,0.0,0.14444444444444443,Non-neuronal and Non-neural,"{""Non-neuronal and Non-neural"": 1.0}"
OPCSubclass,OPCSubclass,4,6,19,3,0.0,0.0,0.0,0.08888888888888889,Non-neuronal and Non-neural,"{""Non-neuronal and Non-neural"": 1.0}"
OPCSubclass,OPCSubclass,5,3,19,3,0.0,0.0,0.0,0.1111111111111111,Non-neuronal and Non-neural,"{""Non-neuronal and Non-neural"": 1.0}"
OPCSubclass,OPCSubclass,6,7,17,5,0.0,0.0,0.0,0.08571428571428572,Non-neuronal and Non-neural,"{""Non-neuronal and Non-neural"": 1.0}"
Oligo,Oligo,0,4,16,2,0.0,0.0,0.0,0.1,Non-neuronal and Non-neural,"{""Non-neuronal and Non-neural"": 1.0}"
Oligo,Oligo,2,8,14,4,0.25,1.0,0.4,0.21666666666666667,Non-neuronal and Non-neural,"{""Non-neuronal and Non-neural"": 0.75, ""Oligo"": 0.25}"
