best_count_completed_r2,best_count_predictor,best_expected_completed_r2,best_expected_predictor,factor,family,full_lambda_pca_r2,hidden_loading_fraction,hidden_reporter_fraction,identifiability_class,identifiability_ratio,view,visible_lambda_r2,visible_loading_fraction,visible_reporter_fraction,visible_x_a_r2
0.8147754669189453,ridge_count,0.9998427033424377,ridge_expected,9,RANDOM_40,0.9998424053192139,0.41709646582603455,0.4151785671710968,HIGHLY_IDENTIFIABLE,0.8149038914375878,1,0.9998559355735779,0.5829035043716431,0.5848214030265808,0.8662713170051575
0.8210402727127075,ridge_count,0.9998124837875366,ridge_expected,10,RANDOM_40,0.9998140335083008,0.43905484676361084,0.4375,HIGHLY_IDENTIFIABLE,0.8211929870915249,1,0.9997873902320862,0.5609451532363892,0.5625,0.8723191022872925
0.7965173721313477,ridge_count,0.9997960925102234,ridge_expected,11,RANDOM_40,0.999800980091095,0.46305447816848755,0.4598214328289032,HIGHLY_IDENTIFIABLE,0.7966759265016669,1,0.9997731447219849,0.5369455218315125,0.5401785969734192,0.8670333027839661
0.7694923281669617,ridge_count,0.9996499419212341,ridge_expected,12,RANDOM_40,0.9996496438980103,0.3956957757472992,0.4017857015132904,HIGHLY_IDENTIFIABLE,0.7697620189873938,1,0.9996441006660461,0.6043042540550232,0.5982142686843872,0.8333148956298828
0.785224974155426,ridge_count,0.999735951423645,ridge_expected,13,RANDOM_40,0.9997358918190002,0.4027421772480011,0.4017857015132904,HIGHLY_IDENTIFIABLE,0.785432413281396,1,0.9997367262840271,0.5972578525543213,0.5982142686843872,0.8607909679412842
0.8002318739891052,ridge_count,0.9997249841690063,ridge_expected,14,RANDOM_40,0.9997243285179138,0.39221587777137756,0.3883928656578064,HIGHLY_IDENTIFIABLE,0.8004525359260236,1,0.9997291564941406,0.6077841520309448,0.6116071343421936,0.8422484397888184
0.8045875430107117,ridge_count,0.9997757077217102,ridge_expected,15,RANDOM_40,0.9997764825820923,0.3579148054122925,0.3571428656578064,HIGHLY_IDENTIFIABLE,0.8047674225470156,1,0.9997696280479431,0.6420851945877075,0.6428571343421936,0.8612053394317627
0.8152885437011719,ridge_count,0.9998868703842163,ridge_expected,16,RANDOM_40,0.9998874664306641,0.42410770058631897,0.4241071343421936,HIGHLY_IDENTIFIABLE,0.8153803013568498,1,0.9998920559883118,0.5758923292160034,0.5758928656578064,0.8825510144233704
0.8390486836433411,ridge_count,0.9998635649681091,ridge_expected,17,RANDOM_40,0.9998626112937927,0.3409101665019989,0.3392857015132904,HIGHLY_IDENTIFIABLE,0.8391639752962028,1,0.9998736381530762,0.6590898036956787,0.6607142686843872,0.8795990943908691
0.8168832659721375,ridge_count,0.9997338652610779,ridge_expected,18,RANDOM_40,0.9997345805168152,0.41251346468925476,0.4107142984867096,HIGHLY_IDENTIFIABLE,0.817100140269078,1,0.9997602701187134,0.5874865055084229,0.5892857313156128,0.8690451979637146
0.7701988220214844,ridge_count,0.9998610615730286,ridge_expected,19,RANDOM_40,0.9998594522476196,0.4691002368927002,0.46875,HIGHLY_IDENTIFIABLE,0.770307086951198,1,0.9998887777328491,0.5308998227119446,0.53125,0.8444004654884338
0.7949891090393066,ridge_count,0.9998368620872498,ridge_expected,20,RANDOM_40,0.9998365044593811,0.41612157225608826,0.4196428656578064,HIGHLY_IDENTIFIABLE,0.7951191074676385,1,0.9998413324356079,0.5838784575462341,0.5803571343421936,0.8629648685455322
