feature_id,display_name,sample,n_cells,n_nt_units,median_log2fc,n_abs_gt_1
ELMO1_nsig_e3_g5,ELMO1_nsig_e3_g5,S7,16,13,0.0,7633
ELMO1_nsig_gwas_g1,ELMO1_nsig_gwas_g1,S1,9,15,0.0,8308
ELMO1_nsig_gwas_g1,ELMO1_nsig_gwas_g1,S2,4,12,0.0,8685
ELMO1_nsig_gwas_g1,ELMO1_nsig_gwas_g1,S3,8,14,0.0,7977
ELMO1_nsig_gwas_g1,ELMO1_nsig_gwas_g1,S4,9,13,0.0,6906
ELMO1_nsig_gwas_g1,ELMO1_nsig_gwas_g1,S5,8,15,0.0,8115
ELMO1_nsig_gwas_g1,ELMO1_nsig_gwas_g1,S6,9,13,0.0,8085
ELMO1_nsig_gwas_g1,ELMO1_nsig_gwas_g1,S7,6,13,0.0,8390
ELMO1_nsig_gwas_g2,ELMO1_nsig_gwas_g2,S1,9,15,0.0,8387
ELMO1_nsig_gwas_g2,ELMO1_nsig_gwas_g2,S2,7,12,0.0,8008
ELMO1_nsig_gwas_g2,ELMO1_nsig_gwas_g2,S3,6,14,0.0,8356
ELMO1_nsig_gwas_g2,ELMO1_nsig_gwas_g2,S4,9,13,0.0,6825
ELMO1_nsig_gwas_g2,ELMO1_nsig_gwas_g2,S5,12,15,0.0,8155
ELMO1_nsig_gwas_g2,ELMO1_nsig_gwas_g2,S6,9,13,0.0,7962
ELMO1_nsig_gwas_g2,ELMO1_nsig_gwas_g2,S7,5,13,0.0,8691
ELMO1_nsig_gwas_g3,ELMO1_nsig_gwas_g3,S1,3,15,0.0,9072
ELMO1_nsig_gwas_g3,ELMO1_nsig_gwas_g3,S2,6,12,0.0,8312
ELMO1_nsig_gwas_g3,ELMO1_nsig_gwas_g3,S3,2,14,0.0,9339
ELMO1_nsig_gwas_g3,ELMO1_nsig_gwas_g3,S4,4,13,0.0,8065
ELMO1_nsig_gwas_g3,ELMO1_nsig_gwas_g3,S5,2,15,0.0,9191
ELMO1_nsig_gwas_g3,ELMO1_nsig_gwas_g3,S6,5,13,0.0,8287
ELMO1_nsig_gwas_g3,ELMO1_nsig_gwas_g3,S7,7,13,0.0,8334
ELMO1_nsig_gwas_g4,ELMO1_nsig_gwas_g4,S1,7,15,0.0,8546
ELMO1_nsig_gwas_g4,ELMO1_nsig_gwas_g4,S2,9,12,0.0,8108
ELMO1_nsig_gwas_g4,ELMO1_nsig_gwas_g4,S3,7,14,0.0,8260
ELMO1_nsig_gwas_g4,ELMO1_nsig_gwas_g4,S4,4,13,0.0,8523
ELMO1_nsig_gwas_g4,ELMO1_nsig_gwas_g4,S5,6,15,0.0,8117
ELMO1_nsig_gwas_g4,ELMO1_nsig_gwas_g4,S6,5,13,0.0,8405
ELMO1_nsig_gwas_g4,ELMO1_nsig_gwas_g4,S7,9,13,0.0,8082
ELMO1_nsig_gwas_g5,ELMO1_nsig_gwas_g5,S1,12,15,0.0,8495
ELMO1_nsig_gwas_g5,ELMO1_nsig_gwas_g5,S2,5,12,0.0,8438
ELMO1_nsig_gwas_g5,ELMO1_nsig_gwas_g5,S3,11,14,0.0,8108
ELMO1_nsig_gwas_g5,ELMO1_nsig_gwas_g5,S4,9,13,0.0,6976
ELMO1_nsig_gwas_g5,ELMO1_nsig_gwas_g5,S5,10,15,0.0,8157
ELMO1_nsig_gwas_g5,ELMO1_nsig_gwas_g5,S6,6,13,0.0,8373
ELMO1_nsig_gwas_g5,ELMO1_nsig_gwas_g5,S7,12,13,0.0,7833
MERTK_nsig_e1_g1,MERTK_nsig_e1_g1,S1,8,15,0.0,8439
MERTK_nsig_e1_g1,MERTK_nsig_e1_g1,S2,7,12,0.0,8144
MERTK_nsig_e1_g1,MERTK_nsig_e1_g1,S3,11,14,0.0,7880
MERTK_nsig_e1_g1,MERTK_nsig_e1_g1,S4,13,13,0.0,6804
MERTK_nsig_e1_g1,MERTK_nsig_e1_g1,S5,4,15,0.0,8794
MERTK_nsig_e1_g1,MERTK_nsig_e1_g1,S6,8,13,0.0,7946
MERTK_nsig_e1_g1,MERTK_nsig_e1_g1,S7,8,13,0.0,8153
MERTK_nsig_e1_g2,MERTK_nsig_e1_g2,S1,15,15,0.0,8367
MERTK_nsig_e1_g2,MERTK_nsig_e1_g2,S2,14,12,0.0,7493
MERTK_nsig_e1_g2,MERTK_nsig_e1_g2,S3,17,14,0.0,7846
MERTK_nsig_e1_g2,MERTK_nsig_e1_g2,S4,15,13,0.0,6437
MERTK_nsig_e1_g2,MERTK_nsig_e1_g2,S5,7,15,0.0,8355
MERTK_nsig_e1_g2,MERTK_nsig_e1_g2,S6,13,13,0.0,7675
MERTK_nsig_e1_g2,MERTK_nsig_e1_g2,S7,12,13,0.0,7990
MERTK_nsig_e1_g3,MERTK_nsig_e1_g3,S1,5,15,0.0,8725
MERTK_nsig_e1_g3,MERTK_nsig_e1_g3,S2,2,12,0.0,9480
MERTK_nsig_e1_g3,MERTK_nsig_e1_g3,S3,5,14,0.0,8445
MERTK_nsig_e1_g3,MERTK_nsig_e1_g3,S4,6,13,0.0,7422
MERTK_nsig_e1_g3,MERTK_nsig_e1_g3,S5,4,15,0.0,8496
MERTK_nsig_e1_g3,MERTK_nsig_e1_g3,S6,6,13,0.0,8275
MERTK_nsig_e1_g3,MERTK_nsig_e1_g3,S7,5,13,0.0,9022
MERTK_nsig_e1_g4,MERTK_nsig_e1_g4,S1,28,15,0.0,8646
MERTK_nsig_e1_g4,MERTK_nsig_e1_g4,S2,23,12,0.0,7466
MERTK_nsig_e1_g4,MERTK_nsig_e1_g4,S3,31,14,0.0,8179
MERTK_nsig_e1_g4,MERTK_nsig_e1_g4,S4,17,13,0.0,6206
MERTK_nsig_e1_g4,MERTK_nsig_e1_g4,S5,33,15,0.0,8016
MERTK_nsig_e1_g4,MERTK_nsig_e1_g4,S6,34,13,0.0,7836
MERTK_nsig_e1_g4,MERTK_nsig_e1_g4,S7,28,13,0.0,7857
MERTK_nsig_e1_g5,MERTK_nsig_e1_g5,S1,13,15,0.0,8336
MERTK_nsig_e1_g5,MERTK_nsig_e1_g5,S2,11,12,0.0,7858
MERTK_nsig_e1_g5,MERTK_nsig_e1_g5,S3,12,14,0.0,7876
MERTK_nsig_e1_g5,MERTK_nsig_e1_g5,S4,22,13,0.0,5991
MERTK_nsig_e1_g5,MERTK_nsig_e1_g5,S5,9,15,0.0,8069
MERTK_nsig_e1_g5,MERTK_nsig_e1_g5,S6,26,13,0.0,7597
MERTK_nsig_e1_g5,MERTK_nsig_e1_g5,S7,15,13,0.0,7659
MERTK_nsig_e2_g1,MERTK_nsig_e2_g1,S1,20,15,0.0,8428
MERTK_nsig_e2_g1,MERTK_nsig_e2_g1,S2,12,12,0.0,7724
MERTK_nsig_e2_g1,MERTK_nsig_e2_g1,S3,19,14,0.0,7474
MERTK_nsig_e2_g1,MERTK_nsig_e2_g1,S4,23,13,0.0,6016
MERTK_nsig_e2_g1,MERTK_nsig_e2_g1,S5,20,15,0.0,8146
MERTK_nsig_e2_g1,MERTK_nsig_e2_g1,S6,24,13,0.0,7883
MERTK_nsig_e2_g1,MERTK_nsig_e2_g1,S7,25,13,0.0,7612
MERTK_nsig_e2_g2,MERTK_nsig_e2_g2,S1,9,15,0.0,8547
MERTK_nsig_e2_g2,MERTK_nsig_e2_g2,S2,3,12,0.0,9343
MERTK_nsig_e2_g2,MERTK_nsig_e2_g2,S3,7,14,0.0,8283
MERTK_nsig_e2_g2,MERTK_nsig_e2_g2,S4,14,13,0.0,6329
MERTK_nsig_e2_g2,MERTK_nsig_e2_g2,S5,13,15,0.0,7936
